"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	7374	0	0	29480	0	598	50	1323	81828	64564	303	64867	0	963	0	0	0	16961	1200	81828	0	0	11965	0	0	3500	0	6888	57676	1	1231	0	43966	43003	296	0	0	0	0	16961	
242																																							981	916	0	0	8577	0	225	0	516	32421	24529	38	28117	0	174	0	3550	0	4304	120	32421	0	0	3932	0	0	120	0	4228	20301	4	1231	0	20903	20729	132	477	0	0	0	4304	
279																																							4574	2132	54	46584	20689	263	6394	94	3321	158209	100490	447	135432	0	569	0	34495	0	22777	1	158209	0	0	22236	0	0	0	0	5344	95146	1	1231	0	72833	72264	540	1840	0	0	0	22777	
354																																							99	87	0	0	4096	0	51	0	181	9151	8141	15	8156	0	203	0	0	0	995	25	9151	0	0	441	0	0	500	0	1999	6142	4	1231	0	4142	3939	29	698	0	0	0	995	
457																																							596	486	0	182	508	0	118	800	1292	36166	29062	152	32977	0	475	0	3500	0	3189	60	36166	0	0	681	0	0	2440	0	2807	26255	4	1231	0	32659	32184	8	0	0	263	0	3189	
505																																							22368	1521	34	0	78217	0	4079	0	9460	366176	288783	3190	337473	58	4426	1595	45500	0	28645	6480	366176	0	0	12261	0	0	10653	0	40248	248535	2	1231	0	250328	245902	-749	3000	0	0	0	28703	
1155																																							17523	5073	0	370	28959	0	4517	1481	7585	207912	176961	1731	190263	0	2349	0	0	0	17649	1600	207912	0	0	11065	0	0	4400	245	22157	154804	5	1231	0	144508	142159	584	0	0	0	11571	17649	
1351																																							0	2485	0	54824	5201	0	1082	283	1908	140963	121328	641	121969	0	1707	0	0	0	18994	240	140963	0	0	18273	0	0	530	0	11786	109542	9	12312009	0	71977	70270	-49	4910	0	0	0	18994	
1454																																							24300	10527	0	0	202260	0	4724	0	10658	462036	414380	874	415254	0	3092	0	0	0	46782	1000	462036	0	0	42306	0	0	1214	1703	100404	313976	2	1231	0	210956	207864	2262	0	0	0	0	46782	
1557																																							1745	816	0	5957	4851	0	260	0	1131	47730	39639	596	42537	0	381	0	2302	0	5193	200	47730	0	0	3912	0	0	1000	0	6930	32709	4	1231	0	30090	29709	81	3261	0	0	0	5193	
1632																																							39	7419	0	0	34674	0	13423	5154	14422	771616	638212	3345	708580	0	11551	0	67023	0	63036	1900	771616	0	0	392	0	0	60000	0	76480	561732	2	1231	0	607627	596076	744	100409	0	0	0	63036	
1669																																							15847	5586	997	93143	36067	0	1667	14	9573	247761	203889	931	204997	0	1980	0	177	0	42764	800	247761	0	0	40600	0	0	800	0	25974	177915	4	1231	0	83316	81336	564	3531	0	0	0	42764	
1829																																							43769	5944	588	0	84938	0	3073	92	9908	418991	342344	1704	377890	0	4073	8144	28250	0	41102	390	418992	0	0	36705	0	0	3100	0	70510	271834	2	1231	0	266608	262535	907	0	0	0	5592	41102	
1856																																							38890	2549	0	33298	91193	0	387	0	4802	192537	119813	238	174051	0	242	98	54000	0	18486	500	192537	0	0	-1560	0	0	17782	0	2944	116869	4	1231	0	21562	21320	1764	0	0	0	0	18486	
2040																																							9	2203	0	0	45124	0	3558	177	7063	213085	164798	907	193966	0	3232	0	23300	0	19118	480	213084	0	0	14636	0	0	4270	122	11564	153233	2	1231	0	155164	151932	-268	2897	0	0	4961	19118	
2161																																							6250	9732	0	2	43932	0	1684	0	4129	125253	110374	1655	112029	0	571	0	0	0	13224	1000	125253	0	0	10440	0	0	1253	0	20094	90280	1	1210	0	60095	59524	531	0	0	0	0	13224	
2376																																							34257	5424	0	76858	399186	0	14888	1648	95910	2023177	1271768	30027	1822385	65	24593	0	510780	0	200728	500	2023178	0	0	203619	1591	0	8347	0	58869	1212899	2	0630	-13313	1418008	1393415	1575	0	0	9810	0	200793	
2451																																							2938	400	406	76	0	0	294	627	2356	32591	28493	53	30545	0	1948	0	1999	0	2046	50	32591	0	0	-1893	0	0	3889	70	2960	25533	5	1231	0	26304	24356	0	1068	0	0	0	2046	
2554																																							4112	316	0	0	12	0	110	0	228	10548	9041	36	9421	0	76	289	0	0	1127	50	10548	0	0	102	0	0	975	0	1746	7295	9	1231	0	5557	5481	0	0	0	344	0	1127	
2732																																							21144	21716	1112	0	57661	0	5285	2208	6140	519939	444732	2429	447294	0	4664	0	133	0	72645	0	519939	0	0	65606	0	0	5789	0	72176	372556	2	1231	0	409337	404673	1250	0	0	0	0	72645	
2750																																							199	921	0	0	11281	0	303	255	2840	59845	45893	368	54550	0	532	0	8289	0	5295	83	59845	0	0	5076	0	0	93	0	2741	43152	4	1231	0	42658	42126	43	1920	0	0	0	5295	
2938																																							158	11884	0	0	70308	0	11963	1232	11558	612873	522682	3046	560928	0	10976	0	29000	0	51945	2050	612873	0	0	6452	0	0	41825	0	82470	440212	2	1231	0	463215	452239	1618	53531	0	0	6200	51945	
3252																																							1827	3170	0	100	67114	0	518	0	3522	149734	127389	709	131606	0	1234	0	3508	0	18128	200	149734	0	0	16568	0	0	300	0	11403	115986	4	1231	0	74717	73483	1060	0	0	0	0	18128	
3458																																							2709	2518	0	2307	7665	0	379	324	601	29819	24328	185	26808	0	278	0	0	0	3011	100	29819	0	0	1729	0	0	1101	0	2752	21576	5	1231	0	13559	13281	81	35	0	0	2295	3011	
3720																																							16989	4054	0	6216	48990	0	3427	45	6246	195280	159278	1267	168879	0	1455	0	5146	0	26401	2400	195280	0	0	12498	0	0	10800	354	16931	142347	1	1231	0	110414	108959	703	0	0	0	3188	26401	
3953																																							11	2084	0	0	4	0	3633	305	5066	124601	103860	1035	114307	0	2352	0	9412	0	10294	500	124601	0	0	6114	0	0	3680	14378	22637	81223	4	1231	0	101472	99120	0	0	0	0	0	10294	
4138																																							7324	3244	0	0	31131	23	6804	4428	3959	182915	163948	237	167611	0	2683	0	1468	0	15304	300	182915	0	0	12788	0	0	1800	0	20997	142951	1	1231	0	128636	125953	416	49	0	0	1958	15304	
4156																																							101	1648	0	0	40696	0	7567	169	8474	200990	152251	603	182417	0	2481	1783	28702	0	18573	1200	200990	0	0	10223	0	0	5981	1407	18323	133928	4	1231	0	141626	139145	1169	0	0	0	861	18573	
4231																																							1000	7459	0	0	34657	0	1002	412	2038	131044	115865	761	116626	0	601	0	0	0	14418	500	131044	0	0	1847	0	0	12100	0	16311	99554	1	1231	0	85077	84476	-29	0	0	0	0	14418	
4437																																							2237	3847	0	630	68522	0	5954	2730	8163	263252	226225	1107	238871	0	3490	0	8259	0	24381	963	263252	0	0	18934	0	0	3750	0	16070	210155	2	12/31	0	169225	165735	734	5434	0	0	3280	24381	
4839																																							151	4280	0	0	58580	78	6019	7651	5041	314054	251464	1408	285363	0	3539	0	26000	0	28691	1875	314054	0	0	14169	0	0	12579	0	35056	216408	2	1231	0	231993	228454	68	3800	0	0	6491	28691	
5005																																							16722	2906	802	298	54595	0	7412	11313	20100	408637	311111	4580	380467	0	2246	2646	64776	0	28170	0	408637	0	0	-272	0	0	28132	0	29380	281731	1	0331	0	291684	289438	310	2405	0	0	0	28170	
5069																																							44143	1976	0	0	20733	0	18033	4136	6940	484483	369399	4943	374342	0	19327	0	0	0	110141	4500	484483	0	0	100665	0	0	4129	0	11346	358053	1	1230	0	407849	388522	847	0	0	0	0	110141	
5135																																							36146	5607	0	0	20413	0	4625	310	10533	299311	240834	1026	263708	0	3531	1042	21848	0	35603	651	299311	0	0	15553	0	0	19349	0	34580	206254	1	1210	0	224166	220635	50	0	0	0	0	35603	
5210																																							25742	13470	0	10054	197649	0	14621	6142	48040	964017	735649	10214	886114	0	12768	0	96806	0	77903	4798	964017	0	0	67276	0	0	5455	1117	53568	682081	2	1231	0	659950	647182	374	0	0	0	43445	77903	
5331																																							11	7473	0	0	227622	0	12662	4882	11006	405505	238853	3048	373464	0	2486	0	38063	0	32041	2580	405505	0	0	16468	0	0	16610	0	41374	197479	2	1231	0	144335	141849	-3617	0	0	0	93500	32041	
5461																																							20118	12804	336	0	52090	642	11997	927	11299	457883	394893	2959	413255	0	4324	0	15403	0	44628	2059	457883	0	0	36909	0	0	4241	0	113687	281206	2	1231	0	351994	347670	1419	0	0	0	0	44628	
5751																																							0	1376	0	0	58933	0	227	0	3795	119327	94267	586	94853	0	1077	0	0	0	24474	600	119327	0	0	21980	0	0	700	0	6837	87430	9	1231	0	51485	50408	1194	4588	0	0	0	24474	
