"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	16961	16737	145	0	0	0	0	0	16737	0	0	79	
242	4304	4277	151	0	0	111	0	0	4277	0	0	-13	
279	22777	22441	270	0	0	0	0	0	22441	1	0	65	
354	995	1008	-8	0	0	0	0	0	1008	0	0	-5	
457	3189	3245	145	0	0	198	0	0	3245	0	0	-3	
505	28645	27985	663	0	0	230	0	0	27985	0	0	227	
1155	17649	17043	741	0	0	0	0	0	17043	0	0	-135	
1351	18994	19343	75	0	0	381	0	0	19343	0	0	-43	
1454	46782	45434	2253	0	0	775	0	0	45434	0	0	-130	
1557	5193	5063	147	0	0	202	0	0	5063	200	0	-15	
1632	63036	65236	-4666	0	2500	0	0	0	65236	16	0	-50	
1669	42764	42004	877	0	0	0	0	0	42004	0	0	-117	
1829	41102	40570	827	0	0	540	0	0	40570	0	0	245	
1856	18485	15041	-1562	0	0	0	0	0	15041	0	0	5006	
2040	19119	18670	292	0	0	0	0	0	18670	0	0	157	
2161	13223	12665	798	0	0	142	0	0	12665	0	0	-98	
2376	200727	194275	4762	0	0	0	0	0	194275	1208	0	482	
2451	2046	2805	-759	0	0	0	0	0	2805	0	0	0	
2554	1127	1129	33	0	0	35	0	0	1129	0	0	0	
2732	72645	72224	771	0	0	232	0	0	72224	0	0	-118	
2750	5295	5206	176	0	0	87	0	0	5206	-30	0	30	
2938	51945	51088	864	0	0	0	0	0	51088	24	0	-31	
3252	18128	17434	978	0	0	450	0	0	17434	0	0	166	
3458	3011	2984	48	0	0	0	0	0	2984	0	0	-21	
3720	26401	25940	531	0	0	120	0	0	25940	0	0	50	
3953	10293	9874	419	0	0	0	0	0	9874	0	0	0	
4138	15304	16197	-1073	0	0	0	0	0	16197	0	0	180	
4156	18573	18009	493	0	0	75	0	0	18009	0	0	146	
4231	14418	14252	79	0	0	0	0	0	14252	0	0	87	
4437	24381	24093	137	0	0	84	0	0	24093	0	0	235	
4839	28691	26072	474	0	1750	0	0	0	26072	0	0	395	
5005	28170	27918	-272	0	0	0	0	0	27918	0	0	524	
5069	110141	102203	7590	0	0	0	0	0	102203	0	0	348	
5135	35603	34844	686	0	0	0	0	0	34844	0	0	73	
5210	77903	76086	2229	0	0	1126	0	0	76086	0	0	714	
5331	32041	30130	405	0	0	129	0	0	30130	0	0	1635	
5461	44628	43633	1166	0	0	297	0	0	43633	0	0	126	
5751	24474	23845	570	0	0	246	0	0	23845	0	0	305	
6039	8628	8483	139	0	0	0	0	0	8483	0	0	6	
6141	4652	4552	100	0	0	0	0	0	4552	0	0	0	
6329	34222	35344	-1123	0	0	0	0	0	35344	0	0	1	
6972	93937	86602	-15294	0	22674	0	0	0	86602	0	0	-45	
7009	49038	49327	709	0	0	400	0	0	49327	0	0	-598	
7045	14340	14082	291	0	0	0	0	0	14082	0	0	-33	
7157	4367	4363	68	0	0	48	0	0	4363	0	0	-16	
7456	4762	4691	123	0	0	174	0	0	4691	0	0	122	
