"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	82	3042															4	116	4	488	0	0	3	99	0	0	0	0	false	true	
242	73	1326													59	2553													true	true	
279			35	1550	28	3915	11	3717	86	1271	3	201	5	1241			2	51	1	97	1	298	32	279	0	0	0	0	false	false	
354	0	6													16	111													true	true	
457			14	680	5	687	6	2286	45	1025	10	1035	11	3974			26	1010	9	1529	5	1238	47	1050	10	1252	8	2338	false	false	
505			19	1158	29	3870	39	17762	93	2742	34	3660	16	4049															false	false	
1155			54	1880	44	5826	43	14335	172	3707	41	4317	48	12813			11	484	8	1068	4	1388	41	758	10	986	11	1686	false	false	
1351	0	0	91	2637	18	2648	11	3755	276	4535	33	3574	13	5364	0	0	57	2323	25	3310	5	1367	131	2237	9	1117	0	0	false	false	
1454			80	2894	78	9188	35	12972	425	7019	43	4267	33	8834			15	742	10	1021	3	347	63	1310	4	453	2	374	false	false	
1557	25	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1629	12	2255	9	3987	299	6685	28	4549	13	4542	false	true	
