"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5596	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	DEPOSITS IN LIFELINE ACCOUNTS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
363442	0	0	0	0		0	0	0		15750	3432	19	0	0	0	0	1326	0		0	0		1532	0	0	0	0	0	0	0	0	0	0		
363648	0	0	0	0		0	0	0		48777	28804	119	0	0	0	0	5509	0		0	0		29980	0	0	0	0	0	0				0		
363657	0	86	2	0		0	0	0		183638	77879	340	0	5	2	0	27868	0		0	0		28646	0	0	0	0	0	0	0	0	0	0		
363956	0	0	0	0		0	0	0		3411	29300	26	0	0	0	0	17366	0		0	0		26700	0	0	0	0	0	0	0	0	0	0		
364056	0	0	0	0		0	0	0		26222	10967	60	0	0	0	0	2443	0		0	0		4453	0	0	0	0	0	0	0	0	0	0		
364131	0	0	0	0		0	0	0		65531	20926	92	0	0	0	0	8747	0		0	0		12179	0	0	0	0	0	0	0	0	0	0		
364337	0			0		0	0	0		29940	22776	75	0			0	4887	0		0	0		18854	0	0	0	0	0	0	0	0	0			
364430	0	0	0	0		0	0	0		28998	13238	51	0	0	0	0	6397	0		0	0		8138	0	0	0	0	0	0	0	0	0	0		
364449	0	0	0	0		0	0	0		475453	540785	985	0	0	0	0	81797	0		0	0		442500	0	0	0	0	0	0	0	0	0	0		
364850	0	0	0	0		0	0	0		19413	6055	28	0	0	0	0	3825	0		0	0		5278	0	0	0	0	0	0	0	0	0	0		
364971	0	0	0	0		0	0	0		15087	2750	17	0	0	0	0	2014	0		0	0		3370	0	0	0	0	0	0	0	0	0	0		
365138	0	0	0	0		0	0	0		120507	195052	555	0	0	0	116	10062	0		0	0		162867	0	0	0	0	0	0	0	0	0	0		
365325	0	0	0	3442		0	0	0		821294	769758	2786	0	0	0	0	81563	0		569	233		591380	0	0	0	0	0	0						
365455	117	0	0	0		0	0	0		39872	15554	78	0	0	0	0	2979	0		0	0		11448	0	0	0	0	0	0	0	0	0	0		
365651	0	0	0	0		0	0	0		154339	84416	329	0	0	0	0	27848	0		0	0		40673	0	0	0	0	0	0	0	0	0	0		
365745	0	0	0	0		0	0	582		44835	14051	59	0	0	0	0	6632	0		0	0		13143	0	0	0	0	0	0	0	0	0			
365848	0	0	0	0		0	0	0		52082	16232	117	0	0	0	0	6465	0		0	0		7310	0	0	0	0	0	0	0	0	0	0		
365941	0	0	0	0		0	0	0		37059	9213	43	0	0	0	0	5666	0		0	0		1904	0	0	0	0	0	0	0	0	0	0		
365950	0	0	0	0		0	0	0		23410	16247	64	0	0	0	0	1284	0		0	0		9847	0	0	0	0	0	0	0	0	0	0		
366078	0	0	0	278		0	0	290		153615	53079	175	58	0	0	0	26418	2		0	0		28779	0	0	0	0	0	0	0	0	0	0		
366238	3	0	0	0		0	0	0		181808	78645	378	2	0	0	0	30754	0		0	0		77423	0	0	0	0	0	0	0	0	0	0		
366247	0			0		0	0	0		27426	7482	41	0			0	4809	0		0	0		3811	0	0	0	0	0	0	0	0	0			
366359	0	0	0	0		0	0	0		29746	10229	41	0	0	0	0	4616	0		0	0		8343	0	0	0	0	0	0	0	0	0	0		
366658	43	0	0	0		0	0	0		44388	37493	207	0	0	0	0	8336	0		0	0		10451	0	0	0	0	0	0	0	0	0	0		
366854	0	0	0	0		0	0	0		17700	7101	33	0	0	0	0	2193	0		0	0		5622	0	0	0	0	0	0	0	0	0	0		
367150	0	808	0	0		0	0	0		22054	21211	63	0	0	0	0	4142	0		0	0		5344	0	0	0	0	0	0	0	0	0	0		
367208	0	0	0	0		0	0	0		204758	131030	447	0	0	0	0	25062	0		0	0		90730	0	0	0	0	0	0	0	0	0	0		
367244	0	0	0	0		0	0	0		21724	6042	20	0	0	0	0	4749	0		0	0		4597	0	0	0	0	0	0	0	0	0	0		
367431	0	0	0	0		0	0	0		32803	85066	274	0	0	0	0	11879	0		0	0		42097	0	0	0	0	0	0	0	0	0	0		
367543	0	0	0	0		0	0	0		77047	52236	169	0	0	0	0	9625	0		0	0		500	0	0	0	0	0	0	0	0	0	0		
367552	0			0		0	0	0		7879	2253	11	0			0	1836	0		0	0		308	0	0	0	0	0	0	0	0	0			
367673	0	0	0	209		0	0	107		140580	22603	151	0	0	0	0	15515	0		0	0		6888	0	0	0	0	0	0	0	0	0	0		
367851	0	0	0	0		0	0	0		47837	21566	104	0	0	0	0	5437	0		0	0		6736	0	0	0	0	0	0	0	0	0	0		
367954	0	0	0	0		0	0	0		64579	25980	132	0	0	0	0	9781	0		0	0		3000	0	0	0	0	0	0	0	0	0	0		
368054	0	0	0	0		0	0	0		28112	10731	57	0	0	0	0	4367	0		0	0		8752	0	0	0	0	0	0	0	0	0	0		
