"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH PARENT HOLDING CO	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	12222	11904	414	0	0	96	0	0	11904	0	0	0	
242	3803	3718	227	0	0	219	0	0	3718	28	0	49	
279	16523	15755	499	0	0	0	0	0	15755	0	0	269	
354	1215	1141	48	0	0	0	0	0	1141	0	0	26	
439	16409	15810	673	0	0	122	0	0	15810	0	0	48	
457	2039	1892	147	0	0	0	0	0	1892	0	0	0	
505	19579	18585	711	0	0	274	0	0	18585	0	0	558	
1146	27972	22798	5717	0	0	652	0	0	22798	0	0	109	
1155	9762	9625	791	0	0	656	0	0	9625	0	0	2	
1351	12498	12003	716	0	0	204	0	0	12003	0	0	-17	
1454	30016	27501	2710	0	0	1100	0	0	27501	0	0	905	
1557	5840	5793	197	0	0	172	0	0	5793	0	0	22	
1632	16946	16367	1858	0	500	1865	0	0	16367	0	0	86	
1669	38679	36554	1951	0	0	0	0	0	36554	0	0	174	
1829	35792	33292	1863	0	0	775	0	0	33292	0	0	1412	
1856	776	728	30	0	0	0	0	0	728	0	0	18	
2040	12676	12039	750	0	0	355	0	0	12039	0	0	242	
2161	8955	8319	616	0	0	0	0	0	8319	0	0	20	
2376	94287	90408	5619	0	0	5000	0	0	90408	0	0	3260	
2451	1002	927	139	0	0	65	0	0	927	0	0	1	
2554	712	764	69	0	0	145	0	0	764	0	0	24	
2732	48247	46596	1900	0	0	371	0	0	46596	0	0	122	
2750	4468	5327	-194	0	0	0	0	-716	4611	0	0	51	
2938	21535	22961	1455	0	0	3080	0	0	22961	0	0	199	
2956	12968	12715	234	0	0	0	0	0	12715	0	0	19	
3252	9926	9402	730	0	0	300	0	0	9402	0	0	94	
3458	2239	2102	124	0	0	0	0	0	2102	0	0	13	
3506	73547	66449	6098	0	0	0	0	0	66449	0	0	1000	
3579	21099	19266	1275	0	0	0	0	0	19266	92	0	466	
3720	16261	15297	1113	0	0	335	0	0	15297	0	0	186	
3953	5453	5342	676	0	0	565	0	0	5342	0	0	0	
4138	14861	13913	911	0	0	369	0	0	13913	0	0	406	
4147	12279	11493	429	0	0	0	0	0	11493	0	0	357	
4156	9261	8845	654	0	0	350	0	0	8845	0	0	112	
4231	10972	10216	572	0	0	0	0	0	10216	0	0	184	
4437	11181	10888	472	0	0	246	0	0	10888	0	0	67	
4745	1079	1070	36	0	0	27	0	0	1070	0	0	0	
4839	16470	15269	1849	0	0	1217	0	0	15269	0	0	569	
5005	26540	25199	1390	0	0	0	0	0	25199	0	0	-49	
5050	7154	6781	672	0	0	778	0	0	6781	0	0	479	
5069	45885	44289	2962	0	0	1398	0	0	44289	0	0	32	
5135	13428	12657	684	0	0	0	0	0	12657	0	0	87	
5210	62485	61521	4432	0	0	4261	0	0	61521	0	0	793	
5247	65380	61760	7947	0	0	4039	0	0	61760	0	0	-288	
5274	10062	10030	254	0	0	0	0	0	10030	-140	0	-82	
5331	19102	16974	1831	0	0	103	0	0	16974	0	0	400	
5461	18235	16962	1274	0	0	170	0	0	16962	0	0	169	
5751	21288	20495	722	0	0	270	0	0	20495	0	0	341	
5939	226323	218405	4159	0	1	0	0	0	218405	0	0	3758	
6039	7268	6983	276	0	0	0	0	0	6983	0	0	9	
6057	1211	1241	-12	0	0	25	0	0	1241	0	0	7	
6141	3331	3232	99	0	0	0	0	0	3232	0	0	0	
6329	19421	17862	1755	0	0	800	0	157	18019	0	0	447	
6842	2085	1996	70	0	0	0	0	0	1996	14	0	5	
6972	92196	89667	6225	0	0	4050	0	0	89667	0	0	354	
7009	71133	70669	8324	0	15	8000	0	0	70669	0	0	125	
7045	9491	8925	489	0	0	0	0	0	8925	0	0	77	
7157	3628	3469	217	0	0	39	0	0	3469	0	0	-19	
7166	34753	31931	3918	0	0	1500	0	0	31931	0	0	404	
7456	4682	4947	298	0	0	452	0	0	4947	0	0	-111	
7634	5106	5056	219	0	0	250	0	0	5056	0	0	81	
8033	6311	5877	420	0	0	0	0	0	5877	0	0	14	
8154	3913	3627	335	0	0	107	0	0	3627	0	0	58	
8417	211731	190446	61287	0	0	40000	0	0	190446	0	0	-2	
8462	7925	7146	628	0	0	301	0	0	7146	0	0	452	
8547	35185	34813	2481	0	0	2388	0	0	34813	0	0	279	
8631	6359	6143	262	0	0	81	0	0	6143	0	0	35	
9115	113083	97844	11834	0	1000	0	0	0	97844	0	0	2405	
9160	10342	10211	390	0	0	259	0	0	10211	0	0	0	
9339	28166	25945	2291	0	1500	1900	0	0	25945	0	0	330	
9357	26156	26076	3528	0	0	3563	0	0	26076	0	0	115	
9553	5972	5723	270	0	0	12	0	0	5723	0	0	-9	
9807	154919	162712	29089	0	0	40050	0	0	162712	0	0	3168	
9955	9072	8687	376	0	0	182	0	0	8687	0	0	191	
10157	6431	6395	180	0	0	165	0	0	6395	0	0	21	
10250	18244	17306	1332	0	0	1050	0	0	17306	0	0	656	
10849	14528	13839	828	0	0	39	0	0	13839	0	0	-100	
10858	25355	25537	1568	0	0	1750	0	0	25537	0	0	0	
11145	10338	9630	751	0	0	150	0	0	9630	0	0	107	
11350	6481	6419	382	0	-86	214	0	0	6419	0	0	-20	
11640	19301	18277	1323	0	0	900	0	0	18277	0	0	601	
11837	7697	7452	730	0	0	500	0	0	7452	0	0	15	
12030	17067	16316	1064	0	0	300	0	0	16316	0	0	-13	
12058	8415	8554	-182	0	0	0	0	0	8554	0	0	43	
12142	20403	19312	1122	0	0	500	0	0	19312	0	0	469	
12245	10441	9865	524	0	0	297	0	0	9865	0	0	349	
12311	1446053	2020861	176922	0	-670000	85000	0	0	2020861	0	0	3270	
12357	3684	3788	180	0	0	284	0	0	3788	0	0	0	
12647	5233	4969	379	0	0	115	0	0	4969	0	0	0	
12656	565	527	38	0	0	0	0	0	527	0	0	0	
12937	13154	12997	326	0	0	150	0	0	12997	0	0	-19	
12946	40696	36747	3426	0	0	1000	0	0	36747	0	0	1523	
12955	9039	8840	691	0	0	518	0	0	8840	0	0	26	
13037	14483	14058	633	0	0	151	0	0	14058	0	0	-57	
13103	112778	111176	4852	0	0	0	0	0	111176	0	0	-3250	
13251	3139	2925	406	0	0	270	0	0	2925	0	0	78	
13309	177633	180291	-4252	0	0	3000	0	0	180291	0	0	4594	
13457	4261	4081	192	0	0	0	0	0	4081	0	0	-12	
14052	4274	4105	369	0	0	200	0	0	4105	0	0	0	
14155	8078	7608	605	0	0	176	0	0	7608	0	0	41	
14258	34043	32764	6176	0	0	4900	0	0	32764	0	0	3	
14409	2561336	2492698	132759	0	0	112000	0	0	2492698	0	0	47879	
14454	5213	4769	269	0	0	0	0	0	4769	0	0	175	
14650	2942	2681	259	0	0	0	0	0	2681	0	0	2	
14753	2912	2802	131	0	0	0	44	0	2802	0	0	23	
14865	7079	6380	524	0	0	0	0	0	6380	0	0	175	
14931	3486	3369	75	0	0	0	0	0	3369	0	0	42	
14940	11011	10691	742	0	0	400	0	0	10691	13	0	-35	
15536	117401	117644	10173	0	0	10000	0	0	117644	0	0	-416	
15732	23914	21507	2292	0	0	0	0	0	21507	0	0	115	
16337	17824	16219	1346	0	0	0	0	0	16219	0	0	259	
16355	3236	3002	211	0	225	250	0	0	3002	0	0	48	
