"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	TOT LNS & LEASES RESTRUCTURED	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-CONSTRUCTION & LAND DEV	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	R.E. LOANS NON-FARM. NON-RES. PROP	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	TOT LNS & LEASES RESTRUCTURED	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	
37																														0	10	1244	0	5036		120		94	0			958	0	10742	0	1719	42564	0	0			0	22557	84	0	12970	1217	2298	9097	3892	5956	97	2819	6636	5423	3082	1739	221								0	0		
242																														0	0	2167	0	3192		4		1781	0			1227	98	2556	0	0	17327	2	15			0	6245	44	0	4069	149	639	3713	1580	164	0	2787	4873	1708	1381	335	0								0	0		
279																														0	1065	85	111	3539		0		149	0			456	5	2297	0	0	27916	28	0			10	19495	742	812	2412	137	259	378	603	6290	11828	1500	933	978	963	3408	667								0	0		
354																														0	0	819	0	108		0		842	0			286	0	1024	0	0	4246	0	0			0	1138	29	1028	1038	0	1021	11	0	0	0	560	1245	405	647	123	0								0	0		
439																														0	2915	10865	204	32551		0		1702	0			17892	0	9493	0	2936	102199	0	0			0	22191	1450	784	35247	1914	2666	11012	3757	2259	27	23245	11636	28049	10556	3829	1421								0	0		
457																														0	500	1928	0	743		27		3782	64			1653	0	3408	0	305	14270	0	0			0	1924	0	1732	6931	131	107	1365	298	23	0	2012	4682	3651	1589	341	65								0	0		
505																														0	1364	0	2350	34224		16		0	0			24342	8807	28819	0	2482	166972	5198	0			300	67157	1694	5344	22161	198	2463	1808	1935	31075	29427	28527	14844	15939	21324	15176	7301								295	620		
1146																														0	32435	86	1912	38598	0	531	531	61	0	32446	0	32446	4345	12514	0	0	209163	8	0	0	0	0	48860	8540	0	132883	30692	3556	5490	1575	4529	3018	27866	35425	76435	19856	0	235	0	0	0	0	0	0	0	28688	155	0	
1155																														0	5419	648	1107	16167		56		2991	0			27520	1348	5840	0	0	82176	0	0			0	15741	4807	402	29024	1713	2453	3708	6200	717	950	25744	9039	10640	15613	5149	232								380	152		
1351																														0	0	7658	0	4607		178		3943	0			13887	0	8998	0	0	47197	0	126			0	7800	0	7145	39313	1961	5481	108	250	0	0	12616	19255	5932	1408	147	0								0	0		
1454																														0	1519	2967	1830	28968		45		5233	0			27293	1165	31228	0	0	137903	96	0			0	31293	3939	1770	21887	2782	1820	2544	3606	18498	1971	26379	5645	22742	32011	19230	249								1365	1154		
1557																														0	31	3438	0	1846		15		8415	0			1495	0	1004	0	0	19490	0	0			0	3246	0	0	8033	104	552	907	1130	330	223	2443	4934	3246	4504	601	516								0	0		
1632																														0	5404	4621	8456	60546		2292		7202	0			37554	3394	9417	0	1015	174671	0	0			0	31806	2964	4621	57513	8610	4291	12759	3428	612	2068	53601	26059	40003	15574	6926	702								0	0		
1669																														0	742	232	5	5781		240		2198	64			9250	0	11403	0	200	65171	0	0			0	33793	1327	18706	7066	1673	6142	5422	6046	14487	0	5526	8527	8381	5010	3678	175								0	0		
1829																														0	737	0	4867	29018		42		0	0			22227	7456	3028	0	976	139422	280	12365			0	49949	7463	0	23641	102	215	1001	7444	19314	21752	21003	2321	10391	27562	25259	1373								731	843		
1856																														0	0	744	0	295		0		336	0			535	0	664	0	0	4019	0	0			0	1445	0	1193	1164	1296	40	7	35	67	0	1289	619	371	230	65	0								0	0		
2040																														150	1836	1810	0	10570		28		4338	0			39293	0	7488	0	1337	99933	0	0			0	32331	412	4019	44521	4978	6380	19164	952	8	244	16287	16876	25639	5001	2752	0								340	0		
2161																														0	1172	627	0	7275		237		1344	0			4194	0	13632	0	0	50851	983	0			0	22929	0	16948	19019	909	6817	6835	3839	4400	129	5308	5985	8567	6198	2671	176								424	0		
2376																														0	884	0	138438	20674	0	0	0	0	0	0	0	0	3992	250	0	0	359122	0	0	0	0	0	176551	18333	21128	30355	477	3144	5102	10448	73055	84141	13711	20039	34239	50450	29780	34276	0	0	0	0	0	0	0	0	0	0	
2451																														0	268	1419	0	403		0		2731	0			1431	0	1264	0	20	10703	0	0			0	3121	46	961	5653	173	285	2063	496	104	0	1455	3740	1094	888	170	103								0	0		
2554																														0	0	565	0	0		4		2408	0			527	0	481	0	0	4053	0	0			0	68	0	0	1572	0	0	22	13	34	0	2774	208	247	177	575	0								0	0		
2732																														0	20831	0	59896	123624	0	64	64	0	0	83082	0	83082	6114	5935	0	0	305762	904	0	0	0	0	7020	100	2426	89427	2389	459	2466	1703	3	0	117982	35411	109808	30300	5698	0	0	0	0	0	0	0	0	0	0	0	
2750																														0	0	8425	0	1788		136		18271	0			2668	0	1055	0	0	35153	0	0			0	2616	0	121	13528	9	363	898	894	372	0	5548	17260	2509	2533	2263	232								0	194		
2938																														0	19052	5443	4314	59459		2845		956	0			44476	3309	14887	0	0	196452	0	0			0	34827	6884	7497	95915	10913	4972	9725	6912	764	1438	89239	14366	36470	17570	1994	24								0	0		
2956																														0	943	20085	1692	3119		7		2615	452			2406	1058	4407	0	144	63482	0	0			0	24860	2146	0	56647	7583	16595	151	73	0	0	8873	24296	4053	928	0	220								0	0		
