"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37															0	260	266	1377	36	56	0	0	0	0	0	795	0	0				
242															0	134	0	361	0	30				0	0	197	0	0				
279															15	1225	0	2177	24	94	0	0	0	0	0	858	27	0				
354															0	4	0	141	0	4	0	0	0	0	0	133	0	0				
439															0	0	187	1617	87	204	0	0	0	0	0	1226	0	0				
457															0	5	88	792	0	394	0	0	0	0	0	305	386	0				
505															0	1419	0	4830	962	2205	904	0	0	0	0	1206	0	0	Split dollar receivable                                                                                                                                                                          			
1146															0	2300	0	11957	1129	8865	5405	0	0	0	0	792	0	0	TITLE PLANT INVT - LTC                                                                                                                                                                           			
1155															0	462	218	1640	37	56	0	0	0	0	0	904	0	0				
1351															0	0	323	1607	35	35	0	0	0	0	0	1249	0	0				
1454															0	1080	0	3853	800	908	0	0	0	0	0	1865	0	0				
1557															0	23	0	846	37	63	0	0	0	0	0	760	0	0				
1632															4	800	573	4486	0	1566	0	0	0	0	0	1547	968	0				
