RCFD1410,RCFD1420,RCFD1460,RCFD1563,RCFD1590,RCFD1616,RCFD1763,RCFD1764,RCFD1797,RCFD2011,RCFD2081,RCFD2107,RCFD2122,RCFD2123,RCFD2182,RCFD2183,RCFD2746,RCFD5367,RCFD5368,RCFDA247,RCFDA570,RCFDA571,RCFDA572,RCFDA573,RCFDA574,RCFDA575,RCFDB532,RCFDB533,RCFDB534,RCFDB536,RCFDB537,RCFDB538,RCFDB539,RCFDB837,RCFDC391,RCFDC779,RCFDC780,RCFDF158,RCFDF159,RCFDF160,RCFDF161,RCFDF162,RCFDF163,RCFDG091,RCFDG092,RCFDG093,RCFDG094,RCFDG095,RCFDG096,RCFDG097,RCFDG098,RCFDG099,RCFDG100,RCFDG101,RCFDG102,RCFDG378,RCFDHK25,RCFDK098,RCFDK137,RCFDK163,RCFDK164,RCFDK165,RCFDK168,RCFDK203,RCFDK204,RCFDK207,RCON1288,RCON1415,RCON1420,RCON1460,RCON1480,RCON1545,RCON1564,RCON1590,RCON1763,RCON1764,RCON1766,RCON1797,RCON2011,RCON2081,RCON2107,RCON2122,RCON2123,RCON2165,RCON2746,RCON5367,RCON5368,RCON5370,RCONA247,RCONA564,RCONA565,RCONA566,RCONA567,RCONA568,RCONA569,RCONA570,RCONA571,RCONA572,RCONA573,RCONA574,RCONA575,RCONB531,RCONB534,RCONB535,RCONB538,RCONB539,RCONC779,RCONC780,RCONF158,RCONF159,RCONF160,RCONF161,RCONF230,RCONF231,RCONF232,RCONF576,RCONF577,RCONG376,RCONG378,RCONGW45,RCONGW46,RCONGW47,RCONHK25,RCONJ451,RCONJ454,RCONJ464,RCONK098,RCONK137,RCONK158,RCONK159,RCONK160,RCONK161,RCONK162,RCONK165,RCONK166,RCONK168,RCONK203,RCONK204,RCONK207,RCONK256,RCONLE75,RCONLG24,RCONLG25,RIADG377,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,185,739,0,8680,,,123,,,880,0,9589,0,3995,47307,0,0,0,22893,77,0,16037,924,3726,9234,4635,4153,95,7294,4233,6884,4058,1392,366,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2423,0,3811,,,2440,,,1338,0,2731,0,0,20527,0,0,0,7622,157,0,5616,468,1524,4488,684,458,0,3734,5251,2477,1284,88,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4039,373,1086,5636,,,263,,,1153,7,2865,0,0,42042,13,347,195,25830,432,791,5295,858,424,1243,1598,10145,11562,3020,2258,1964,2804,5328,851,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,773,0,52,,,661,,,204,0,583,0,0,4065,0,0,0,1792,0,1685,884,0,1765,0,0,0,0,196,1540,374,107,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10420,17897,158,44187,,,1901,,,16758,0,6070,0,3352,123171,0,0,0,21672,756,1857,50423,3687,3306,9829,3881,711,25,42137,15471,30568,10875,2271,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1974,2521,0,1896,,,5276,,,3328,0,4057,0,420,24951,0,0,0,5206,251,4685,11307,652,941,3587,26,0,0,4252,5462,7484,2431,112,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7689,0,4556,25545,,,0,,,16430,10728,35978,0,7186,195034,8201,0,0,91322,3237,26912,19627,99,24592,856,3536,37021,25218,32576,6936,11982,26773,21551,11978,,,,0,502,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70268,932,8262,73576,59,1161,0,25199,0,25199,12359,12795,0,0,370177,6,0,0,98203,10061,18425,173272,47575,7119,10965,8635,773,23075,81051,29758,113298,43613,3273,331,0,0,0,57151,157,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9504,4082,235,30131,,,4628,,,29730,1263,6736,0,925,114723,0,0,0,17203,5191,870,35572,2419,2093,3963,6619,1556,553,27698,14935,16968,30997,4896,1750,,,,474,241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9300,0,10353,,,4534,,,16581,0,0,0,0,59032,0,182,0,9244,0,8443,49655,1969,6733,148,245,111,0,14896,26057,5765,2678,165,0,,,,0,8686,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2005-09-30
