RCFD1410,RCFD1420,RCFD1460,RCFD1563,RCFD1590,RCFD1616,RCFD1763,RCFD1764,RCFD1797,RCFD2011,RCFD2081,RCFD2107,RCFD2122,RCFD2123,RCFD2182,RCFD2183,RCFD2746,RCFD5367,RCFD5368,RCFDA247,RCFDA570,RCFDA571,RCFDA572,RCFDA573,RCFDA574,RCFDA575,RCFDB532,RCFDB533,RCFDB534,RCFDB536,RCFDB537,RCFDB538,RCFDB539,RCFDB837,RCFDC391,RCFDC779,RCFDC780,RCFDF158,RCFDF159,RCFDF160,RCFDF161,RCFDF162,RCFDF163,RCFDG091,RCFDG092,RCFDG093,RCFDG094,RCFDG095,RCFDG096,RCFDG097,RCFDG098,RCFDG099,RCFDG100,RCFDG101,RCFDG102,RCFDG378,RCFDHK25,RCFDK098,RCFDK137,RCFDK163,RCFDK164,RCFDK165,RCFDK168,RCFDK203,RCFDK204,RCFDK207,RCON1288,RCON1415,RCON1420,RCON1460,RCON1480,RCON1545,RCON1564,RCON1590,RCON1763,RCON1764,RCON1766,RCON1797,RCON2011,RCON2081,RCON2107,RCON2122,RCON2123,RCON2165,RCON2746,RCON5367,RCON5368,RCON5370,RCONA247,RCONA564,RCONA565,RCONA566,RCONA567,RCONA568,RCONA569,RCONA570,RCONA571,RCONA572,RCONA573,RCONA574,RCONA575,RCONB531,RCONB534,RCONB535,RCONB538,RCONB539,RCONC779,RCONC780,RCONF158,RCONF159,RCONF160,RCONF161,RCONF230,RCONF231,RCONF232,RCONF576,RCONF577,RCONG376,RCONG378,RCONGW45,RCONGW46,RCONGW47,RCONHK25,RCONJ451,RCONJ454,RCONJ464,RCONK098,RCONK137,RCONK158,RCONK159,RCONK160,RCONK161,RCONK162,RCONK165,RCONK166,RCONK168,RCONK203,RCONK204,RCONK207,RCONK256,RCONLE75,RCONLG24,RCONLG25,RIADG377,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1312,0,,,,122,,,2137,0,8081,0,0,44558,0,0,0,22766,88,0,15841,1592,4775,8189,5083,2546,242,3746,5728,7243,3689,775,263,,,,0,0,0,0,332,588,263,8786,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1283,0,,,,3061,,,2007,0,2696,0,0,21056,0,0,0,7562,29,0,11105,345,811,4073,1023,1249,0,6120,3890,2012,1195,277,0,,,,0,0,0,0,0,0,0,4408,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,194,81,,,,374,,,3539,343,7026,0,0,66467,27,272,116,36434,376,236,8415,358,117,3568,1634,12288,18469,5008,3448,5782,4521,9034,2267,,,,0,0,0,0,2417,3971,2743,8722,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1070,0,,,,697,,,327,0,722,0,0,4387,0,0,0,1512,22,1401,1047,1493,0,0,0,0,0,1760,410,322,209,11,0,,,,0,0,0,0,0,0,37,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3110,0,,,,5970,,,3911,0,2841,0,382,27348,0,0,0,5081,768,4497,12618,428,1006,3278,286,0,0,3954,7329,6994,3150,111,382,,,,0,0,0,0,1009,908,2688,641,0,,,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,5185,,0,49,0,14427,0,14427,15540,38521,0,9961,268565,7971,0,0,147868,6208,37745,20372,2121,9575,17097,7602,39217,70612,23521,11624,19433,29133,32088,12291,0,0,0,0,491,0,0,2389,1391,19305,15201,0,,,0,2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5321,507,,,,5194,,,39412,927,6799,0,1881,143666,0,0,0,18428,4006,355,49367,1933,2975,3812,7989,892,827,45430,14756,24257,31305,4929,4381,,,,535,158,0,0,1963,5933,18802,25405,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,9623,0,,,,4836,,,18753,0,9722,0,0,67452,0,48,0,11516,0,11516,52323,2721,7778,317,202,370,84,14363,27461,8037,4392,1002,0,,,,0,0,0,0,0,0,0,12834,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5977,971,,0,42,2461,36549,0,36549,3295,30544,0,0,215624,633,56,0,72887,7334,4781,32109,3272,2693,3700,6595,32832,23795,24444,12077,26476,42043,32642,3865,0,0,0,0,1184,0,0,2418,2807,25543,24189,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5676,0,,,,11746,,,976,0,987,0,0,23862,0,0,0,2391,0,0,9456,99,570,457,915,350,0,1442,7345,2423,6692,2723,846,,,,0,0,0,0,0,366,1658,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2008-12-31
