RCFD1410,RCFD1420,RCFD1460,RCFD1563,RCFD1590,RCFD1616,RCFD1763,RCFD1764,RCFD1797,RCFD2011,RCFD2081,RCFD2107,RCFD2122,RCFD2123,RCFD2182,RCFD2183,RCFD2746,RCFD5367,RCFD5368,RCFDA247,RCFDA570,RCFDA571,RCFDA572,RCFDA573,RCFDA574,RCFDA575,RCFDB532,RCFDB533,RCFDB534,RCFDB536,RCFDB537,RCFDB538,RCFDB539,RCFDB837,RCFDC391,RCFDC779,RCFDC780,RCFDF158,RCFDF159,RCFDF160,RCFDF161,RCFDF162,RCFDF163,RCFDG091,RCFDG092,RCFDG093,RCFDG094,RCFDG095,RCFDG096,RCFDG097,RCFDG098,RCFDG099,RCFDG100,RCFDG101,RCFDG102,RCFDG378,RCFDHK25,RCFDK098,RCFDK137,RCFDK163,RCFDK164,RCFDK165,RCFDK168,RCFDK203,RCFDK204,RCFDK207,RCON1288,RCON1415,RCON1420,RCON1460,RCON1480,RCON1545,RCON1564,RCON1590,RCON1763,RCON1764,RCON1766,RCON1797,RCON2011,RCON2081,RCON2107,RCON2122,RCON2123,RCON2165,RCON2746,RCON5367,RCON5368,RCON5370,RCONA247,RCONA564,RCONA565,RCONA566,RCONA567,RCONA568,RCONA569,RCONA570,RCONA571,RCONA572,RCONA573,RCONA574,RCONA575,RCONB531,RCONB534,RCONB535,RCONB538,RCONB539,RCONC779,RCONC780,RCONF158,RCONF159,RCONF160,RCONF161,RCONF230,RCONF231,RCONF232,RCONF576,RCONF577,RCONG376,RCONG378,RCONGW45,RCONGW46,RCONGW47,RCONHK25,RCONJ451,RCONJ454,RCONJ464,RCONK098,RCONK137,RCONK158,RCONK159,RCONK160,RCONK161,RCONK162,RCONK165,RCONK166,RCONK168,RCONK203,RCONK204,RCONK207,RCONK256,RCONLE75,RCONLG24,RCONLG25,RIADG377,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,1339,0,4692,,,59,,,897,0,10619,0,1097,41539,0,0,0,22691,82,0,12128,1327,2045,9144,3916,6162,97,2272,6535,4606,3341,1790,221,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2002-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1951,0,3257,,,1481,,,1037,71,2492,0,0,16267,3,10,0,5926,42,0,3564,147,582,3468,1551,178,0,2249,4939,1586,1214,356,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2002-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1465,85,111,3167,,,132,,,515,4,2188,0,0,27521,30,0,38,19285,599,859,2127,97,275,292,562,6427,11632,1100,1102,1140,934,3279,711,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2002-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,706,0,102,,,886,,,302,0,1016,0,0,4146,0,0,0,1103,31,932,1150,117,924,14,0,0,0,259,1472,391,675,114,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2002-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2587,10273,46,29657,,,1571,,,17588,0,11151,0,2744,100117,0,0,0,23131,1369,1397,34729,2627,2548,11161,3595,2598,27,21799,11978,28558,7275,5030,1433,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2002-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,393,1588,0,560,,,3226,,,1382,0,3333,0,231,12523,0,0,0,1777,0,1600,5934,25,175,1279,275,23,0,2341,3393,3222,1377,343,66,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2002-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1358,0,2356,32892,,,0,,,23775,8643,26883,0,2619,161276,4873,0,300,62280,4338,5933,22954,1,1884,676,1072,31322,27069,29170,13686,17284,20187,15554,6287,,,,327,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2002-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35666,89,2492,36255,0,325,0,34628,0,34628,4313,12732,0,0,211342,8,0,0,48062,8925,0,131957,23020,4262,11641,4291,1627,3049,37129,32612,70443,18501,3390,71,0,0,0,27703,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2002-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5463,610,1118,17885,,,2788,,,25063,1350,5649,0,0,81301,0,0,0,16116,4530,405,27117,2279,1531,3815,6992,650,849,26550,6923,10858,15560,4992,233,,,,378,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2002-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7940,0,4810,,,3953,,,11296,0,8965,0,0,44964,0,209,0,7737,0,5116,36822,1521,5778,224,205,9,0,9824,19699,6125,1380,160,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2002-03-31
