RCFD1410,RCFD1420,RCFD1460,RCFD1563,RCFD1590,RCFD1616,RCFD1763,RCFD1764,RCFD1797,RCFD2011,RCFD2081,RCFD2107,RCFD2122,RCFD2123,RCFD2182,RCFD2183,RCFD2746,RCFD5367,RCFD5368,RCFDA247,RCFDA570,RCFDA571,RCFDA572,RCFDA573,RCFDA574,RCFDA575,RCFDB532,RCFDB533,RCFDB534,RCFDB536,RCFDB537,RCFDB538,RCFDB539,RCFDB837,RCFDC391,RCFDC779,RCFDC780,RCFDF158,RCFDF159,RCFDF160,RCFDF161,RCFDF162,RCFDF163,RCFDG091,RCFDG092,RCFDG093,RCFDG094,RCFDG095,RCFDG096,RCFDG097,RCFDG098,RCFDG099,RCFDG100,RCFDG101,RCFDG102,RCFDG378,RCFDHK25,RCFDK098,RCFDK137,RCFDK163,RCFDK164,RCFDK165,RCFDK168,RCFDK203,RCFDK204,RCFDK207,RCON1288,RCON1415,RCON1420,RCON1460,RCON1480,RCON1545,RCON1564,RCON1590,RCON1763,RCON1764,RCON1766,RCON1797,RCON2011,RCON2081,RCON2107,RCON2122,RCON2123,RCON2165,RCON2746,RCON5367,RCON5368,RCON5370,RCONA247,RCONA564,RCONA565,RCONA566,RCONA567,RCONA568,RCONA569,RCONA570,RCONA571,RCONA572,RCONA573,RCONA574,RCONA575,RCONB531,RCONB534,RCONB535,RCONB538,RCONB539,RCONC779,RCONC780,RCONF158,RCONF159,RCONF160,RCONF161,RCONF230,RCONF231,RCONF232,RCONF576,RCONF577,RCONG376,RCONG378,RCONGW45,RCONGW46,RCONGW47,RCONHK25,RCONJ451,RCONJ454,RCONJ464,RCONK098,RCONK137,RCONK158,RCONK159,RCONK160,RCONK161,RCONK162,RCONK165,RCONK166,RCONK168,RCONK203,RCONK204,RCONK207,RCONK256,RCONLE75,RCONLG24,RCONLG25,RIADG377,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1374,0,7922,,,73,,,1564,0,9568,0,2775,46060,0,0,0,22625,61,0,14903,842,3357,7871,6700,3751,59,6269,4526,5420,4505,1754,440,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2757,0,3613,,,2408,,,1038,72,2602,0,0,19821,0,0,0,7199,122,0,5133,372,1137,3821,1479,358,0,3803,5485,1931,1232,153,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2909,390,1100,4009,,,236,,,416,9,2342,0,0,35754,15,331,3,23484,505,713,4098,514,673,1145,1067,9560,10525,2014,1456,1981,1553,4627,654,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,803,0,66,,,670,,,292,0,788,0,0,4472,0,0,0,1853,0,1766,753,46,1720,0,0,0,0,196,1665,457,162,20,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8964,15915,174,45994,,,1794,,,17357,0,8590,0,2509,123270,0,0,0,21136,837,2064,45147,3161,3636,8180,4867,941,26,39930,15572,31005,10611,3918,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1370,2669,0,3027,,,4612,,,3228,0,3882,0,153,23363,0,0,0,4372,0,3934,10138,674,597,2898,203,0,0,4247,4620,5869,3615,242,393,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4647,0,4168,22376,,,0,,,14395,10854,33267,0,8169,162346,7319,0,0,70882,350,16444,19436,195,14195,895,3673,31409,20487,27463,7294,12147,22584,17113,11477,,,,0,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40573,725,4997,77874,9,777,61,34901,0,34901,8317,10773,0,0,311557,7,0,0,75365,9356,17007,158410,28351,5492,7293,12561,673,20751,49412,39841,84990,57931,3910,0,0,0,0,47683,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5053,1177,148,31207,,,3999,,,32242,1142,6213,0,0,102607,0,0,0,14205,5633,122,32226,723,1296,3724,6487,1415,560,32330,9313,9171,31888,5529,0,,,,461,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9104,0,8950,,,4742,,,14802,0,8542,0,0,55694,0,224,0,9263,0,8325,47836,2103,6605,95,370,90,0,11921,27207,5148,2058,97,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2885,4862,1547,37446,0,72,4099,31585,0,31585,2093,29713,0,0,161656,372,0,0,41653,3284,3200,27255,3712,2368,1866,5887,22173,5647,37589,7760,16580,34626,23234,0,0,0,0,1541,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,3976,0,1153,,,5520,,,659,0,679,0,0,14524,0,0,0,2459,0,0,4472,20,123,592,1309,415,0,1726,2603,2579,4803,354,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52167,4885,6812,81945,,,6161,,,53879,13316,12650,0,850,275180,0,0,0,36420,3079,14323,119351,15458,6751,9208,3254,124,1327,145958,27281,41866,13732,8436,1418,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1085,128,0,5607,,,1819,,,9729,0,9755,0,100,70171,0,0,0,40261,1551,24965,7025,984,3016,4260,5588,17321,8928,4371,6822,6171,7556,4736,137,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9604,0,12223,39395,,,0,,,29205,8503,1733,0,177,186913,231,21376,0,55606,7956,0,27505,224,136,433,8560,26321,18830,26333,812,13293,42077,46215,1941,,,,575,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,481,0,534,,,1042,,,2620,0,1363,0,0,8526,0,0,0,2393,0,2054,2355,1575,114,29,167,343,0,3928,635,683,623,251,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2372,3127,4734,1806,,,3104,,,59002,729,6453,0,12,118174,0,0,0,35693,557,2123,44529,7770,5760,17773,2515,141,0,21095,9904,39759,9860,1312,0,,,,391,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,888,1203,0,6471,,,1569,,,5545,0,10065,0,0,54357,71,0,0,28136,0,19998,18175,1875,6758,5294,6989,7075,57,4555,4987,7926,6376,2348,100,,,,416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161,2004-09-30
