"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	556	0	0	0		0	0	0		52188	13380	82	0	0	0	0		0		0	0	7647	0	0	0	0	0	0	0	0	0	0		
242	0			0		0	0	0		13114	9711	49	0			0		0		0	0	1147	0	0	0	0	0	0	0	0	0			
279	0	0	0	0		0	0	0		62687	16311	114	0	0	0	0		0		0	0	9912	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6154	1056	5	0	0	0	0		0		0	0	556	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		96659	52876	209	0	0	0	0		0		0	0	25109	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		17529	6174	36	0	0	0	0		0		0	0	1898	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		148643	112797	373	0	0	0	0		0		0	0	88469	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	1896		0	0	10		181113	144223	578	0	0	0	0		0		0	0	82910	0	0	0	0	0	0						
1155	0	0	0	0		0	0	0		81782	39561	163	0	0	0	0		0		0	0	25926	0	0	0	0	0	0	0	0	0	0		
1351	0	21	0	0		0	0	0		41750	47598	224	0	0	0	0		0		0	0	25198	0	0	0	0	0	0	0	0	0	0		
1454	0	0	0	0		0	0	0		191958	148316	460	0	0	0	0		0		0	0	96485	0	0	0	0	0	0	0	0	0	0		
1557	0	0	0	0		0	0	0		21365	6650	35	0	0	0	0		0		0	0	2127	0	0	0	0	0	0	0	0	0	0		
1632	2	0	0	0		0	0	0		149500	165326	538	1	0	0	0		0		86	0	131614	0	0	0	0	0	0	0	0	0	0		
1669	0	0	0	0		0	0	0		124866	57043	204	0	0	0	0		0		0	0	41039	0	0	0	0	0	0	0	0	0	0		
