"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
859002															0	2637	654	9287	0	3192	0	0	0	0	0	2804	2336	0				
859141															0	532	0	4031	0	1884	0	0	0	0	0	1615	1579	0				
859150															0	0	0	1711	0	1304	0	0	0	0	0	407	1244	0				
859543															0	1026	0	2585	35	963				0	0	596	928	0				
859552															0	119	597	2686	282	936	479	0	0	0	0	1034	0	0	NON POST DDA DEBITS                                                                                                                                                                              			
859655															0	245	73	2039	0	1185				0	0	536	816	0				
859712															0	15135	1417	116885	0	82519	0	0	0	0	0	17814	67160	0				
859851															0	105	0	464	0	96	71	0	0	0	0	263	0	0	Accrued Other Income                                                                                                                                                                             			
859945															0	1199	0	7667	0	5767	0	0	0	0	0	701	2875	0				
860053															5	350	97	785	54	85	0	0	0	0	0	253	0	0				
860147															0	366	26	1259	79	80	0	0	0	0	0	787	0	0				
860156															259	291	0	2271	218	589	0	0	0	0	0	1391	0	0				
860231															0	0	0	504	5	5	0	0	0	0	0	499	0	0				
860259															132	0	243	1252	0	132	0	0	0	0	0	877	0	0				
860334															0	777	0	1788	164	255	89	0	0	0	0	756	0	0	MBS/SBA PRINCIPAL PAYMENTS DUE                                                                                                                                                                   			
860352															0	0	0	648	1	1	0	0	0	0	0	647	0	0				
861153															0	57	31	525	23	49	5	0	0	0	0	388	21	0	ACCOUNTS RECEIVABLE                                                                                                                                                                              			
861434															0	3116	290	9069	441	1145	48			0	0	4518	0	0	Wire Receivable from Goldman Sachs                                                                                                                                                               			
861658															0	1728	0	3226	28	344	0	0	0	0	0	1154	273	8				
861742															0	72	0	672	0	294	0	0	0	0	0	306	273	0				
861854															0	14	0	742	84	99	13	0	0	0	0	629	0	0	UNAMORTIZED SOFTWARE                                                                                                                                                                             			
862057															0	342	0	1975	79	1077	508	267	0	0	0	556	0	0	Accrued Int. Rec. Fed Agcy Bonds                                                                                                                                                                 	DDA Transfer in Process                                                                                                                                                                          		
862141															0	163	159	923	39	54	0	0	0	0	0	547	0	0				
862552															0	518	0	1114	66	124	0	0	0	0	0	472	0	0				
862824															337	1733	0	13663	700	7395	2142	0	0	0	0	4535	0	0	Accrued Pension Plan                                                                                                                                                                             			
862851															0	228	0	1431	0	754	0	0	0	0	0	449	719	0				
862945															0	59	16	841	5	572	0	0	0	0	0	194	567	0				
863353															0	139	0	1047	0	514	0	0	0	0	0	394	427	0				
863362															0	45	0	238	0	36	0	0	0	0	0	157	0	0				
863607															0	1131	307	3473	0	1467	606	0	0	0	0	568	817	0	INT EARNED NOT COLLECTED ON BONDS                                                                                                                                                                			
863652															0	169	0	600	35	35	0	0	0	0	0	396	0	0				
