"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											260	0			0			0	0	0	0	
242											136	0			0			1412	0	0	0	
279											1866	0			0			37155	196	0	0	
354											5	0			0			0	0	0	0	
439											0	0			0			0	0	0	0	
457											40	0			0			0	0	0	0	
505											1419	0			0			9000	0	0	0	
1146											2315	0			0			23500	484	0	0	
1155											462	0			0			0	0	0	11341	
1351											0	0			0			0	0	0	0	
1454											1093	0			0			0	5	0	0	
1557											23	0			0			128	0	0	0	
1632											800	0			0			16000	0	0	1809	
1669											682	0			0			527	0	0	0	
1829											1041	0			0			5000	1797	0	100	
1856											20	0			0			0	0	0	0	
2040											953	0			0			12540	222	0	0	
2161											198	0			0			0	0	0	0	
2376											5458	0			0			95000	40000	0	0	
2451											100	0			0			1700	3	0	0	
2554											0	0			0			0	0	0	0	
2732											181	0			0			457	0	0	0	
2750											196	0			0			3870	0	0	500	
2938											1775	0			0			35500	32	0	5223	
2956											0	0			0			0	0	0	0	
3252											267	0			0			5101	0	0	0	
3458											47	0			0			0	0	0	1350	
3506											3937	0			0			17000	0	0	22049	
3579											1908	0			0			29094	0	0	5329	
3720											625	0			0			9280	0	0	1197	
3953											53	0			0			213	0	0	0	
4138											776	0			0			5433	2435	0	0	
4147											2777	0			0			6000	28	0	0	
4156											617	0			0			10144	0	0	0	
4231											0	0			0			0	0	0	0	
4437											525	0			0			0	0	0	3143	
4745											0	0			0			0	0	0	0	
4839											1082	0			0			21400	0	0	1931	
5005											1909	0			0			25655	12303	0	0	
5050											388	0			0			4300	0	0	0	
5069											0	0			0			0	712	0	0	
5135											334	0			0			0	0	0	0	
5210											3682	0			0			37750	0	0	39717	
5247											0	0			0			2603	0	0	14721	
5274											3409	0			0			8166	0	0	406	
5331											1837	0			0			16679	0	0	0	
5461											0	0			0			413	1193	0	0	
5751											0	0			0			0	0	0	0	
5939											15261	0			0			77243	0	0	34689	
6039											299	0			0			25	54	0	0	
6057											115	0			0			1600	0	0	0	
6141											0	0			0			0	0	0	0	
6329											780	0			0			0	0	0	0	
6972											0	0			0			2607	0	0	2918	
7009											0	0			0			0	16535	0	0	
7045											0	0			0			0	0	0	0	
7157											0	0			0			0	0	0	0	
7166											1523	0			0			12000	0	0	0	
7456											86	0			0			0	0	0	0	
7634											201	0			0			0	0	0	0	
8033											433	0			0			6062	0	0	0	
8154											132	0			0			0	0	0	0	
8417											2322	0			0			0	0	635527	0	
8462											21	0			0			0	0	0	0	
8547											2972	0			0			22200	0	0	0	
8631											139	0			0			0	0	0	0	
9115											1043	0			0			0	80110	0	5447	
9160											568	0			0			7650	0	0	0	
9339											3358	0			0			36500	0	0	0	
9357											10910	0			0			173500	0	0	5656	
9553											538	0			0			7916	0	0	0	
9807											15801	0			0			245708	0	0	45535	
9955											937	0			0			2584	0	0	0	
10157											533	0			0			5375	4	0	0	
10250											893	0			0			0	0	0	0	
10849											1239	0			0			8270	0	0	0	
10858											1209	0			0			6645	0	0	13175	
11145											687	0			0			12649	0	0	0	
11640											2379	0			0			32558	0	0	0	
11837											896	0			0			0	0	0	0	
12030											623	0			0			10000	0	0	0	
12058											346	0			0			2180	0	0	0	
12142											507	0			0			2500	0	0	0	
12245											297	0			0			3500	516	0	0	
12311	10957	825350	145456	1100671	0	612356	137082	155511	3500	2990927	77423	18340	0	26475408	18340	1800479	22670598	2521011	44	54998	1380543	
12357											4	0			0			0	0	0	0	
12647											148	0			0			0	0	0	0	
12656											23	0			0			0	0	0	0	
12937											624	0			0			529	0	0	0	
12946											1423	0			0			12241	0	0	0	
12955											324	0			0			4500	0	0	0	
13037											68	0			0			0	442	0	0	
13103											2533	0			0			3225	25285	0	9479	
13251											177	0			0			0	0	0	0	
13309											17536	0			0			289962	12797	0	37814	
13457											3	0			0			0	21	0	0	
14052											243	0			0			2500	0	0	0	
14155											267	0			0			5340	0	0	0	
14258											3357	0			0			25000	0	0	0	
