"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	TEXT4087	
	MICR9999REPORT DATE	LEGAL NAME	CERTIFICATE NUMBER	CITY NAME	STATE ABBREVIATION	ZIP CODE	PRIMARY INTERNET WEB ADDRESS	
37	20020930							
242	20020930							
279	20020930							
354	20020930							
439	20020930							
457	20020930							
505	20020930							
1146	20020930							
1155	20020930							
1351	20020930							
1454	20020930							
1557	20020930							
1632	20020930							
1669	20020930							
1829	20020930							
1856	20020930							
2040	20020930							
2161	20020930							
2376	20020930							
2451	20020930							
2554	20020930							
2732	20020930							
2750	20020930							
2938	20020930							
2956	20020930							
3252	20020930							
3458	20020930							
3506	20020930							
3579	20020930							
3720	20020930							
3953	20020930							
4138	20020930							
4147	20020930							
4156	20020930							
4231	20020930							
4437	20020930							
4745	20020930							
4839	20020930							
5005	20020930							
5050	20020930							
5069	20020930							
5135	20020930							
5210	20020930							
5247	20020930							
5274	20020930							
5331	20020930							
5461	20020930							
5751	20020930							
5939	20020930							
6039	20020930							
6057	20020930							
6141	20020930							
6329	20020930							
6972	20020930							
7009	20020930							
7045	20020930							
7157	20020930							
7166	20020930							
7456	20020930							
7634	20020930							
8033	20020930							
8154	20020930							
8417	20020930							
8462	20020930							
8547	20020930							
8631	20020930							
9115	20020930							
9160	20020930							
9339	20020930							
9357	20020930							
9553	20020930							
9807	20020930							
9955	20020930							
10157	20020930							
10250	20020930							
10849	20020930							
10858	20020930							
11145	20020930							
11640	20020930							
11837	20020930							
12030	20020930							
12058	20020930							
12142	20020930							
12245	20020930							
12311	20020930							
12357	20020930							
12647	20020930							
12656	20020930							
12937	20020930							
12946	20020930							
12955	20020930							
13037	20020930							
13103	20020930							
13251	20020930							
13309	20020930							
13457	20020930							
14052	20020930							
14155	20020930							
14258	20020930							
14409	20020930							
14454	20020930							
14650	20020930							
14753	20020930							
14865	20020930							
14931	20020930							
14940	20020930							
15536	20020930							
15732	20020930							
16337	20020930							
16355	20020930							
16458	20020930							
16551	20020930							
16748	20020930							
16766	20020930							
16944	20020930							
16953	20020930							
17110	20020930							
17147	20020930							
17259	20020930							
17464	20020930							
17549	20020930							
17839	20020930							
17950	20020930							
18050	20020930							
18126	20020930							
18135	20020930							
18368	20020930							
18377	20020930							
18827	20020930							
18836	20020930							
18854	20020930							
18863	20020930							
18957	20020930							
19356	20020930							
19730	20020930							
19936	20020930							
19972	20020930							
20053	20020930							
20147	20020930							
20259	20020930							
20370	20020930							
20512	20020930							
20633	20020930							
20754	20020930							
20839	20020930							
20857	20020930							
20866	20020930							
21256	20020930							
21359	20020930							
21630	20020930							
21658	20020930							
22048	20020930							
22235	20020930							
22356	20020930							
22459	20020930							
22543	20020930							
22552	20020930							
22730	20020930							
22936	20020930							
22954	20020930							
23036	20020930							
23045	20020930							
23241	20020930							
23456	20020930							
23504	20020930							
23540	20020930							
23643	20020930							
23755	20020930							
23812	20020930							
24006	20020930							
24266	20020930							
24453	20020930							
24659	20020930							
24668	20020930							
24855	20020930							
24949	20020930							
25357	20020930							
25647	20020930							
25852	20020930							
26149	20020930							
26233	20020930							
26242	20020930							
26457	20020930							
26756	20020930							
26765	20020930							
26859	20020930							
26916	20020930							
27548	20020930							
27614	20020930							
27838	20020930							
27847	20020930							
28013	20020930							
28152	20020930							
28255	20020930							
28349	20020930							
28406	20020930							
28572	20020930							
28732	20020930							
29104	20020930							
29159	20020930							
29252	20020930							
29636	20020930							
29850	20020930							
29944	20020930							
29953	20020930							
30025	20020930							
30052	20020930							
30146	20020930							
30155	20020930							
30258	20020930							
30418	20020930							
30502	20020930							
30650	20020930							
30810	20020930							
30856	20020930							
31134	20020930							
31152	20020930							
31255	20020930							
31303	20020930							
31657	20020930							
31826	20020930							
31835	20020930							
32159	20020930							
32234	20020930							
32766	20020930							
33147	20020930							
33259	20020930							
33268	20020930							
33549	20020930							
33727	20020930							
33754	20020930							
33772	20020930							
33839	20020930							
33857	20020930							
34032	20020930							
34153	20020930							
34359	20020930							
34425	20020930							
34434	20020930							
34452	20020930							
34537	20020930							
34555	20020930							
