"IDRSSD"	RCON6979	TEXT6980	
	NO COMMENT-BK MANAGEMENT STATEMENT	BANK MANAGEMENT STATEMENT	
74458	false		
75053	false		
75259	false		
75446	false		
75455	false		
75558	false		
75576	false		
75633	false		
75651	false		
75857	false		
76050	false		
76135	false		
76153	false		
76201	false		
76443	false		
76742	false		
76854	false		
77150	false		
77253	false		
77347	false		
77374	false		
77422	false		
77758	false		
77851	false		
78036	false		
78054	false		
78157	false		
78241	false		
78559	false		
78643	false		
78858	false		
79042	false		
79127	false		
79145	false		
79257	false		
79855	false		
80020	false		
80150	false		
80431	false		
80552	false		
80936	false		
81054	false		
81429	false		
82024	false		
82033	false		
82257	false		
82350	false		
82659	false		
83151	false		
83236	false		
83311	false		
83357	false		
83450	false		
83638	false		
83834	false		
83852	false		
83955	false		
84046	false		
84055	false		
84251	false		
84345	false		
84541	false		
84804	false		
84970	false		
85043	false		
85052	false		
85258	false		
85454	false		
85856	false		
85931	false		
86349	true		
86358	false		
86527	false		
86554	false		
87047	false		
87159	false		
87234	false		
87476	false		
87533	false		
87944	true		
88240	false		
88259	false		
88352	false		
88455	false		
88530	true		
88950	false		
89032	false		
89135	false		
89162	false		
89452	false		
89751	false		
89854	false		
89957	false		
90047	false		
90159	false		
90234	false		
90252	false		
90328	false		
90337	false		
90403	false		
90467	false		
90627	false		
90645	false		
90739	false		
91129	false		
91147	false		
91156	false		
91259	false		
91615	false		
91651	false		
91754	false		
91866	false		
91950	false		
91969	false		
92050	true		
92144	false		
92162	false		
92630	false		
92706	false		
92854	false		
92902	false		
93039	false		
93244	false		
93329	true		
93413	false		
93543	false		
93619	false		
93628	false		
93721	false		
93758	false		
94139	false		
94447	false		
94456	false		
94522	false		
94661	false		
94755	false		
94858	false		
95051	false		
95659	false		
95725	false		
95855	false		
96254	false		
96357	false		
96553	false		
97037	false		
97055	false		
97279	true		
97457	false		
97804	false		
97943	false		
98351	false		
98454	false		
98463	false		
98548	false		
98557	false		
98641	false		
98717	false		
99004	false		
99059	false		
99143	false		
99255	false		
99442	false		
99536	false		
99853	false		
99974	true		
100160	false		
100236	false		
100357	false		
100553	false		
100562	false		
100843	false		
101019	false		
101037	false		
101233	false		
101327	false		
101345	false		
101439	false		
101671	false		
101738	false		
101952	false		
102155	false		
102333	false		
102342	false		
102539	false		
102557	false		
103134	false		
103255	false		
103536	false		
103554	false		
103563	false		
103602	false		
104038	false		
104056	false		
104234	false		
104430	false		
104542	false		
104663	false		
105026	false		
105044	false		
105053	false		
