"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	
37	1039	135	49	0	987	132	0	
242	128	7	1	0	130	10	0	
279	338	17	7	0	323	9	0	
354	124	0	23	0	133	32	0	
439	879	350	119	0	931	521	0	
457	158	7	6	0	152	7	0	
505	2406	660	103	0	2118	475	0	
1146	2691	50	40	0	3009	408	0	
1155	1319	135	7	0	1239	62	0	
1351	379	70	11	0	373	75	0	
1454	835	80	40	0	862	147	0	
1557	378	17	63	0	358	60	0	
1632	2467	462	209	0	2088	292	0	
1669	940	135	30	0	915	140	0	
1829	1939	232	175	5	1695	158	0	
1856	110	0	2	0	111	3	0	
2040	1223	135	72	0	1381	365	0	
2161	513	37	54	0	492	70	0	
2376	6162	573	0	0	5046	6	549	
2451	138	25	2	0	111	0	0	
2554	37	18	1	0	33	15	0	
2732	2245	545	24	0	2296	620	0	
2750	788	144	16	0	899	271	0	
2938	3327	1800	16	0	2433	922	0	
2956	872	169	21	0	852	170	0	
3252	1120	445	99	0	886	310	0	
3458	345	0	15	0	353	23	0	
3506	6707	885	55	0	6569	802	0	
3579	1823	305	22	0	1563	67	0	
3720	1074	89	4	0	1004	23	0	
3953	760	200	30	0	665	135	0	
4138	867	230	36	0	943	342	0	
4147	502	27	6	0	497	28	0	
4156	819	251	50	0	636	118	0	
4231	669	45	41	0	660	77	0	
4437	1012	239	14	0	837	78	0	
4745	60	3	3	0	55	0	-1	
4839	1716	450	73	0	1516	323	0	
5005	1188	-513	0	0	1747	46	0	
5050	568	105	39	0	540	116	0	
5069	5404	270	0	0	5139	5	0	
5135	1063	0	25	0	1069	31	0	
5210	3652	180	53	0	3723	304	0	
5247	2255	135	23	0	2222	125	0	
5274	670	66	43	0	646	85	0	
5331	710	0	2	0	735	3	-24	
5461	1697	0	26	0	1671	0	0	
5751	787	68	8	0	714	3	0	
