"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	
37																							0	0	24	0	0	0	0	0	0	0	0	0	4	0	20	477	0	0	0	0	0	0	0	false	0	0	
242																							0	0	0	300	0	1412	0	0	0	0	0	0	0	0	0	432	1	0	0	800	312	0	0	true	0	0	
279																							0	232	0	5500	0	37155	0	0	232	0	0	0	0	0	0	118	0	0	0	4250	27405	0	0	false	0	0	
354																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	1	0	0	0	0	0	0	false	0	0	
439																							3338	0	85	0	0	0	0	0	0	3338	0	0	85	0	0	3384	2	0	0	0	0	0	0	false	0	0	
457																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	false	0	0	
505																							71	24	245	2500	0	9000	0	0	24	71	0	0	0	212	33	3968	3	0	0	2500	4000	0	0	true	0	0	
1146																							501	0	1246	23500	2	23500	0	0	0	499	128	0	998	0	120	1085	1	2	0	0	0	0	0	true	0	0	
1155																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6023	6	0	0	0	0	0	0	true	0	0	
1351																							0	0	236	0	0	0	0	0	0	0	0	0	36	0	200	278	0	0	0	0	0	0	0	false	0	0	
1454																							142	0	0	0	0	0	0	0	0	142	0	0	0	0	0	20303	5	0	0	0	0	0	0	true	0	0	
1557																							0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	false	0	128	
1632																							0	0	187	10000	0	16000	0	0	0	0	0	0	0	0	187	12762	5	0	0	0	6000	0	0	true	0	0	
1669																							0	0	4	0	0	527	0	0	0	0	0	0	4	0	0	1981	2	0	0	0	0	0	0	false	0	527	
1829																							0	0	201	0	0	5000	0	0	0	0	0	0	38	0	163	1889	2	0	0	0	5000	0	0	false	0	0	
1856																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	2	0	0	0	0	0	0	false	0	0	
2040																							0	0	0	1000	0	12540	0	0	0	0	0	0	0	0	0	392	0	0	0	8300	3160	0	0	false	0	80	
2161																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1088	0	0	0	0	0	0	0	false	0	0	
2376																							10	2818	666	0	0	95000	666	2818	0	10	0	0	0	0	0	11643	2	0	0	5000	90000	0	0	false	0	0	
2451																							0	0	0	450	0	1700	0	0	0	0	0	0	0	0	0	269	2	0	0	0	1250	0	0	false	0	0	
2554																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	1	0	0	0	0	0	0	false	0	0	
2732																							1560	0	0	0	0	457	0	0	0	1560	0	0	0	0	0	7113	2	0	0	0	0	0	0	true	0	457	
2750																							0	0	218	1775	0	3870	0	0	0	0	0	218	0	0	0	1158	2	0	0	100	1900	0	0	false	0	95	
2938																							0	0	3329	0	0	35500	0	0	0	0	111	0	78	0	3140	15122	7	0	0	25500	10000	0	0	true	679	0	
2956																							0	0	245	0	0	0	0	0	0	0	0	0	195	0	50	12	0	0	0	0	0	0	0	false	0	0	
3252																							0	0	0	2000	0	5101	0	0	0	0	0	0	0	0	0	627	0	0	0	0	3000	0	0	false	0	101	
3458																							0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	false	0	0	
