"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	TEXT4087	
	MICR9999REPORT DATE	LEGAL NAME	CERTIFICATE NUMBER	CITY NAME	STATE ABBREVIATION	ZIP CODE	PRIMARY INTERNET WEB ADDRESS	
37	20011231							
242	20011231							
279	20011231							
354	20011231							
439	20011231							
457	20011231							
505	20011231							
1146	20011231							
1155	20011231							
1351	20011231							
1454	20011231							
1557	20011231							
1632	20011231							
1669	20011231							
1829	20011231							
1856	20011231							
1959	20011231							
2040	20011231							
2161	20011231							
2376	20011231							
2451	20011231							
2554	20011231							
2732	20011231							
2750	20011231							
2938	20011231							
2956	20011231							
3252	20011231							
3458	20011231							
3506	20011231							
3579	20011231							
3720	20011231							
3953	20011231							
4138	20011231							
4147	20011231							
4156	20011231							
4231	20011231							
4437	20011231							
4745	20011231							
4839	20011231							
5005	20011231							
5050	20011231							
5069	20011231							
5135	20011231							
5210	20011231							
5247	20011231							
5274	20011231							
5331	20011231							
5461	20011231							
5751	20011231							
5939	20011231							
6039	20011231							
6057	20011231							
6141	20011231							
6329	20011231							
6842	20011231							
6972	20011231							
7009	20011231							
7045	20011231							
7157	20011231							
7166	20011231							
7456	20011231							
7634	20011231							
8033	20011231							
8154	20011231							
8417	20011231							
8462	20011231							
8547	20011231							
8631	20011231							
9115	20011231							
9160	20011231							
9339	20011231							
9357	20011231							
9553	20011231							
9807	20011231							
9955	20011231							
10157	20011231							
10250	20011231							
10849	20011231							
10858	20011231							
11145	20011231							
11350	20011231							
11640	20011231							
11837	20011231							
12030	20011231							
12058	20011231							
12142	20011231							
12245	20011231							
12311	20011231							
12357	20011231							
12647	20011231							
12656	20011231							
12937	20011231							
12946	20011231							
12955	20011231							
13037	20011231							
13103	20011231							
13251	20011231							
13309	20011231							
13457	20011231							
14052	20011231							
14155	20011231							
14258	20011231							
14409	20011231							
14454	20011231							
14650	20011231							
14753	20011231							
14865	20011231							
14931	20011231							
14940	20011231							
15536	20011231							
15732	20011231							
16337	20011231							
16355	20011231							
16458	20011231							
16551	20011231							
16748	20011231							
16766	20011231							
16944	20011231							
16953	20011231							
17110	20011231							
17147	20011231							
17259	20011231							
17464	20011231							
17549	20011231							
17642	20011231							
17839	20011231							
17950	20011231							
18050	20011231							
18126	20011231							
18135	20011231							
18368	20011231							
18377	20011231							
18827	20011231							
18836	20011231							
18854	20011231							
18863	20011231							
18957	20011231							
19356	20011231							
19730	20011231							
19936	20011231							
19972	20011231							
20053	20011231							
20147	20011231							
20259	20011231							
20370	20011231							
20512	20011231							
20633	20011231							
20754	20011231							
20839	20011231							
20857	20011231							
20866	20011231							
21256	20011231							
21359	20011231							
21630	20011231							
21658	20011231							
22048	20011231							
22235	20011231							
22356	20011231							
22459	20011231							
22543	20011231							
22552	20011231							
22730	20011231							
22860	20011231							
22936	20011231							
22954	20011231							
23036	20011231							
23045	20011231							
23241	20011231							
23344	20011231							
23456	20011231							
23504	20011231							
23540	20011231							
23643	20011231							
23755	20011231							
23812	20011231							
24006	20011231							
24266	20011231							
24453	20011231							
24659	20011231							
24668	20011231							
24855	20011231							
24949	20011231							
25357	20011231							
25450	20011231							
25647	20011231							
25852	20011231							
26149	20011231							
26233	20011231							
26242	20011231							
26457	20011231							
26756	20011231							
26765	20011231							
26859	20011231							
26916	20011231							
27548	20011231							
27614	20011231							
27838	20011231							
27847	20011231							
28013	20011231							
28152	20011231							
28255	20011231							
28349	20011231							
28406	20011231							
28572	20011231							
28732	20011231							
29104	20011231							
29159	20011231							
29252	20011231							
29636	20011231							
29850	20011231							
29944	20011231							
29953	20011231							
30025	20011231							
30052	20011231							
30146	20011231							
30155	20011231							
30258	20011231							
30418	20011231							
30502	20011231							
30650	20011231							
30810	20011231							
30856	20011231							
31134	20011231							
31152	20011231							
31255	20011231							
31303	20011231							
31657	20011231							
31826	20011231							
31835	20011231							
32159	20011231							
32234	20011231							
32766	20011231							
33147	20011231							
33259	20011231							
33268	20011231							
33549	20011231							
33727	20011231							
33754	20011231							
33772	20011231							
33839	20011231							
33857	20011231							
34032	20011231							
34153	20011231							
34359	20011231							
34425	20011231							
34434	20011231							
34452	20011231							
34537	20011231							
34555	20011231							
34742	20011231							
34836	20011231							
34863	20011231							
35057	20011231							
35244	20011231							
35301	20011231							
35570	20011231							
35646	20011231							
35842	20011231							
35851	20011231							
35936	20011231							
36054	20011231							
36344	20011231							
36456	20011231							
36830	20011231							
36858	20011231							
36933	20011231							
37051	20011231							
37341	20011231							
37350	20011231							
37378	20011231							
37435	20011231							
37640	20011231							
37659	20011231							
37743	20011231							
37949	20011231							
38441	20011231							
38478	20011231							
38526	20011231							
38535	20011231							
38740	20011231							
39327	20011231							
39420	20011231							
39475	20011231							
39756	20011231							
39934	20011231							
40033	20011231							
40051	20011231							
40305	20011231							
40350	20011231							
40707	20011231							
40855	20011231							
41245	20011231							
41553	20011231							
41629	20011231							
41647	20011231							
41759	20011231							
41825	20011231							
41937	20011231							
41955	20011231							
42037	20011231							
42055	20011231							
42354	20011231							
42420	20011231							
42448	20011231							
42457	20011231							
42541	20011231							
43052	20011231							
43155	20011231							
43173	20011231							
43324	20011231							
43351	20011231							
43454	20011231							
43511	20011231							
43641	20011231							
43669	20011231							
43744	20011231							
43856	20011231							
43959	20011231							
44040	20011231							
44134	20011231							
44433	20011231							
44451	20011231							
44602	20011231							
44741	20011231							
44750	20011231							
44929	20011231							
45038	20011231							
45047	20011231							
45056	20011231							
45270	20011231							
45430	20011231							
45458	20011231							
45551	20011231							
45560	20011231							
45627	20011231							
45775	20011231							
46053	20011231							
