"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	TOT LNS & LEASES RESTRUCTURED	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-CONSTRUCTION & LAND DEV	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	R.E. LOANS NON-FARM. NON-RES. PROP	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	TOT LNS & LEASES RESTRUCTURED	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	
37																														0	12	1231	0	4630		81		76	0			741	0	10997	0	426	41514	0	0			0	23236	84	0	11303	1441	2527	9510	3474	6186	98	2391	4954	5286	3388	1952	223								0	0		
242																														0	0	1798	0	2887		3		1560	0			1166	70	2398	0	0	15701	7	0			0	5774	52	0	4328	173	690	3529	1089	264	0	2444	4528	1338	1228	396	0								0	0		
279																														0	1247	0	112	2928		0		144	0			433	6	2037	0	0	26433	30	0			58	18955	601	916	2357	121	305	335	434	6317	11443	1572	638	778	871	3295	354								0	0		
354																														0	0	736	0	105		0		917	0			257	0	900	0	0	4018	0	0			0	1071	32	945	1132	1039	0	17	0	0	0	1016	623	530	572	76	0								0	0		
439																														0	1951	10101	48	30990		0		2511	0			19601	0	10909	0	2840	103753	0	0			0	23456	1346	725	35740	2756	3361	10709	3628	2804	27	22528	11884	29940	8426	5601	1443								0	0		
457																														0	529	1549	0	495		25		3184	64			1184	0	3109	0	251	11938	0	0			0	1612	0	1451	6497	213	211	968	154	66	0	2160	3913	2584	1238	362	67								0	0		
505																														0	1016	0	120	38257		27		0	0			24508	7994	26408	0	2779	159787	4770	0			0	61880	544	2762	22912	2	1922	671	770	31084	27222	27963	16228	15970	19194	15481	6269								351	673		
1146																														0	36788	140	3000	31039		1082		0	0			35934	3937	14103	0	0	269591	8	0			0	73893	8960	0	134620	51190	4116	8649	3874	1869	3393	43729	26130	100559	19875	4165	34								60548	175		
1155																														0	4854	585	1126	16723		82		3447	0			27649	1382	5967	0	0	82445	0	0			0	15536	4503	1452	28972	1850	1500	4295	6268	771	852	25745	8030	11420	16565	4796	237								424	167		
1351																														0	0	8424	0	4919		42		3823	0			12037	0	9335	0	0	46571	0	213			0	7778	0	7163	38331	1745	5550	228	215	9	0	9539	21497	6356	1184	157	0								0	0		
1454																														0	6252	2737	1821	19971		64		4545	0			26128	996	31297	0	0	132602	0	0			0	32185	4162	1836	21531	2180	2082	2454	4012	18151	3233	24839	5079	17988	34248	17595	577								1309	1135		
1557																														0	31	2945	0	1611		8		10044	0			1639	0	1040	0	0	20386	0	0			0	3068	0	0	9024	15	378	1233	909	533	0	2724	5907	4109	3780	641	157								0	0		
1632																														0	6115	3566	8219	50761		2693		6277	0			32627	3034	8461	0	1010	150946	0	0			0	25594	2589	2666	61041	6182	3620	9808	3590	583	1811	41193	29913	29955	15761	7848	672								0	0		
1669																														0	1027	246	121	6653		88		1835	68			7900	0	12173	0	250	64535	0	0			0	32985	1257	18539	6846	1700	6243	4813	6442	13787	0	5460	6617	8782	6475	3810	396								0	0		
1829																														0	705	0	2479	27046		65		0	0			26250	5887	3589	0	1090	126711	289	9940			0	40299	8111	0	25289	108	69	1202	3500	16379	18920	23403	1709	9258	20470	28319	1397								733	806		
1856																														0	0	600	309	0		0		428	0			682	0	648	0	0	3921	0	0			0	1254	0	955	1123	1080	31	12	46	85	0	1132	659	367	291	218	0								0	0		
1959																														0	0	1191	0	63		36		3233	0			213	0	85	0	6	4961	0	0			0	134	0	0	3159	0	3	26	97	0	0	984	2172	847	369	180	18								0	0		
2040																														150	1904	1793	0	4877		49		4345	0			43251	0	8587	0	850	96400	0	0			0	29691	543	4975	40311	2467	7132	18638	881	37	245	14334	16378	25613	7494	1440	0								360	0		
2161																														0	1514	441	0	8453		128		1619	0			4356	0	14754	0	0	52375	1358	0			0	21974	0	16908	18868	518	6986	7512	3044	3727	187	6445	6277	8706	7068	3067	196								494	0		
2376																														0	2431	0	132421	14462	0	0	0	0	0	0	0	0	3912	263	0	0	362895	0	0	0	0	0	192465	16941	30901	28754	609	2534	8501	10980	83779	85909	11588	22145	45409	33912	24157	33142	0	0	0	0	0	0	0	0	0	0	
2451																														0	108	1226	0	410		0		2696	0			1352	0	1125	0	200	10140	0	0			0	2975	48	1124	5905	545	506	1493	297	134	0	1867	2987	861	1069	278	103								0	0		
2554																														0	0	241	0	0		1		2831	0			360	0	458	0	0	3962	0	0			0	71	0	0	1373	0	0	22	0	49	0	2692	117	258	273	549	0								0	0		
2732																														0	14898	0	57037	119079	0	280	280	0	0	81626	0	81626	4751	9150	0	0	291990	789	0	0	0	0	5958	0	2149	87554	1180	1610	1466	1698	4	0	94964	31226	114390	40576	5360	0	0	0	0	0	0	0	0	0	0	0	
2750																														0	0	9066	0	1933		277		19510	0			2673	0	1027	0	0	37822	0	0			0	3136	0	0	15638	151	617	763	697	674	0	9587	16304	3637	1148	2410	233								0	200		
2938																														0	22083	3711	4181	49975		6051		773	0			43098	2746	15332	0	0	182076	0	0			0	28330	5796	5431	95559	7848	3118	7571	7450	640	1495	81572	20845	31289	15362	2122	295								0	0		
2956																														0	1171	21249	1752	3164		10		2673	438			2477	1061	5109	0	7	66957	0	0			0	25665	2619	0	59330	5590	19413	455	75	0	0	10311	25024	3794	1140	0	224								0	0		
3252																														0	320	7540	0	1976		3553		27781	0			9452	0	4044	0	0	55665	0	0			0	999	0	693	0	195	609	11	17	137	30	26909	20606	3131	2030	1529	98								0	0		
3458																														200	0	2634	0	651		312		1196	0			448	0	578	0	0	7933	0	0			0	1914	0	0	2441	92	505	825	283	180	0	1903	1030	2232	663	12	35								0	0		
3506																														0	5265	0	11619	202528	0	417	417	0	0	54847	0	54847	32430	4287	0	0	581323	200	34671	34671	0	0	178800	55977	17817	16873	548	6629	10255	12686	105350	43332	95970	8003	105568	108945	75944	5982	0	0	0	0	0	0	0	0	682	0	
3579																														0	4650	419	1294	16754		0		101	0			37184	2051	20273	0	0	157329	3	0			0	72917	886	29638	24405	6726	14743	3073	8260	27388	12444	41098	4980	8136	13971	15406	711								0	803		
3720																														0	5667	3387	329	15701		0		2324	0			7318	2310	5554	0	83	70588	0	0			0	27320	461	981	12717	2157	2708	8957	8381	4801	316	19215	2180	8073	9134	2837	1820								0	134		
3953																														0	2585	4467	1198	3607		43		17806	0			13714	0	3433	0	0	50952	0	53			0	3500	546	14	14495	735	493	960	1108	27	15	23243	13471	6262	1834	664	920								0	0		
4138																														0	5824	0	1762	12192		2055		0	213			8627	2190	12119	0	462	91196	646	0			0	46299	232	18674	12030	3767	6113	21892	5993	6416	2118	20298	10475	9861	3306	958	330								0	80		
4147																														0	6122	411	1309	16634		206		36	0			9472	1988	6850	0	98	54828	0	0			0	10612	223	4550	6550	700	3000	6012	700	200	0	2600	9800	19370	9543	1505	1100								766	101		
4156																														0	2892	4809	667	8567		218		8358	0			11168	0	3962	0	0	54662	0	143			0	13697	181	0	15584	342	713	2444	1338	7871	877	6847	17605	6415	6688	3096	0								0	0		
4231																														0	415	6169	0	11100		8		1682	0			3397	0	6816	0	248	41626	0	0			0	11791	0	172	11965	699	2138	6516	1756	573	0	8230	5304	9217	6296	755	0								0	0		
4437																														0	1164	941	814	27160		1804		134	0			14306	5773	8706	0	0	103253	0	108			0	37005	806	32261	50280	4388	8571	18886	4266	375	461	24292	13029	17146	8831	2600	114								0	4532		
4745																														0	0	617	0	591		0		435	0			672	0	1174	0	32	5410	2	0			0	1891	0	0	1553	42	0	280	414	1135	0	964	547	929	556	540	0								0	0		
4839																														0	7612	454	17470	65643		1556		0	0			6923	4072	9341	0	0	134047	0	0			0	13802	7064	0	48717	4122	1238	3348	4174	341	0	35124	11491	35342	32733	4216	201								0	110		
5005																														0	13999	0	15002	34256		122		0	0			11584	5437	817	0	0	175539	338	0			0	92681	1870	27939	18234	2198	8940	15023	7800	32761	25582	21676	6279	13490	26581	14549	621								0	109		
5050																														0	4475	0	125	6634		58		535	0			8801	74	14360	0	0	43823	0	0			0	7798	826	5712	10471	1015	4950	1297	536	0	0	6050	6919	12723	8176	1980	0								137	0		
5069																														0	32903	0	8080	148797		0		0	0			3065	245	0	0	0	194992	1861	0			0	3748	0	0	99667	3483	0	0	265	0	0	167755	13352	3327	287	0	1157								0	15		
5135																														0	117	6451	1239	12272		21		6027	478			7273	0	5216	0	21	46762	0	31			0	7554	320	1467	27415	1953	1537	2967	705	79	222	25685	6026	5123	1889	180	39								220	0		
5210																														0	15497	7603	14372	75464	0	465	465	1669	0	11426	0	11426	6874	12127	0	4467	362579	0	0	0	0	0	190178	22437	120877	10462	34720	60444	20474	29327	38727	6111	63427	13800	33146	44003	13374	4189	0	0	0	0	0	0	0	0	0	0	
5247																														0	58916	4185	3708	74184	0	410	410	2040	0	78112	0	78112	20610	16715	0	2355	453563	436	0	0	0	0	128420	63676	67850	136086	60195	3392	21154	24498	11071	8110	170948	14553	45859	67933	20816	0	0	0	0	0	0	0	0	290	378	0	
5274																														0	1193	0	0	13971		12		0	0			5050	1639	4337	0	251	63093	0	0			253	34901	1311	111	6030	586	789	5448	4003	15421	8264	9239	1434	9101	6448	921	0								0	428		
5331																														192	5408	0	25823	21334		4378		0	0			14714	10094	750	0	0	106376	181	0			2228	23616	101	6162	22162	1570	3298	6101	7158	3984	1505	25745	8952	16693	29691	1669	0								0	147		
5461																														0	6732	3006	2848	54383		8260		254	181			28670	665	2074	0	0	118130	274	0			12450	6552	4798	1013	35069	1447	960	2432	1657	56	0	43894	2497	19745	12570	30951	2181								0	162		
5751																														0	535	3628	109	2639		6		16741	0			8010	0	2507	0	83	42485	0	0			0	7982	221	3088	22967	317	1150	1910	371	2325	1898	20814	4806	3587	2907	1693	326								0	24		
5939																														30	111788	188	62565	447126	0	125	125	0	773	105651	0	105651	95187	20020	0	2802	1421011	0	0	0	0	29301	452420	122539	380129	121811	84777	164242	87108	47645	39622	14998	350190	121085	267515	109643	85708	2281	0	0	0	30	0	0	0	0	570	5467	
6039																														0	4683	2643	0	21769		195		2534	0			15949	0	7021	0	2031	62605	74	0			0	4851	539	621	21205	610	801	1873	414	977	146	37445	5349	7546	2309	3781	1153								387	77		
6057																														0	8	3082	0	1056		0		1053	0			1190	0	1347	0	0	11226	0	0			0	3439	51	0	4953	85	675	2528	93	19	15	537	3656	2159	973	337	0								0	0		
6141																														0	0	1680	0	750		14		2634	0			1500	0	2690	0	915	12829	20	0			0	2660	6	825	8609	701	370	446	761	382	0	3984	3554	1203	1209	98	0								0	0		
6329																														0	3424	4207	111	33710		0		3901	0			31653	1599	28013	0	207	133381	1057	0			0	23062	3135	199	49326	2752	3866	4931	7744	2811	805	36390	18307	26264	21287	7236	37								666	750		
6842																														0	215	1151	0	2254		26		3333	0			2710	482	2356	0	20	16136	3	221			0	3357	9	0	8696	640	586	1536	588	7	0	5562	1917	3364	1624	264	0								0	5		
6972																														0	42431	150	23665	142558	0	220	220	196	134	26353	0	26353	12007	11053	0	4779	297986	0	0	0	0	1515	26806	5237	23607	63689	4934	2775	3018	3279	10322	2478	52115	22125	38405	19828	59528	72873	0	0	0	0	0	0	0	1889	642	0	
7009																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	273508	0	0	273508	0	0	0	0	0	0	0	0	270073	0	0	0	0	0	0	271758	1750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7045																														0	0	2092	0	4974		8		3661	0			2771	280	14698	0	273	45398	0	0			0	16220	0	5724	14519	238	1706	3097	3398	7507	162	3518	9057	8854	4275	3048	321								413	8		
7157																														0	0	1813	0	516		0		1489	0			2235	0	4065	0	0	18893	0	0			0	8775	0	1455	6548	729	1023	5034	378	932	675	2425	2371	3570	1115	233	213								0	0		
