"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37															0	213	266	1257	17	51	0	0	0	0	0	727	0	0				
242															0	138	0	351	0	5				0	0	208	0	0				
279															15	600	0	1476	37	104	0	0	0	0	0	772	24	0				
354															0	5	0	142	0	6	0	0	0	0	0	131	0	0				
439															0	0	209	1774	44	337	0	0	0	0	0	1228	0	0				
457															0	5	89	757	0	396	0	0	0	0	0	267	377	0				
505															0	1321	0	4719	982	2139	752	0	0	0	0	1259	0	0	SPLIT DOLLAR RECEIVABLE                                                                                                                                                                          			
1146															0	2272	0	11802	867	8582	5405	0	0	0	0	948	0	0	LTC-INVT TITLE PLANT INVESTMENT                                                                                                                                                                  			
1155															0	463	221	2004	50	127	0	0	0	0	0	1193	0	0				
1351															0	0	308	1589	25	25	0	0	0	0	0	1256	0	0				
1454															0	1054	0	3804	704	857	0	0	0	0	0	1893	0	0				
1557															0	23	0	729	29	50	0	0	0	0	0	656	0	0				
1632															0	800	477	4409	0	1238	0	0	0	0	0	1894	933	0				
1669															16	682	15	3598	206	224	0	0	0	0	0	2677	0	0				
1829															0	964	0	2717	286	1272	941	0	0	0	0	481	0	0	AIR INVESTMENTS                                                                                                                                                                                  			
1856															0	20	0	260	0	47	0	0	0	0	0	193	0	0				
1959															0	0	0	268	0	11	0	0	0	0	0	257	0	0				
2040															0	920	386	2395	240	336	60	36	0	0	0	753	0	0	Petroleum cleanup costs                                                                                                                                                                          	Computer software                                                                                                                                                                                		
2161															0	198	0	996	121	159	0	0	0	0	0	639	0	0				
2376															0	3969	0	7762	281	740	0	0	0	0	0	3053	0	0				
2451															0	95	1	374	0	84	27	0	0	0	0	194	45	0	Account receivable - Beverly Ins Agency                                                                                                                                                          			
2554															0	0	0	108	6	12	6	0	0	0	0	96	0	0	software                                                                                                                                                                                         			
2732															0	181	0	2909	15	399	142	26	31	0	0	2329	185	0	leasehold purch                                                                                                                                                                                  	safe deposit box receivable                                                                                                                                                                      	current fedearl inc taxes                                                                                                                                                                        	
2750															0	189	65	2285	0	760	609	0	0	0	0	1271	0	0	Deferred Comp. Plan                                                                                                                                                                              			
2938															87	1000	0	3669	41	128	0	0	0	0	0	2541	0	0				
2956															0	0	0	1378	0	45	0	0	0	0	0	1333	45	0				
3252															0	145	0	2710	230	762	386	0	0	0	0	1803	0	0	NP Debits                                                                                                                                                                                        			
3458															0	47	0	248	0	16	0	0	0	0	0	185	0	0				
3506															0	3977	1591	32571	0	22656	15378	0	0	0	0	4347	0	0	Bank Owned Life Insurance                                                                                                                                                                        			
3579															0	1464	0	3946	0	1210	0	777	0	0	0	1272	0	0		Prepaid Pension Contribution                                                                                                                                                                     		
3720															0	625	233	3931	0	2413	0	0	0	0	0	660	1608	0				
3953															11	45	0	1841	127	509	0	0	0	0	0	1287	371	0				
4138															111	759	0	2112	128	242	0	0	0	0	0	1111	0	0				
4147															0	13898	239	18112	0	3447	0	0	0	0	0	528	3111	0				
4156															0	617	0	1607	13	28	0	0	0	0	0	962	0	0				
4231															0	0	169	1225	0	21	0	0	0	0	0	1035	0	0				
4437															0	727	325	2698	0	943	771	0	0	0	0	703	0	0	DUE FROM HOLDING COMPANY                                                                                                                                                                         			
4745															0	0	0	131	2	18	0	0	0	0	0	113	0	0				
4839															0	959	0	2638	77	393	0	0	0	0	0	1286	0	0				
5005															0	1909	0	10052	0	6695	0	0	0	0	0	1448	5488	0				
5050															88	388	11	1178	74	162	0	0	0	0	0	617	0	0				
5069															0	0	0	3233	144	1315	281	890	0	0	0	1918	0	0	RECEIVABLES                                                                                                                                                                                      	DEFERRED COSTS                                                                                                                                                                                   		
5135															0	334	194	1989	63	106	32	11	0	0	0	1355	0	0	Late Charges Assessed                                                                                                                                                                            	Credit Card Clearing                                                                                                                                                                             		
5210															0	3565	806	18896	0	10759	0	0	0	0	0	3766	9799	0				
5247															0	0	0	5572	99	102	0	0	0	0	0	5470	0	0				
5274															17	3065	234	4112	96	325	130	0	0	0	0	488	0	0	Investment in Service Corp                                                                                                                                                                       			
5331															0	1523	0	4448	1276	1445	0	0	0	0	0	1480	0	0				
5461															0	0	344	4253	269	2506	1635	0	0	0	0	1403	496	0	QZAB                                                                                                                                                                                             			
5751															0	0	0	2560	0	1652	0	0	0	0	0	908	1604	0				
5939															0	13168	14899	50457	0	10022	4672	0	0	0	0	12368	0	0	MBS PRINCIPAL RECEIVABLE                                                                                                                                                                         			
6039															0	299	277	2184	0	734	405	0	0	0	0	874	0	0	SPLIT DOLLAR LIFE INSURANCE                                                                                                                                                                      			
6057															0	95	9	374	21	21	0	0	0	0	0	249	0	0				
6141															0	0	66	535	43	121	78	0	0	0	0	348	0	0	Prepaid Income Tax                                                                                                                                                                               			
6329															19	725	0	3467	159	1408	369	365	119	0	0	1334	164	0	Federal Tax Accrual                                                                                                                                                                              	IENC Agencies                                                                                                                                                                                    	IENC Mortgage Backed Securities                                                                                                                                                                  	
6842															0	66	0	624	35	273	229	0	0	0	0	285	0	0	Unearned ESOP Shares                                                                                                                                                                             			
6972															0	0	0	6951	0	3662	0	0	0	0	0	3289	3044	0				
7009															0	0	61	9615	0	7271	6700	0	0	0	0	2283	0	0	Other Recievables                                                                                                                                                                                			
7045															31	0	42	1430	168	395	0	0	0	0	0	993	0	0				
7157															0	0	0	295	0	17	0	0	0	0	0	278	0	0				
7166															0	1344	2186	8113	0	2397	0	0	0	0	0	2186	2004	0				
7456															0	86	0	702	30	33	0	0	0	0	0	583	0	0				
7634															0	159	28	754	46	106	0	0	0	0	0	461	0	0				
8033															36	423	48	1114	42	182	3	3	7	0	0	461	91	0	Due From Holding Company                                                                                                                                                                         	Accrued Late Charges                                                                                                                                                                             	Federal Income Tax Deposit                                                                                                                                                                       	
8154															2	132	191	839	19	21	0	0	0	0	0	495	0	0				
8417															0	2322	0	250027	0	247629	95377	118721	0	0	0	76	0	0	A/R Trust Fees                                                                                                                                                                                   	A/R - Other                                                                                                                                                                                      		
8462															0	21	0	832	0	11	11	0	0	0	0	800	0	0	Accrued interest on securities purchased                                                                                                                                                         			
8547															0	2969	1566	11072	0	3418				0	0	3119	2722	0				
8631															44	168	23	595	40	90	0	0	0	0	0	314	0	0				
9115															0	994	785	9867	0	2568	650	0	0	0	0	5520	0	0	Capital Downstream Recievables                                                                                                                                                                   			
9160															0	550	439	1764	0	177	0	0	0	0	0	598	0	0				
9339															0	3358	899	9942	61	3045	0	0	0	0	0	2640	2670	253				
9357															0	7560	285	9710	86	111	0	0	0	0	0	1754	0	0				
9553															0	302	0	2648	104	616	0	0	0	0	0	1730	506	0				
9807															0	9817	0	51959	0	33888	33442	0	0	0	0	8254	0	0	Bank owned life insurance                                                                                                                                                                        			
9955															0	760	0	2263	0	35				0	0	1468	0	0				
10157															0	533	0	2419	64	187	119	0	0	0	0	1699	0	0	RESERVE FOR FEDERAL TAXES-CURRENT                                                                                                                                                                			
10250															43	483	0	2276	201	772	319	0	0	0	0	1021	185	0	Accr Int on Securities                                                                                                                                                                           			
10849															0	1212	7	3311	0	762	516	0	0	0	0	1330	0	0	Corporate Owned Life Insurance                                                                                                                                                                   			
10858															0	1465	1093	6433	105	412	0	0	0	0	0	3463	0	0				
11145															11	589	115	1266	135	199	0	0	0	0	0	363	35	0				
11350															2	26	0	758	63	76	11	0	0	0	0	656	0	0	GOLD COINS                                                                                                                                                                                       			
11640															0	1426	191	8165	0	4424	244	0	0	0	0	2124	3793	0	FED INCOME TAX REFUND RECEIVEABLE                                                                                                                                                                			
11837															0	846	0	1973	0	748	242	413		0	0	379	0	0	Interest Receivable- Agencies	Inc. Tax Receivable- State		
12030															0	541	1062	5035	0	967	0	0	0	0	0	2465	345	0				
12058															0	281	0	1718	44	88	44	0	0	0	0	1349	0	0	other assets                                                                                                                                                                                     			
12142															0	451	0	2662	146	279	133	0	0	0	0	1932	0	0	Deferred loan origination costs                                                                                                                                                                  			
12245															0	515	0	1195	101	101	0	0	0	0	0	579	0	0				
12311	0	48554	0	4638764	0	4467559	846065	3005848	0	0	0	122651	0	0		48554													Bank Owned Life Insurance	OPERATING LEASE ASSET INVENTORY		
12357															0	4	0	441	14	14	0	0	0	0	0	423	0	0				
12647															0	143	0	512	77	77	0	0	0	0	0	292	0	0				
12656															0	23	0	164	22	39	17			0	0	102	0	0	PREPAID INCOME TAXES                                                                                                                                                                             			
12937															0	600	24	1702	201	495	0	0	0	0	0	583	0	0				
12946															0	1394	0	11993	0	7276	0	0	0	0	0	3323	6510	0				
12955															0	324	0	966	122	136	0	0	0	0	0	506	0	0				
13037															0	51	242	2109	0	1061	306	305		0	0	755	0	0	TRUST INVESTMENT ASSET                                                                                                                                                                           	EMPLOYEES REC CARVED OUT LIFE                                                                                                                                                                    		
13103															0	2482	0	7943	630	1776	0	0	0	0	0	3685	576	0				
13251															0	102	2	999	0	565	0	0	0	0	0	330	434	0				
13309															1993	15710	25534	53882	0	2168	0	0	0	0	0	10470	0	0				
13457															0	3	51	1734	0	1071	0	0	0	0	0	609	1046	0				
14052															0	264	75	692	42	45	0	0	0	0	0	308	0	0				
14155															0	228	0	2180	0	881	0	0	0	0	0	1071	841	0				
14258															0	3231	0	6329	269	921	518	0	0	0	0	2177	0	0	Fine Arts                                                                                                                                                                                        			
14409	0	54750	0	511596	0	384514	0	0	0	0	0	72332	219209	0		54750																
14454															0	469	242	1010	0	7	0	0	0	0	0	292	0	0				
14650															0	55	25	979	0	634	0	0	0	0	0	265	482	0				
14753															0	9	0	566	49	52	0	0	0	0	0	505	0	0				
14865															0	233	64	2237	164	1398	121	142	75	0	0	542	873	0	Net Software Cost                                                                                                                                                                                	IENC Securities                                                                                                                                                                                  	Unposted DDA                                                                                                                                                                                     	
14931															0	95	18	311	32	72	34			0	0	126	0	0	Software                                                                                                                                                                                         			
14940															0	0	57	1043	127	138	0	0	0	0	0	848	0	0				
15536															10	4136	0	13442	235	2898	1328	941		0	0	6408	0	0	Repossessed commercial property                                                                                                                                                                  	Chicago Equity Fund                                                                                                                                                                              		
15732															0	775	1168	3500	211	420	0	0	0	0	0	1137	209	0				
16337															0	903	0	2966	194	786	251	0	0	0	0	1277	33	0	LATE FEES RECEIVABLE                                                                                                                                                                             			
16355															0	193	104	651	26	35	0	0	0	0	0	319	0	0				
16458															0	633	0	2102	0	110	59	0	0	0	0	1359	0	0	Accrued Income Taxes Not Paid                                                                                                                                                                    			
16551															53	526	279	1606	38	325	0	0	0	0	0	476	234	0				
16748															0	302	0	724	45	55	0	0	0	0	0	367	0	0				
16766															0	5465	2964	15037	0	4204	0	0	0	0	0	2404	4078	0				
16944															0	0	0	337	43	64	0	0	0	0	0	273	0	0				
16953															0	0	0	438	10	30	20	0	0	0	0	408	0	0				
