"IDRSSD"	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB528	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB613	RCONB614	RCONB616	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB645	RCONB646	RCONB647	RCONB648	RCONB649	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB674	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	
2396583	62706	81867	0	0	0	0	59570	0	0	0	0	0	0	0	0	0	479	4127	0	0	0	0	0	0	97	0	3442	658	0	0	12139	0	0	0	0	0	0	0	0	0	9840	49730	0	0	0	0	0	2817	0	90	221	84	-489	431	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	846	0	0	0	846	0	0	0	569	19929	10582	53429	0	3986	5291	53429	62706	
2396592	16893	28974	0	0	0	0	19635	0	0	0	0	0	0	0	0	0	317	932	0	0	0	0	0	0	0	0	5975	0	0	1431	0	0	0	0	0	0	0	0	547	0	8511	10577	0	0	0	0	0	754	0	0	0	0	-288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2295	6907	8511	11331	0	1381	4256	11331	16968	
2396604	38823	53658	0	0	0	0	30149	0	0	0	0	0	0	0	0	0	245	8325	0	0	0	111	75	0	119	0	4991	0	0	0	9969	0	0	0	0	0	0	0	544	0	2391	27214	0	0	0	0	0	3590	0	54	356	0	-293	239	0	0	0	239	29	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2178	0	0	0	2178	0	0	0	843	23752	2466	32840	0	4750	1233	32840	38823	
2397713	73770	89841	0	0	0	0	64607	0	0	0	0	0	0	0	0	0	1044	2595	1164	0	0	0	0	175	15	0	3308	0	0	0	17802	0	0	0	0	0	0	0	0	0	4427	60180	0	0	0	0	0	5038	0	0	0	0	-532	438	0	438	0	0	850	0	850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044	24993	4427	66557	0	4999	2214	66557	73770	
2398578	7348	10630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6063	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	6660	0	6016	0	1332	0	6016	7348	
2398596	102132	131789	0	0	0	0	100875	0	0	0	0	0	0	0	0	0	1044	7086	0	0	633	1564	0	0	417	356	18313	19	0	0	0	0	0	0	0	0	4279	0	0	0	31696	69179	0	0	0	0	0	6653	0	0	374	0	-905	322	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	793	0	0	0	793	0	0	0	2033	27337	31715	80852	0	5467	15858	80852	102177	
2398701																																																																																																																	
2399119	197745	224503	0	0	0	0	193533	0	0	0	0	0	0	0	0	0	379	5240	0	0	0	0	0	0	-108	0	13741	0	0	0	6317	0	0	0	0	7220	0	0	0	0	35102	158431	0	0	0	0	0	6264	0	0	1875	0	-1608	2800	0	0	0	2800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5529	0	0	0	5529	0	0	0	379	27173	42322	171149	0	5435	21161	171149	197745	
2403548	193967	224288	0	0	0	0	187759	0	0	0	0	0	0	0	0	0	3871	2842	0	0	0	0	0	0	51	0	16000	0	0	0	17756	0	0	0	0	0	0	0	0	2652	18278	166829	0	0	0	0	0	6117	0	0	1391	0	-1882	0	0	0	0	0	297	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4848	0	0	0	4848	0	0	0	3871	40641	18278	176700	0	8128	9139	176700	193967	
2407537	37030	44026	0	0	0	0	34394	0	0	0	0	0	0	0	0	0	320	1808	0	0	0	0	0	0	0	0	0	0	0	0	6475	0	0	0	0	0	0	0	0	0	1961	32433	0	0	0	0	0	1045	0	0	0	0	-424	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911	0	0	0	911	0	0	0	320	8283	1961	34392	0	1657	981	34392	37030	
