"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1350	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2800	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	FED. FUNDS SOLD & SECURITIES RS.	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	
748964										32220		486	0			0	0			1752	0	
749046										21642		1563	0			0	0			6352	0	
749121										13960		7146	0			0	0			103505	0	
749242										7000		4095	0			0	0			47326	6301	
749550										1100		27	0			0	0			0	0	
749569										0		6923	0			64100	0			106000	0	
749635										13721		3088	0			10136	0			53403	0	
749756										5675		61	0			12035	0			0	0	
749840										3961		43	0			0	0			0	0	
749943										1689		0	0			0	0			0	0	
749952										2847		366	0			0	0			0	0	
750051										18000		1142	0			0	0			5000	0	
750127										2182		386	0			10395	0			0	0	
750154										0		120	0			95	0			0	0	
750239										13900		1883	0			2220	0			10000	20001	
750305										0		7368	0			0	0			97079	3948	
750341										11840		1345	0			0	0			21750	0	
750444										6698		0	0			0	0			0	0	
750501										7950		775	0			0	0			12000	0	
750846										2200		81	0			0	0			346	0	
750864	0	158966	0	34039	0	809757	38018	0	0	192000	1040780	140	0	231084	1576698	0	0	0	1637368	16	0	
751151										0		710	0			0	0			6350	0	
751254										2130		367	0			0	0			6800	0	
751302										5000		448	0			0	0			0	0	
751656										0		302	0			0	0			1665	6000	
751740										4185		27	0			0	0			0	0	
751759										0		852	0			7174	0			12528	23	
751852										1650		238	0			0	0			2000	0	
751955										0		721	0			500	0			10562	0	
752644										2800		493	0			0	0			0	3313	
752653										5300		320	0			0	0			0	10	
752831										12978		398	0			0	0			2120	0	
752970										156133		38450	0			2059646	0			163000	0	
753052										3315		2	0			0	0			0	0	
753324										0		1017	0			7817	0			10000	0	
753351										0		177	0			1350	0			2492	0	
753548										7000		449	0			0	0			1546	0	
753641										3300		38	0			0	0			0	0	
753856										15700		0	0			0	0			0	0	
754031										550		37	0			0	0			0	0	
754068										8600		234	0			6978	0			1000	0	
754246										2500		6	0			0	0			0	0	
754358										2025		30	0			0	0			0	2	
754433										8850		660	0			12	0			3800	0	
754536										9475		307	0			305	0			2570	0	
754657										8935		429	0			0	0			7565	0	
754826										9400		975	0			1585	0			225	0	
754853										22825		1336	0			65725	0			0	40231	
754929										947		980	0			0	0			0	0	
755047										9100		833	0			0	0			5793	0	
755056										2925		0	0			0	0			0	0	
755252										4950		821	0			7378	0			7112	0	
755328										0		1281	0			11900	0			23200	5000	
755421										1152		66	0			0	0			20	0	
755458										1772		960	0			1349	0			11837	0	
755551										32350		1712	0			0	0			21265	0	
755850										4825		973	0			0	0			0	3000	
756316										0		1305	0			18785	0			0	0	
756343										4500		0	0			0	0			0	4	
756848										1361		188	0			0	0			500	0	
756950										0		250	0			0	0			942	0	
757377										9400		4553	0			0	0			0	21	
757452										8637		693	0			0	0			13000	0	
757612										4500		590	0			0	0			2133	0	
757779										0		414	0			0	0			0	2111	
758440										7900		151	0			0	0			0	0	
758703										21471		9230	0			14303	0			133000	28905	
758721										9198		395	0			0	0			0	0	
758842										520		212	0			0	0			0	0	
758851										368		97	0			150	0			0	0	
759045										0		1880	0			7985	0			10698	500	
759250										0		0	0			800	0			0	0	
759540										8880		154	0			0	0			2357	388	
759625										12260		388	0			0	0			0	0	
760041										18400		2012	0			0	0			39548	0	
760108										11499		1757	0			0	0			35411	2933	
760210										10846		50	0			0	0			0	0	
760331										6980		2873	0			1490	0			0	0	
760340										6375		6	0			3410	0			0	0	
760434										250		0	0			0	0			0	0	
760555										0		2159	0			44080	0			294	2375	
760649										0		0	0			800	0			58	0	
760742										0		306	0			698	0			4462	0	
760854										2344		906	0			6445	0			0	0	
760939										967		0	0			0	0			0	0	
760957										2449		101	0			0	0			0	0	
761244										0		570	0			991	0			1000	503	
761347										290		2036	0			0	0			2500	75	
761459										2800		110	0			0	0			1600	0	
761543										0		202	0			1823	0			3139	0	
761833										2385		50	0			0	0			0	0	
761851										8107		445	0			0	0			7000	2	
761954										4505		50	0			0	0			0	0	
762045										700		719	0			0	0			12950	0	
762054										0		80	0			1595	0			500	0	
762353										675		2	0			0	0			0	0	
762429										0		276	0			6368	0			0	0	
762447										4225		3768	0			38879	0			33300	0	
762607										12688		1149	0			0	0			4000	6000	
762625										2000		239	0			0	0			0	250	
762661										0		32924	0			0	0			309000	0	
763211										3423		0	0			2474	0			0	0	
763556										3775		150	0			0	0			0	0	
763752										4150		0	0			0	0			0	0	
763930										4256		358	0			0	0			0	0	
764030										30618		512	0			2996	0			9100	0	
764058										0		846	0			34029	0			4000	0	
764067										3415		345	0			0	0			2956	0	
764142										1150		75	0			0	0			500	0	
764151										5400		43	0			0	0			0	0	
764414										4600		9509	0			67605	0			98818	1000	
764441										475		0	0			0	0			0	0	
764647										0		572	0			0	0			2000	145	
764816										6850		841	0			6658	0			11204	0	
764843										4503		0	0			0	0			0	0	
765019										0		1835	0			0	0			20000	84	
765046										4342		1030	0			0	0			5000	0	
765130										455		0	0			0	0			0	0	
765318										3700		744	0			0	0			8001	0	
765354										0		729	0			1592	0			13000	0	
765505										5955		2873	0			0	0			39000	9461	
765662										100		100	0			0	0			0	0	
765756	181646	36111	152984	3382384	0	1225118	883750	1928	714	1949521	5964633	69185	12523	0	21131093	428519	12523	0	18991908	11261	99998	
766052										12000		189	0			0	0			0	0	
766164										375		375	0			0	0			0	0	
766258										6850		993	0			2990	0			0	6292	
766735										13500		822	0			692	0			0	0	
767004										0		1487	0			0	0			25912	4002	
767040										5413		169	0			0	0			0	0	
767059										16785		1613	0			0	0			0	250	
767152										4105		10	0			0	0			0	0	
767161	52710	360090	4654	0	0	0	0	238333	37769	0	693695	2056	144	25396	1204945	0	144	0	1063916	40000	139	
767246										2969		0	0			0	0			0	0	
767255										7350		355	0			0	0			5557	0	
767554										0		368	0			0	0			5432	0	
767611										6350		281	0			0	0			8	0	
767705										0		1578	0			5115	0			28236	0	
767732										24080		601	0			0	0			0	1000	
767769										1130		128	0			0	0			0	0	
767817										2915		540	0			0	0			8000	0	
767947										950		0	0			0	0			0	0	
768074										0		4023	0			0	0			7000	0	
768252										0		301	0			4000	0			0	0	
768458										340		395	0			0	0			3252	0	
768953										2450		181	0			1346	0			0	0	
769156										6475		23	0			0	0			0	0	
769334										3364		217	0			0	0			907	0	
769455										1250		0	0			154	0			0	0	
769857										1512		179	0			0	0			0	100	
770068										0		336	0			65	0			0	1551	
770330										410		368	0			0	0			2244	0	
770367										59900		2202	1621			84202	1621			42644	0	
770433										2600		0	0			0	0			0	0	
770451										2000		492	0			0	0			4130	0	
770545										380		28	0			0	0			0	0	
770572										0		4858	0			13502	0			96579	0	
770639										2400		283	0			3564	0			2000	100	
770657										0		934	0			13305	0			8000	0	
770853										5512		400	0			0	0			5000	0	
771047										3664		155	0			0	0			0	0	
771140										1200		616	0			1979	0			5900	0	
771346										1080		295	0			0	0			5400	0	
771458										0		1323	0			13543	0			13431	0	
771551										1870		291	0			0	0			5325	0	
771609										2010		2239	0			0	0			23951	13884	
771636										3595		400	0			1975	0			5500	0	
771663										4850		0	0			0	0			0	0	
771748										0		1250	0			323	0			2000	0	
771832										55		2736	0			7643	0			50828	1506	
772008										28443		4760	0			7936	0			86100	18578	
772240										0		357	0			310	0			6557	0	
772446										1800		110	0			0	0			0	0	
772558										3500		515	0			0	0			6058	0	
772745										190		65	0			1840	0			106	0	
772754										838		94	0			0	0			0	0	
773032										2146		370	0			0	0			0	0	
773126										0		0	0			1679	0			0	0	
773247										12874		1385	0			14674	0			9700	0	
773359										2297		0	0			0	0			0	0	
773443										0		758	0			5345	0			0	0	
773546										2375		150	0			0	0			0	0	
773742										4900		910	0			0	0			0	0	
773751										0		252	0			0	0			6	0	
774105										701		2269	0			1626	0			44984	977	
774132										0		723	0			632	0			7000	0	
774235										938		168	0			0	0			0	541	
774253										3530		121	0			0	0			0	0	
774262										150		144	0			0	0			0	76	
774347										377		113	0			200	0			428	0	
774655										1150		170	0			0	0			3141	0	
774730										21217		2021	0			2900	0			1000	0	
774833										0		1844	0			14062	0			24925	2029	
774851										1698		65	0			0	0			665	0	
775054										2500		902	0			0	0			15783	0	
775214										4300		2593	0			0	0			0	0	
775241										4855		36	0			3015	0			0	0	
775456										0		211	0			13458	0			0	1000	
775540										2297		173	0			0	0			887	0	
775755										1275		183	0			0	0			0	0	
776060										10655		32456	638			0	638			290524	2	
776248										4525		215	0			0	0			3500	360	
776275										0		175	0			0	0			0	60	
776350										975		660	0			7988	0			12000	0	
776369										5300		0	0			0	0			0	0	
776547										1600		556	0			0	0			15251	0	
