"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1350	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2800	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1350	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2800	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	FED. FUNDS SOLD & SECURITIES RS.	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	FED. FUNDS SOLD & SECURITIES RS.	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	
37																																							0	1716	0	3646	18917	0	0	541	20	0	1257	66624	54431	0	0	289	54720	0	987	0	0	0	11904	1200	66624	0	0	8204	0	2500	0	5720	48711		0	41514	40527	0	
242																																							100	681	0	2382	0	5855	0	280	0	0	351	25219	20266	0	0	155	21501	0	131	0	1080	0	3718	120	25219	0	0	3386	0	120	0	2634	17632		0	15701	15570	92	
279																																							1065	1671	0	3790	38140	28929	229	569	0	0	1476	101979	77566	0	0	158	86224	0	323	0	8500	0	15755	0	101979	0	0	15680	0	0	0	1565	76001		0	26433	26110	75	
354																																							0	647	0	0	0	3840	0	38	0	0	142	8553	6882	451	0	79	7412	0	133	0	0	0	1141	25	8553	0	0	582	0	500	0	1226	5656		0	4019	3886	34	
439																																							0	8811	3546	5700	3791	17411	0	2466	29	0	1774	146350	127932	888	0	1720	130540	0	931	0	0	0	15810	596	146350	0	0	8550	0	6503	0	28924	99008		0	103753	102822	161	
457																																							94	1002	0	2400	4348	0	0	82	0	0	757	20469	18289	0	0	288	18577	0	152	0	0	0	1892	60	20469	0	0	892	0	940	0	2610	15679		0	11938	11786	0	
505																																							27	9338	84	1100	0	66655	22	5371	256	0	4719	246912	222860	0	0	1415	228275	52	2118	1671	4000	0	18585	6480	246912	0	0	4908	0	6480	0	41740	181120		0	159787	157669	717	
1146																																							238	14732	637	0	275	27550	0	9304	793	0	11802	332055	281401	0	0	5341	309257	0	3009	142	16515	6000	22798	19	332055	0	0	13905	0	8629	0	63115	218286		0	269591	266582	245	
1155																																							32	5757	0	3800	12601	17053	0	5048	103	0	2004	127604	106259	10937	0	783	117979	0	1239	0	0	0	9625	1600	127604	0	0	4401	0	3400	0	8396	97863		0	82445	81206	224	
