RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,37,2004-03-31
,,,,242,2004-03-31
,,,,279,2004-03-31
,,,,354,2004-03-31
,,,,439,2004-03-31
,,,,457,2004-03-31
,,,,505,2004-03-31
,,,,1146,2004-03-31
,,,,1155,2004-03-31
,,,,1351,2004-03-31
,,,,1454,2004-03-31
,,,,1557,2004-03-31
,,,,1632,2004-03-31
,,,,1669,2004-03-31
,,,,1829,2004-03-31
,,,,1856,2004-03-31
,,,,2040,2004-03-31
,,,,2161,2004-03-31
,,,,2376,2004-03-31
,,,,2451,2004-03-31
,,,,2554,2004-03-31
,,,,2732,2004-03-31
,,,,2750,2004-03-31
,,,,2938,2004-03-31
,,,,2956,2004-03-31
,,,,3252,2004-03-31
,,,,3458,2004-03-31
,,,,3506,2004-03-31
,,,,3579,2004-03-31
,,,,3720,2004-03-31
,,,,3953,2004-03-31
,,,,4138,2004-03-31
,,,,4147,2004-03-31
,,,,4156,2004-03-31
,,,,4231,2004-03-31
,,,,4437,2004-03-31
,,,,4745,2004-03-31
,,,,4839,2004-03-31
,,,,5005,2004-03-31
,,,,5050,2004-03-31
,,,,5069,2004-03-31
,,,,5135,2004-03-31
,,,,5210,2004-03-31
,,,,5247,2004-03-31
,,,,5274,2004-03-31
,,,,5331,2004-03-31
,,,,5461,2004-03-31
,,,,5751,2004-03-31
,,,,5939,2004-03-31
,,,,6039,2004-03-31
,,,,6057,2004-03-31
,,,,6141,2004-03-31
,,,,6329,2004-03-31
,,,,6972,2004-03-31
,,,,7009,2004-03-31
,,,,7045,2004-03-31
,,,,7157,2004-03-31
,,,,7166,2004-03-31
,,,,7456,2004-03-31
,,,,7634,2004-03-31
,,,,8033,2004-03-31
,,,,8417,2004-03-31
,,,,8462,2004-03-31
,,,,8547,2004-03-31
,,,,8631,2004-03-31
,,,,9115,2004-03-31
,,,,9357,2004-03-31
,,,,9553,2004-03-31
,,,,9807,2004-03-31
,,,,9955,2004-03-31
,,,,10157,2004-03-31
,,,,10250,2004-03-31
,,,,10849,2004-03-31
,,,,10858,2004-03-31
,,,,11145,2004-03-31
,,,,11640,2004-03-31
,,,,11837,2004-03-31
,,,,12030,2004-03-31
,,,,12058,2004-03-31
,,,,12142,2004-03-31
,,,,12245,2004-03-31
0,0,0.0000,0.0000,12311,2004-03-31
,,,,12357,2004-03-31
,,,,12647,2004-03-31
,,,,12656,2004-03-31
,,,,12937,2004-03-31
,,,,12946,2004-03-31
,,,,12955,2004-03-31
,,,,13037,2004-03-31
,,,,13103,2004-03-31
,,,,13251,2004-03-31
,,,,13309,2004-03-31
,,,,13457,2004-03-31
,,,,14052,2004-03-31
,,,,14155,2004-03-31
,,,,14258,2004-03-31
0,0,0.0000,0.0000,14409,2004-03-31
,,,,14454,2004-03-31
,,,,14650,2004-03-31
,,,,14753,2004-03-31
,,,,14865,2004-03-31
,,,,14931,2004-03-31
,,,,14940,2004-03-31
,,,,15536,2004-03-31
,,,,16337,2004-03-31
,,,,16458,2004-03-31
,,,,16551,2004-03-31
,,,,16748,2004-03-31
,,,,16944,2004-03-31
,,,,16953,2004-03-31
,,,,17110,2004-03-31
,,,,17147,2004-03-31
,,,,17259,2004-03-31
,,,,17464,2004-03-31
,,,,17549,2004-03-31
,,,,17839,2004-03-31
,,,,17950,2004-03-31
,,,,18050,2004-03-31
,,,,18135,2004-03-31
,,,,18368,2004-03-31
,,,,18377,2004-03-31
,,,,18827,2004-03-31
,,,,18836,2004-03-31
,,,,18854,2004-03-31
,,,,18957,2004-03-31
,,,,19356,2004-03-31
,,,,19730,2004-03-31
,,,,19936,2004-03-31
,,,,19972,2004-03-31
,,,,20053,2004-03-31
,,,,20147,2004-03-31
,,,,20259,2004-03-31
,,,,20370,2004-03-31
,,,,20512,2004-03-31
,,,,20633,2004-03-31
,,,,20754,2004-03-31
,,,,20839,2004-03-31
,,,,20857,2004-03-31
,,,,20866,2004-03-31
,,,,21256,2004-03-31
,,,,21359,2004-03-31
,,,,21630,2004-03-31
,,,,21658,2004-03-31
,,,,22048,2004-03-31
,,,,22235,2004-03-31
,,,,22356,2004-03-31
,,,,22459,2004-03-31
,,,,22543,2004-03-31
,,,,22552,2004-03-31
,,,,22730,2004-03-31
,,,,22936,2004-03-31
,,,,22954,2004-03-31
,,,,23036,2004-03-31
,,,,23045,2004-03-31
,,,,23241,2004-03-31
,,,,23456,2004-03-31
,,,,23504,2004-03-31
,,,,23540,2004-03-31
,,,,23643,2004-03-31
,,,,23755,2004-03-31
,,,,23812,2004-03-31
,,,,24006,2004-03-31
,,,,24266,2004-03-31
,,,,24453,2004-03-31
,,,,24659,2004-03-31
,,,,24668,2004-03-31
,,,,24855,2004-03-31
,,,,24949,2004-03-31
,,,,25357,2004-03-31
,,,,25647,2004-03-31
,,,,25852,2004-03-31
,,,,26149,2004-03-31
,,,,26233,2004-03-31
,,,,26242,2004-03-31
,,,,26457,2004-03-31
,,,,26756,2004-03-31
,,,,26765,2004-03-31
,,,,26859,2004-03-31
,,,,26916,2004-03-31
,,,,27548,2004-03-31
,,,,27614,2004-03-31
,,,,27838,2004-03-31
,,,,27847,2004-03-31
,,,,28013,2004-03-31
,,,,28152,2004-03-31
,,,,28255,2004-03-31
,,,,28349,2004-03-31
,,,,28406,2004-03-31
,,,,28572,2004-03-31
,,,,28732,2004-03-31
,,,,29104,2004-03-31
,,,,29159,2004-03-31
,,,,29252,2004-03-31
,,,,29636,2004-03-31
,,,,29850,2004-03-31
,,,,29944,2004-03-31
,,,,29953,2004-03-31
,,,,30025,2004-03-31
,,,,30052,2004-03-31
,,,,30146,2004-03-31
,,,,30155,2004-03-31
,,,,30258,2004-03-31
,,,,30418,2004-03-31
,,,,30502,2004-03-31
,,,,30650,2004-03-31
,,,,30810,2004-03-31
,,,,30856,2004-03-31
,,,,31134,2004-03-31
,,,,31152,2004-03-31
,,,,31255,2004-03-31
,,,,31303,2004-03-31
,,,,31657,2004-03-31
,,,,31826,2004-03-31
,,,,31835,2004-03-31
,,,,32159,2004-03-31
,,,,32234,2004-03-31
,,,,32766,2004-03-31
,,,,33147,2004-03-31
,,,,33259,2004-03-31
,,,,33268,2004-03-31
,,,,33549,2004-03-31
,,,,33727,2004-03-31
,,,,33754,2004-03-31
,,,,33772,2004-03-31
,,,,33839,2004-03-31
,,,,33857,2004-03-31
,,,,34153,2004-03-31
,,,,34359,2004-03-31
,,,,34425,2004-03-31
,,,,34434,2004-03-31
,,,,34452,2004-03-31
,,,,34537,2004-03-31
,,,,34555,2004-03-31
,,,,34742,2004-03-31
,,,,34836,2004-03-31
,,,,34863,2004-03-31
,,,,35057,2004-03-31
,,,,35244,2004-03-31
0,0,0.0000,0.0000,35301,2004-03-31
,,,,35570,2004-03-31
,,,,35646,2004-03-31
,,,,35842,2004-03-31
,,,,35936,2004-03-31
,,,,36054,2004-03-31
,,,,36344,2004-03-31
,,,,36456,2004-03-31
,,,,36858,2004-03-31
,,,,36933,2004-03-31
,,,,37051,2004-03-31
,,,,37341,2004-03-31
,,,,37350,2004-03-31
,,,,37378,2004-03-31
,,,,37435,2004-03-31
,,,,37640,2004-03-31
,,,,37659,2004-03-31
,,,,37743,2004-03-31
,,,,37949,2004-03-31
,,,,38478,2004-03-31
,,,,38526,2004-03-31
,,,,38535,2004-03-31
,,,,38740,2004-03-31
,,,,39327,2004-03-31
,,,,39420,2004-03-31
,,,,39475,2004-03-31
,,,,39756,2004-03-31
,,,,39934,2004-03-31
,,,,40033,2004-03-31
,,,,40305,2004-03-31
,,,,40350,2004-03-31
,,,,40707,2004-03-31
,,,,40855,2004-03-31
,,,,41245,2004-03-31
,,,,41553,2004-03-31
,,,,41629,2004-03-31
,,,,41647,2004-03-31
,,,,41759,2004-03-31
,,,,41825,2004-03-31
,,,,41937,2004-03-31
,,,,41955,2004-03-31
,,,,42037,2004-03-31
,,,,42055,2004-03-31
,,,,42354,2004-03-31
,,,,42420,2004-03-31
,,,,42448,2004-03-31
,,,,42457,2004-03-31
0,0,0.0000,0.0000,42541,2004-03-31
,,,,43052,2004-03-31
,,,,43155,2004-03-31
