RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,37,2012-12-31
,,,,242,2012-12-31
,,,,279,2012-12-31
,,,,354,2012-12-31
,,,,457,2012-12-31
,,,,505,2012-12-31
,,,,1155,2012-12-31
,,,,1351,2012-12-31
,,,,1454,2012-12-31
,,,,1557,2012-12-31
,,,,1669,2012-12-31
,,,,1829,2012-12-31
,,,,1856,2012-12-31
,,,,2040,2012-12-31
,,,,2161,2012-12-31
,,,,2376,2012-12-31
,,,,2554,2012-12-31
,,,,2732,2012-12-31
,,,,2750,2012-12-31
,,,,3177,2012-12-31
,,,,3252,2012-12-31
,,,,3458,2012-12-31
,,,,3720,2012-12-31
,,,,3971,2012-12-31
,,,,4156,2012-12-31
,,,,4231,2012-12-31
,,,,4437,2012-12-31
,,,,4839,2012-12-31
,,,,5005,2012-12-31
,,,,5069,2012-12-31
,,,,5135,2012-12-31
,,,,5210,2012-12-31
,,,,5461,2012-12-31
,,,,5751,2012-12-31
,,,,6039,2012-12-31
,,,,6141,2012-12-31
,,,,6329,2012-12-31
,,,,7009,2012-12-31
,,,,7045,2012-12-31
,,,,7072,2012-12-31
,,,,7157,2012-12-31
,,,,7456,2012-12-31
,,,,7634,2012-12-31
,,,,8033,2012-12-31
,,,,8462,2012-12-31
,,,,8631,2012-12-31
,,,,9357,2012-12-31
,,,,9553,2012-12-31
,,,,9807,2012-12-31
,,,,9955,2012-12-31
,,,,10250,2012-12-31
,,,,10849,2012-12-31
,,,,10858,2012-12-31
,,,,11145,2012-12-31
,,,,11275,2012-12-31
,,,,11640,2012-12-31
,,,,11837,2012-12-31
,,,,12030,2012-12-31
,,,,12142,2012-12-31
,,,,12179,2012-12-31
,,,,12245,2012-12-31
,,,,12311,2012-12-31
,,,,12647,2012-12-31
,,,,12656,2012-12-31
,,,,12937,2012-12-31
,,,,12946,2012-12-31
,,,,12955,2012-12-31
,,,,13103,2012-12-31
,,,,13251,2012-12-31
,,,,13457,2012-12-31
,,,,14052,2012-12-31
,,,,14155,2012-12-31
,,,,14650,2012-12-31
,,,,14753,2012-12-31
,,,,14865,2012-12-31
,,,,14977,2012-12-31
,,,,16458,2012-12-31
,,,,16551,2012-12-31
,,,,16748,2012-12-31
,,,,16944,2012-12-31
,,,,16953,2012-12-31
,,,,17110,2012-12-31
,,,,17147,2012-12-31
,,,,17259,2012-12-31
,,,,17464,2012-12-31
,,,,17950,2012-12-31
,,,,17978,2012-12-31
,,,,18050,2012-12-31
,,,,18135,2012-12-31
,,,,18377,2012-12-31
,,,,18827,2012-12-31
,,,,18836,2012-12-31
,,,,18854,2012-12-31
,,,,19356,2012-12-31
,,,,19730,2012-12-31
,,,,19936,2012-12-31
,,,,19972,2012-12-31
,,,,20053,2012-12-31
,,,,20512,2012-12-31
,,,,20633,2012-12-31
,,,,20857,2012-12-31
,,,,21256,2012-12-31
,,,,21359,2012-12-31
,,,,21630,2012-12-31
,,,,21658,2012-12-31
,,,,22048,2012-12-31
,,,,22543,2012-12-31
,,,,22552,2012-12-31
,,,,22730,2012-12-31
,,,,22936,2012-12-31
,,,,23045,2012-12-31
,,,,23456,2012-12-31
,,,,23504,2012-12-31
,,,,23540,2012-12-31
,,,,23643,2012-12-31
,,,,23755,2012-12-31
,,,,24006,2012-12-31
,,,,24378,2012-12-31
,,,,24453,2012-12-31
,,,,24659,2012-12-31
,,,,24668,2012-12-31
,,,,24855,2012-12-31
,,,,24949,2012-12-31
,,,,25357,2012-12-31
,,,,25647,2012-12-31
,,,,26176,2012-12-31
,,,,26242,2012-12-31
,,,,26457,2012-12-31
,,,,26765,2012-12-31
,,,,26859,2012-12-31
,,,,27070,2012-12-31
,,,,27548,2012-12-31
,,,,27614,2012-12-31
,,,,27847,2012-12-31
,,,,28013,2012-12-31
,,,,28152,2012-12-31
,,,,28255,2012-12-31
,,,,28349,2012-12-31
,,,,28406,2012-12-31
,,,,28572,2012-12-31
,,,,28675,2012-12-31
,,,,28732,2012-12-31
,,,,29104,2012-12-31
,,,,29476,2012-12-31
,,,,29636,2012-12-31
,,,,29878,2012-12-31
,,,,29953,2012-12-31
,,,,30052,2012-12-31
,,,,30418,2012-12-31
,,,,30502,2012-12-31
,,,,30650,2012-12-31
,,,,30810,2012-12-31
,,,,30874,2012-12-31
,,,,31134,2012-12-31
,,,,31255,2012-12-31
,,,,31657,2012-12-31
,,,,31826,2012-12-31
,,,,31835,2012-12-31
,,,,32234,2012-12-31
,,,,32766,2012-12-31
,,,,32971,2012-12-31
,,,,33147,2012-12-31
,,,,33259,2012-12-31
,,,,33268,2012-12-31
,,,,33370,2012-12-31
,,,,33754,2012-12-31
,,,,33839,2012-12-31
,,,,33857,2012-12-31
,,,,34153,2012-12-31
,,,,34359,2012-12-31
,,,,34425,2012-12-31
,,,,34434,2012-12-31
,,,,34452,2012-12-31
,,,,34537,2012-12-31
,,,,34555,2012-12-31
,,,,34742,2012-12-31
,,,,34836,2012-12-31
,,,,35057,2012-12-31
,,,,35301,2012-12-31
,,,,35570,2012-12-31
,,,,35646,2012-12-31
,,,,35842,2012-12-31
,,,,35879,2012-12-31
,,,,36054,2012-12-31
,,,,36456,2012-12-31
,,,,36933,2012-12-31
,,,,37051,2012-12-31
,,,,37341,2012-12-31
,,,,37378,2012-12-31
,,,,37435,2012-12-31
,,,,37640,2012-12-31
,,,,37659,2012-12-31
,,,,37743,2012-12-31
,,,,37949,2012-12-31
,,,,38740,2012-12-31
,,,,39327,2012-12-31
,,,,39420,2012-12-31
,,,,39475,2012-12-31
,,,,39756,2012-12-31
,,,,40033,2012-12-31
,,,,40350,2012-12-31
,,,,40707,2012-12-31
,,,,40855,2012-12-31
,,,,41245,2012-12-31
,,,,41553,2012-12-31
,,,,41629,2012-12-31
,,,,41759,2012-12-31
,,,,41825,2012-12-31
,,,,41937,2012-12-31
,,,,41955,2012-12-31
,,,,42037,2012-12-31
,,,,42055,2012-12-31
,,,,42354,2012-12-31
,,,,42372,2012-12-31
,,,,42420,2012-12-31
,,,,42448,2012-12-31
,,,,42457,2012-12-31
,,,,42671,2012-12-31
,,,,43052,2012-12-31
,,,,43351,2012-12-31
,,,,43454,2012-12-31
,,,,43744,2012-12-31
,,,,43856,2012-12-31
,,,,43959,2012-12-31
,,,,44040,2012-12-31
,,,,44433,2012-12-31
,,,,44741,2012-12-31
,,,,44750,2012-12-31
,,,,44929,2012-12-31
,,,,45038,2012-12-31
,,,,45047,2012-12-31
,,,,45056,2012-12-31
,,,,45430,2012-12-31
,,,,45458,2012-12-31
,,,,45551,2012-12-31
,,,,45560,2012-12-31
,,,,45775,2012-12-31
,,,,46053,2012-12-31
,,,,46941,2012-12-31
,,,,47153,2012-12-31
,,,,47247,2012-12-31
,,,,47256,2012-12-31
,,,,47452,2012-12-31
,,,,47500,2012-12-31
,,,,48057,2012-12-31
,,,,48150,2012-12-31
,,,,48374,2012-12-31
,,,,48440,2012-12-31
,,,,49054,2012-12-31
,,,,49148,2012-12-31
,,,,49241,2012-12-31
,,,,49344,2012-12-31
,,,,49643,2012-12-31
,,,,49652,2012-12-31
,,,,49821,2012-12-31
,,,,49858,2012-12-31
,,,,49951,2012-12-31
,,,,50144,2012-12-31
,,,,50461,2012-12-31
,,,,50546,2012-12-31
,,,,50854,2012-12-31
,,,,50872,2012-12-31
,,,,50957,2012-12-31
,,,,51253,2012-12-31
,,,,51356,2012-12-31
,,,,51459,2012-12-31
,,,,51730,2012-12-31
,,,,51842,2012-12-31
,,,,52410,2012-12-31
,,,,52719,2012-12-31
,,,,52951,2012-12-31
,,,,53033,2012-12-31
,,,,53051,2012-12-31
,,,,53239,2012-12-31
,,,,53453,2012-12-31
,,,,53752,2012-12-31
,,,,54049,2012-12-31
,,,,54058,2012-12-31
,,,,54375,2012-12-31
,,,,54441,2012-12-31
,,,,54656,2012-12-31
,,,,54973,2012-12-31
,,,,55176,2012-12-31
,,,,55336,2012-12-31
,,,,55635,2012-12-31
,,,,55653,2012-12-31
,,,,55970,2012-12-31
,,,,56258,2012-12-31
,,,,56351,2012-12-31
,,,,56427,2012-12-31
,,,,56548,2012-12-31
,,,,56557,2012-12-31
,,,,56717,2012-12-31
,,,,57040,2012-12-31
,,,,57228,2012-12-31
,,,,57255,2012-12-31
,,,,57451,2012-12-31
,,,,57572,2012-12-31
,,,,58177,2012-12-31
,,,,58207,2012-12-31
,,,,58225,2012-12-31
,,,,58243,2012-12-31
,,,,58355,2012-12-31
,,,,58551,2012-12-31
,,,,58636,2012-12-31
,,,,58757,2012-12-31
,,,,58971,2012-12-31
,,,,59316,2012-12-31
,,,,59352,2012-12-31
,,,,59370,2012-12-31
,,,,59754,2012-12-31
,,,,60143,2012-12-31
,,,,60330,2012-12-31
,,,,60433,2012-12-31
,,,,60545,2012-12-31
,,,,60554,2012-12-31
,,,,60648,2012-12-31
,,,,61122,2012-12-31
,,,,61177,2012-12-31
,,,,61355,2012-12-31
