RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,37,2009-03-31
,,,,242,2009-03-31
,,,,279,2009-03-31
,,,,354,2009-03-31
,,,,457,2009-03-31
,,,,505,2009-03-31
,,,,1155,2009-03-31
,,,,1351,2009-03-31
,,,,1454,2009-03-31
,,,,1557,2009-03-31
,,,,1632,2009-03-31
,,,,1669,2009-03-31
,,,,1829,2009-03-31
,,,,1856,2009-03-31
,,,,2040,2009-03-31
,,,,2161,2009-03-31
,,,,2376,2009-03-31
,,,,2451,2009-03-31
,,,,2554,2009-03-31
,,,,2732,2009-03-31
,,,,2750,2009-03-31
,,,,2938,2009-03-31
,,,,3252,2009-03-31
,,,,3458,2009-03-31
,,,,3720,2009-03-31
,,,,3953,2009-03-31
,,,,4138,2009-03-31
,,,,4156,2009-03-31
,,,,4231,2009-03-31
,,,,4437,2009-03-31
,,,,4839,2009-03-31
,,,,5005,2009-03-31
,,,,5069,2009-03-31
,,,,5135,2009-03-31
,,,,5210,2009-03-31
,,,,5331,2009-03-31
,,,,5461,2009-03-31
,,,,5751,2009-03-31
,,,,6039,2009-03-31
,,,,6141,2009-03-31
,,,,6329,2009-03-31
,,,,6972,2009-03-31
,,,,7009,2009-03-31
,,,,7045,2009-03-31
,,,,7157,2009-03-31
,,,,7456,2009-03-31
,,,,7634,2009-03-31
,,,,8033,2009-03-31
,,,,8462,2009-03-31
,,,,8631,2009-03-31
,,,,9357,2009-03-31
,,,,9553,2009-03-31
,,,,9807,2009-03-31
,,,,9955,2009-03-31
,,,,10157,2009-03-31
,,,,10250,2009-03-31
,,,,10849,2009-03-31
,,,,10858,2009-03-31
,,,,11145,2009-03-31
,,,,11640,2009-03-31
,,,,11837,2009-03-31
,,,,12030,2009-03-31
,,,,12142,2009-03-31
,,,,12245,2009-03-31
,,,,12311,2009-03-31
,,,,12647,2009-03-31
,,,,12656,2009-03-31
,,,,12937,2009-03-31
,,,,12946,2009-03-31
,,,,12955,2009-03-31
,,,,13037,2009-03-31
,,,,13103,2009-03-31
,,,,13251,2009-03-31
,,,,13457,2009-03-31
,,,,14052,2009-03-31
,,,,14155,2009-03-31
,,,,14454,2009-03-31
,,,,14650,2009-03-31
,,,,14753,2009-03-31
,,,,14865,2009-03-31
,,,,14977,2009-03-31
,,,,15536,2009-03-31
,,,,16337,2009-03-31
,,,,16458,2009-03-31
,,,,16551,2009-03-31
,,,,16748,2009-03-31
,,,,16944,2009-03-31
,,,,16953,2009-03-31
,,,,17110,2009-03-31
,,,,17147,2009-03-31
,,,,17259,2009-03-31
,,,,17464,2009-03-31
,,,,17950,2009-03-31
,,,,18050,2009-03-31
,,,,18135,2009-03-31
,,,,18377,2009-03-31
,,,,18827,2009-03-31
,,,,18836,2009-03-31
,,,,18854,2009-03-31
,,,,18957,2009-03-31
,,,,19356,2009-03-31
,,,,19730,2009-03-31
,,,,19936,2009-03-31
,,,,19972,2009-03-31
,,,,20053,2009-03-31
,,,,20147,2009-03-31
,,,,20370,2009-03-31
,,,,20512,2009-03-31
,,,,20633,2009-03-31
,,,,20857,2009-03-31
,,,,20866,2009-03-31
,,,,21256,2009-03-31
,,,,21359,2009-03-31
,,,,21630,2009-03-31
,,,,21658,2009-03-31
,,,,22048,2009-03-31
,,,,22356,2009-03-31
,,,,22459,2009-03-31
,,,,22543,2009-03-31
,,,,22552,2009-03-31
,,,,22730,2009-03-31
,,,,22936,2009-03-31
,,,,22954,2009-03-31
,,,,23036,2009-03-31
,,,,23045,2009-03-31
,,,,23241,2009-03-31
,,,,23456,2009-03-31
,,,,23504,2009-03-31
,,,,23540,2009-03-31
,,,,23643,2009-03-31
,,,,23755,2009-03-31
,,,,23812,2009-03-31
,,,,24006,2009-03-31
,,,,24453,2009-03-31
,,,,24659,2009-03-31
