RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,37,2015-06-30
,,,,242,2015-06-30
,,,,279,2015-06-30
,,,,354,2015-06-30
,,,,457,2015-06-30
,,,,505,2015-06-30
,,,,1155,2015-06-30
,,,,1351,2015-06-30
,,,,1454,2015-06-30
,,,,1557,2015-06-30
,,,,1669,2015-06-30
,,,,1829,2015-06-30
,,,,1856,2015-06-30
,,,,2040,2015-06-30
,,,,2161,2015-06-30
,,,,2376,2015-06-30
,,,,2554,2015-06-30
,,,,2732,2015-06-30
,,,,2750,2015-06-30
,,,,3177,2015-06-30
,,,,3252,2015-06-30
,,,,3458,2015-06-30
,,,,3720,2015-06-30
,,,,3971,2015-06-30
,,,,4156,2015-06-30
,,,,4231,2015-06-30
,,,,4437,2015-06-30
,,,,4839,2015-06-30
,,,,5069,2015-06-30
,,,,5135,2015-06-30
,,,,5210,2015-06-30
,,,,5461,2015-06-30
,,,,5751,2015-06-30
,,,,6039,2015-06-30
,,,,6141,2015-06-30
,,,,6329,2015-06-30
,,,,7009,2015-06-30
,,,,7045,2015-06-30
,,,,7072,2015-06-30
,,,,7157,2015-06-30
,,,,7456,2015-06-30
,,,,7634,2015-06-30
,,,,8033,2015-06-30
,,,,8462,2015-06-30
,,,,8631,2015-06-30
,,,,9357,2015-06-30
,,,,9553,2015-06-30
,,,,9807,2015-06-30
,,,,9955,2015-06-30
,,,,10250,2015-06-30
,,,,10849,2015-06-30
,,,,11145,2015-06-30
,,,,11275,2015-06-30
,,,,11640,2015-06-30
,,,,11837,2015-06-30
,,,,12030,2015-06-30
,,,,12142,2015-06-30
,,,,12179,2015-06-30
,,,,12311,2015-06-30
,,,,12647,2015-06-30
,,,,12656,2015-06-30
,,,,12937,2015-06-30
,,,,12946,2015-06-30
,,,,12955,2015-06-30
,,,,13103,2015-06-30
,,,,13251,2015-06-30
,,,,13457,2015-06-30
,,,,14052,2015-06-30
,,,,14155,2015-06-30
,,,,14650,2015-06-30
,,,,14753,2015-06-30
,,,,14865,2015-06-30
,,,,14977,2015-06-30
,,,,16551,2015-06-30
,,,,16748,2015-06-30
,,,,16953,2015-06-30
,,,,17110,2015-06-30
,,,,17147,2015-06-30
,,,,17259,2015-06-30
,,,,17464,2015-06-30
,,,,17950,2015-06-30
,,,,17978,2015-06-30
,,,,18050,2015-06-30
,,,,18135,2015-06-30
,,,,18377,2015-06-30
,,,,18827,2015-06-30
,,,,18836,2015-06-30
,,,,18854,2015-06-30
,,,,19356,2015-06-30
,,,,19730,2015-06-30
,,,,19936,2015-06-30
,,,,19972,2015-06-30
,,,,20053,2015-06-30
,,,,20512,2015-06-30
,,,,20633,2015-06-30
,,,,20857,2015-06-30
,,,,21256,2015-06-30
,,,,21359,2015-06-30
,,,,21630,2015-06-30
,,,,21658,2015-06-30
,,,,22048,2015-06-30
,,,,22543,2015-06-30
,,,,22552,2015-06-30
,,,,22730,2015-06-30
,,,,22936,2015-06-30
,,,,23045,2015-06-30
