RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,33754,2003-12-31
,,,,33772,2003-12-31
,,,,33839,2003-12-31
,,,,33857,2003-12-31
,,,,34153,2003-12-31
,,,,34359,2003-12-31
,,,,34425,2003-12-31
,,,,34434,2003-12-31
,,,,34452,2003-12-31
,,,,34537,2003-12-31
,,,,34555,2003-12-31
,,,,34742,2003-12-31
,,,,34836,2003-12-31
,,,,34863,2003-12-31
,,,,35057,2003-12-31
,,,,35244,2003-12-31
0,0,0.0000,0.0000,35301,2003-12-31
,,,,35570,2003-12-31
,,,,35646,2003-12-31
,,,,35842,2003-12-31
,,,,35936,2003-12-31
,,,,36054,2003-12-31
,,,,36344,2003-12-31
,,,,36456,2003-12-31
,,,,36858,2003-12-31
,,,,36933,2003-12-31
,,,,37051,2003-12-31
,,,,37341,2003-12-31
,,,,37350,2003-12-31
,,,,37378,2003-12-31
,,,,37435,2003-12-31
,,,,37640,2003-12-31
,,,,37659,2003-12-31
,,,,37743,2003-12-31
,,,,37949,2003-12-31
,,,,38478,2003-12-31
,,,,38526,2003-12-31
,,,,38535,2003-12-31
,,,,38740,2003-12-31
,,,,39327,2003-12-31
,,,,39420,2003-12-31
,,,,39475,2003-12-31
,,,,39756,2003-12-31
,,,,39934,2003-12-31
,,,,40033,2003-12-31
,,,,40305,2003-12-31
,,,,40350,2003-12-31
,,,,40707,2003-12-31
,,,,40855,2003-12-31
,,,,41245,2003-12-31
,,,,41553,2003-12-31
,,,,41629,2003-12-31
,,,,41647,2003-12-31
,,,,41759,2003-12-31
,,,,41825,2003-12-31
,,,,41937,2003-12-31
,,,,41955,2003-12-31
,,,,42037,2003-12-31
,,,,42055,2003-12-31
,,,,42354,2003-12-31
,,,,42420,2003-12-31
,,,,42448,2003-12-31
,,,,42457,2003-12-31
0,0,0.0000,0.0000,42541,2003-12-31
,,,,43052,2003-12-31
,,,,43155,2003-12-31
0,0,0.0000,0.0000,43173,2003-12-31
,,,,43324,2003-12-31
,,,,43351,2003-12-31
,,,,43454,2003-12-31
,,,,43511,2003-12-31
,,,,43641,2003-12-31
,,,,43744,2003-12-31
,,,,43856,2003-12-31
,,,,43959,2003-12-31
,,,,44040,2003-12-31
0,0,0.0000,0.0000,44134,2003-12-31
,,,,44433,2003-12-31
,,,,44451,2003-12-31
,,,,44602,2003-12-31
,,,,44741,2003-12-31
,,,,44750,2003-12-31
,,,,44929,2003-12-31
,,,,45038,2003-12-31
,,,,45047,2003-12-31
,,,,45056,2003-12-31
,,,,45270,2003-12-31
,,,,45430,2003-12-31
,,,,45458,2003-12-31
,,,,45551,2003-12-31
,,,,45560,2003-12-31
,,,,45627,2003-12-31
,,,,45775,2003-12-31
,,,,46053,2003-12-31
,,,,46941,2003-12-31
,,,,47153,2003-12-31
,,,,47247,2003-12-31
,,,,47256,2003-12-31
,,,,47377,2003-12-31
,,,,47452,2003-12-31
,,,,47500,2003-12-31
,,,,47658,2003-12-31
,,,,48057,2003-12-31
,,,,48150,2003-12-31
,,,,48374,2003-12-31
,,,,48440,2003-12-31
,,,,48552,2003-12-31
,,,,48673,2003-12-31
,,,,48730,2003-12-31
,,,,49054,2003-12-31
,,,,49148,2003-12-31
,,,,49241,2003-12-31
,,,,49344,2003-12-31
,,,,49362,2003-12-31
,,,,49540,2003-12-31
,,,,49643,2003-12-31
,,,,49652,2003-12-31
,,,,49821,2003-12-31
,,,,49858,2003-12-31
,,,,49951,2003-12-31
,,,,50144,2003-12-31
,,,,50461,2003-12-31
,,,,50546,2003-12-31
,,,,50854,2003-12-31
,,,,50957,2003-12-31
,,,,51253,2003-12-31
,,,,51347,2003-12-31
,,,,51356,2003-12-31
,,,,51459,2003-12-31
,,,,51730,2003-12-31
,,,,51842,2003-12-31
,,,,51972,2003-12-31
,,,,52410,2003-12-31
,,,,52456,2003-12-31
,,,,52719,2003-12-31
