RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,37,2007-09-30
,,,,242,2007-09-30
,,,,279,2007-09-30
,,,,354,2007-09-30
,,,,457,2007-09-30
,,,,505,2007-09-30
,,,,1155,2007-09-30
,,,,1351,2007-09-30
,,,,1454,2007-09-30
,,,,1557,2007-09-30
,,,,1632,2007-09-30
,,,,1669,2007-09-30
,,,,1829,2007-09-30
,,,,1856,2007-09-30
,,,,2040,2007-09-30
,,,,2161,2007-09-30
,,,,2376,2007-09-30
,,,,2451,2007-09-30
,,,,2554,2007-09-30
,,,,2732,2007-09-30
,,,,2750,2007-09-30
,,,,2938,2007-09-30
,,,,3252,2007-09-30
,,,,3458,2007-09-30
,,,,3720,2007-09-30
,,,,3953,2007-09-30
,,,,4138,2007-09-30
,,,,4156,2007-09-30
,,,,4231,2007-09-30
,,,,4437,2007-09-30
,,,,4839,2007-09-30
,,,,5005,2007-09-30
,,,,5069,2007-09-30
,,,,5135,2007-09-30
,,,,5210,2007-09-30
,,,,5331,2007-09-30
,,,,5461,2007-09-30
,,,,5751,2007-09-30
,,,,6039,2007-09-30
,,,,6057,2007-09-30
,,,,6141,2007-09-30
,,,,6329,2007-09-30
,,,,6972,2007-09-30
,,,,7009,2007-09-30
,,,,7045,2007-09-30
,,,,7157,2007-09-30
,,,,7456,2007-09-30
,,,,7634,2007-09-30
,,,,8033,2007-09-30
,,,,8462,2007-09-30
,,,,8631,2007-09-30
,,,,9357,2007-09-30
,,,,9553,2007-09-30
,,,,9807,2007-09-30
,,,,9955,2007-09-30
,,,,10157,2007-09-30
,,,,10250,2007-09-30
,,,,10849,2007-09-30
,,,,10858,2007-09-30
,,,,11145,2007-09-30
,,,,11640,2007-09-30
,,,,11837,2007-09-30
,,,,12030,2007-09-30
,,,,12058,2007-09-30
,,,,12142,2007-09-30
,,,,12245,2007-09-30
,,,,12311,2007-09-30
,,,,12647,2007-09-30
,,,,12656,2007-09-30
,,,,12937,2007-09-30
,,,,12946,2007-09-30
,,,,12955,2007-09-30
,,,,13037,2007-09-30
,,,,13103,2007-09-30
,,,,13251,2007-09-30
,,,,13457,2007-09-30
,,,,14052,2007-09-30
,,,,14155,2007-09-30
,,,,14258,2007-09-30
,,,,14454,2007-09-30
,,,,14650,2007-09-30
,,,,14753,2007-09-30
,,,,14865,2007-09-30
,,,,15536,2007-09-30
,,,,16337,2007-09-30
,,,,16458,2007-09-30
,,,,16551,2007-09-30
,,,,16748,2007-09-30
,,,,16944,2007-09-30
,,,,16953,2007-09-30
,,,,17110,2007-09-30
,,,,17147,2007-09-30
,,,,17259,2007-09-30
,,,,17464,2007-09-30
,,,,17839,2007-09-30
,,,,17950,2007-09-30
,,,,18050,2007-09-30
,,,,18135,2007-09-30
,,,,18377,2007-09-30
,,,,18827,2007-09-30
,,,,18836,2007-09-30
,,,,18854,2007-09-30
,,,,18957,2007-09-30
,,,,19356,2007-09-30
,,,,19730,2007-09-30
,,,,19936,2007-09-30
,,,,19972,2007-09-30
,,,,20053,2007-09-30
,,,,20147,2007-09-30
,,,,20259,2007-09-30
,,,,20370,2007-09-30
,,,,20512,2007-09-30
,,,,20633,2007-09-30
,,,,20839,2007-09-30
,,,,20857,2007-09-30
,,,,20866,2007-09-30
,,,,21256,2007-09-30
,,,,21359,2007-09-30
,,,,21630,2007-09-30
,,,,21658,2007-09-30
,,,,22048,2007-09-30
,,,,22235,2007-09-30
,,,,22356,2007-09-30
,,,,22459,2007-09-30
,,,,22543,2007-09-30
,,,,22552,2007-09-30
,,,,22730,2007-09-30
,,,,22936,2007-09-30
,,,,22954,2007-09-30
,,,,23036,2007-09-30
,,,,23045,2007-09-30
,,,,23241,2007-09-30
,,,,23456,2007-09-30
,,,,23504,2007-09-30
,,,,23540,2007-09-30
,,,,23643,2007-09-30
,,,,23755,2007-09-30
,,,,23812,2007-09-30
,,,,24006,2007-09-30
,,,,24453,2007-09-30
,,,,24659,2007-09-30
,,,,24668,2007-09-30
,,,,24855,2007-09-30
,,,,24949,2007-09-30
,,,,25357,2007-09-30
,,,,25647,2007-09-30
,,,,25852,2007-09-30
,,,,26149,2007-09-30
,,,,26242,2007-09-30
,,,,26457,2007-09-30
,,,,26765,2007-09-30
,,,,26859,2007-09-30
,,,,26916,2007-09-30
,,,,27548,2007-09-30
,,,,27614,2007-09-30
,,,,27838,2007-09-30
,,,,27847,2007-09-30
,,,,28013,2007-09-30
,,,,28152,2007-09-30
,,,,28255,2007-09-30
,,,,28349,2007-09-30
