"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											144					0	0	0	0	
242											201					3700	66	0	111	
279											1142					24691	0	0	0	
354											4					0	0	0	0	
457											124					0	0	0	0	
505											3097					45000	0	0	0	
1155											785					12700	0	0	23932	
1351											0					0	0	0	0	
1454											1092					0	9	0	0	
1557											140					2079	0	0	0	
1632											3836					57000	0	0	2640	
1669											426					1000	0	0	0	
1829											3059					49848	1911	0	2742	
1856											4620					83500	0	0	0	
2040											1368					25392	0	0	2547	
2161											259					0	0	0	0	
2376											15505					320336	8429	0	0	
2451											939					8225	0	0	0	
2554											0					0	0	0	0	
2732											174					357	0	0	0	
2750											493					7000	0	0	0	
2938											2010					29000	0	0	3902	
3252											312					2088	0	0	0	
3458											177					0	0	0	2860	
3720											557					2458	0	0	3774	
3953											1013					4420	4	0	0	
4138											953					2160	0	0	0	
4156											1799					31500	0	0	0	
4231											0					0	0	0	0	
4437											823					9046	0	0	4107	
4839											1795					35900	0	0	8063	
5005											3675					54538	11964	0	0	
5069											0					0	0	0	0	
5135											993					9300	0	0	0	
5210											9045					125840	0	0	32035	
5331											3491					19079	0	10000	94000	
5461											1862					33739	0	0	0	
5751											274					0	0	0	0	
6039											424					0	51	0	0	
6057											213					500	0	0	0	
6141											0					0	0	0	0	
6329											892					0	0	0	0	
6972											718					99572	0	0	11012	
7009											0					0	9478	0	0	
7045											0					0	0	0	0	
7157											23					0	0	0	0	
7456											201					0	0	0	0	
7634											100					0	0	0	0	
8033											1390					18468	0	2200	0	
8462											21					0	0	0	0	
8631											128					0	0	0	0	
9357											1286					6300	970	0	8404	
9553											739					7086	0	0	0	
9807											22677					307377	0	0	138306	
9955											448					2269	0	0	0	
10157											589					3875	0	0	0	
10250											1233					6000	0	0	1200	
10849											1941					37963	0	0	0	
10858											1450					9563	0	0	26028	
11145											1263					16700	0	0	0	
11640											1533					10056	0	0	0	
11837											600					0	0	0	0	
12030											1010					0	0	0	0	
12058											432					5071	0	0	0	
12142											513					0	0	0	0	
12245											395					7100	1249	0	0	
12311	0	149615	691384	1559389	0	0	784339	869654	0	4063261	414583	0	54098791	858691	47017307	5278666	8880	592649	1693307	
12647											180					3550	0	0	0	
12656											29					0	0	0	0	
12937											776					545	0	0	0	
12946											2265					33200	590	0	0	
12955											748					3400	0	0	0	
13037											204					0	0	0	0	
13103											12036					194233	69451	0	8175	
13251											141					0	0	0	0	
13457											3					0	597	0	0	
14052											247					1000	0	0	0	
14155											620					9835	0	0	0	
14258											4022					0	0	0	0	
14454											95					600	0	0	0	
14650											110					0	0	0	0	
14753											9					0	0	0	0	
14865											560					16888	0	0	0	
14977											180					303	0	0	0	
15536											33103					240049	115792	0	0	
16337											2155					29000	0	0	1185	
16458											770					1660	0	0	0	
16551											2241					23954	0	0	0	
16748											344					3000	0	0	0	
16944											0					0	500	0	0	
16953											0					0	0	0	0	
17110											219					0	23250	1448	0	
17147											11301					156732	0	0	77134	
17259											409					3750	0	0	0	
17464											6991					327867	405	0	18614	
17839											548					0	0	0	6570	
17950											962					6501	0	0	0	
18050											587					667	0	0	0	
18135											1424					20370	0	0	10235	
18377											108					0	0	0	0	
18827											414					757	0	0	0	
18836											659					4554	28	0	0	
18854											230					0	0	0	0	
18957											437					4590	0	0	0	
19356											155					0	0	0	0	
19730											18195					113291	5533	0	28048	
19936											1659					10000	0	0	4174	
19972											184					0	0	0	0	
20053											503					3450	1029	0	497	
20147											491					2766	0	0	0	
20259											350					12	0	0	0	
20370											363					2600	0	0	0	
20512											988					16330	0	0	0	
20633											655					6000	1000	0	0	
20839											748					8000	0	0	0	
20857											291					1354	0	0	0	
20866											1009					24867	0	0	0	
21256											80					600	0	0	0	
21359											114					375	0	0	0	
21630											508					5702	0	0	0	
21658											442					1742	0	0	0	
22048											582					5860	0	0	5045	
22235											1517					20000	0	0	0	
22356											828					205	10	0	13384	
22459											691					3523	0	0	3675	
22543											170					0	2000	0	0	
22552											326					1800	0	0	0	
22730											469					6100	0	0	3330	
22936											1594					24274	0	0	0	
22954											655					3613	74	0	0	
23036											0					0	0	0	3282	
23045											212					0	0	0	0	
23241											29179					212653	2409	0	262170	
23456											398					3455	0	0	0	
23504											2387					10000	0	0	25000	
23540											625					0	0	0	0	
23643											550					334	0	0	0	
23755											561					2000	0	0	0	
23812											7269					115384	10	0	0	
24006											1081					0	7	0	0	
24453											2056					35000	0	0	0	
24659											0					0	0	0	0	
24668											1256					0	0	0	13098	
24855											29					0	0	0	0	
24949											2168					8100	0	0	3045	
25357											3934					58500	0	0	0	
25647											0					0	0	1500	0	
25852											1729					18000	0	0	0	
26149											0					0	0	0	653	
26242											1800					6000	0	0	4700	
26457											0					0	0	0	0	
26765											666					2000	0	0	0	
26859											2131					30089	0	0	0	
26916											7172					147922	0	0	10207	
27548											4114					59416	0	9165	17148	
27614											1432					3000	0	0	0	
27838											1470					9097	43	0	0	
27847											1369					26993	0	0	0	
28152											347					2862	0	0	0	
28255											128					0	0	0	0	
28349											536					0	0	0	732	
28406											4607					0	41323	0	0	
28572											1078					12120	1064	0	0	
28732											487					2000	0	0	0	
29104											8467					126568	5938	2000	91541	
29252											1305					3000	0	0	0	
29636											3092					125382	69045	0	0	
29850											0					37	0	0	0	
29944											1561					35000	0	0	0	
29953											873					14380	0	0	0	
30052											58					501	0	0	0	
30155											1315					17347	1221	0	0	
30258											1775					25693	515	0	3630	
30418											0					0	0	0	279855	
30502											4779					85435	6225	0	56256	
30650											687					5749	0	0	0	
30810	641	0	60941	17140	0	0	108681	0	0	189403	33112	367390	30119057	0	27100615	249867	2000	0	0	
30856											1078					200	0	0	5481	
31134											404					5000	0	0	0	
31255											440					8337	0	0	911	
31657											0					0	0	0	0	
31826											761					1000	100	0	0	
31835											899					10600	2000	0	0	
