"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDC866	RCFDC867	RCFDC868	RCFDF166	RCFDF167	RCFDF168	RCFDF169	RCFDF170	RCFDF171	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON2759	RCON2769	RCON3492	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3502	RCON3503	RCON3504	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONC866	RCONC867	RCONC868	RCONF166	RCONF167	RCONF168	RCONF172	RCONF173	RCONF174	RCONF175	RCONF176	RCONF177	RCONF178	RCONF179	RCONF180	RCONF181	RCONF182	RCONF183	
271855																																																																	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	600	0	2302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	85	0	296	0	0	0	0	0	930	0	0	0	0	0	0	0	94	506	0	0	0	2302	0	0	0	0	0	0	
272030																																																																	0	0	0										33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0						0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	116	22	0	0	0	0	0	71	0	180	53	0	0	0	0	142	0	0	0	0																
272058																																																																	0	0	0							0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
272151																																																																	0	0	0							0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0																
272218	0	0	0	4592	723	8744	0	0	0	0	0	0	0	0	4632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	120	2297	405	1489	2297	405	1489	0	0	0	1270	484	0	18241	3046	242	0	0	0	11998	0	0	0	0	0	0	0	0	0	0	0	0	0																			5550	0	9773	47	0	955	296	0	43	6063	1603	11831												1131	684	797																							4306	2017	9994	2943	856	429											508	5042	0	0	5665	4108	897	5166	1064	539	1299	10532	
272245																																																																	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	23	9	0	0	0	0	0	0	0	0	0																
272272																																																																	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	91	20	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	7	1	0	0	0	0	0	0	793	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	124	0	0	0	0	
272302																																																																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	7	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
272870																																																																	0	0	0										0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	945	388	0	0	0	0	0	0	0	0	0				0	179	0	0	0	0	0	0	0	0	0	0	
273149																																																																	0	0	0										180	21	7	0	0	0	502	0	0	114	0	579	0	0	0	1791	0	280	0	0	0						0	0	0	0	0	0	168	15	0	0	0	0	0	0	0	0	0	0	0	0	0	2046	89	545	0	0	0	0	1170	0	2402	352	28	0	0	0	0	0	0	0	0																
273251																																																																	0	0	0							0	185	0	29	39	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	13	4	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0																
273336																																																																	0	0	0	0	0	0	0	0	0	8	0	0	20	17	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	75	72	0	0	8	0	0	0	0	0	0	0	0	0	27	0	0	21	12	0	0	0	0	0	0	0	0	0	10	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
273523																																																																	0	0	0	0	0	0	0	0	0	0	0	0	634	0	640	0	0	1941	924	0	128	149	0	97	0	0	0	1879	0	3265	0	0	0	0	0	0	0	0	0	0	0	147	31	0	82	0	6	76	0	472	76	0	472	0	0	0	111	60	0	986	88	96	0	0	0	0	3821	1328	5754	154	854	58	0	0	3373	0	0	0	0	0	0	0	896	28	0	0	128	0	0	1879	0	0	2005	1260	
273550																																																																	0	0	0							0	0	0	8	0	539	0	0	0	376	0	0	218	0	0	0	0	0	0	0	652	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	35	0	0	0	0	0	23	0	49	2	0	0	0	0	0	0	0	0	0																
273653																																																																	0	0	0							0	0	0	274	100	249	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0						0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	21	0	0	0	0	32	18	0	0	5	0	0	0	40	0	0	0	0				0	0	0	0	0	0	20	0	0	0	0	0	
273662																																																																	0	0	0	0	0	0	0	0	0	0	21	0	268	4	29	0	0	0	683	0	0	0	0	0	0	0	0	323	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	11	0	0	0	0	0	0	0	0	0	0	0	0	0	265	38	23	0	0	0	0	0	0	1230	53	0	0	0	0	0	0	0	0	0	0	0	0	0	683	0	0	0	0	0	323	0	97	0	0	
273840																																																																	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0																
273859																																																																	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
274025																																																																	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	3	0	0	0	0	0	10	0	18	4	0	0	0	0	0	0	0	0	0																
274052																																																																	0	0	0							0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	17	0	110	0	0	0	0	0	0	0	0	0	0																
274164																																																																	0	0	0										860	10	317	0	0	0	182	0	261	0	0	0	0	0	0	626	0	239	0	0	0						0	0	0	0	0	0	0	0	0	0	0	127	0	0	127	0	0	0	0	0	0	362	147	145	0	0	0	0	0	0	763	424	0	0	0	0	743	0	0	0	0				0	182	0	0	0	261	626	0	0	0	146	93	
274548																																																																	0	0	0							0	579	62	392	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0						0	0	0	0	0	0	586	62	0	0	0	0	0	0	0	0	0	0	0	0	0	150	51	0	0	0	0	0	0	0	91	0	163	0	0	0	0	0	0	0	0												377				
274641																																																																	0	0	0							0	0	0	7	0	0	0	0	0	144	0	0	95	0	0	0	0	0	50	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	18	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0																
274753																																																																	0	0	0							0	0	0	0	0	120	0	0	0	0	0	0	0	0	64	0	0	0	0	0	10	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
274829																																																																	0	0	0	0	0	0	0	0	0	0	0	0	1559	25	57	0	0	0	0	0	544	11	0	0	0	0	0	1854	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3190	226	72	0	0	0	0	727	9	2845	58	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	0	961	893	0	0	0	0	
274856																																																																	0	0	0							0	16	0	16	0	0	0	0	0	0	0	0	0	145	0	0	0	0	13	0	0	0	0	0						0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	10	4	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0																
