RCFN2133,RCFN2898,IDRSSD,RCON9999
,,37,2017-06-30
,,242,2017-06-30
,,279,2017-06-30
,,354,2017-06-30
,,457,2017-06-30
,,505,2017-06-30
,,1155,2017-06-30
,,1351,2017-06-30
,,1454,2017-06-30
,,1557,2017-06-30
,,1669,2017-06-30
,,1856,2017-06-30
,,2040,2017-06-30
,,2161,2017-06-30
,,2376,2017-06-30
,,2554,2017-06-30
,,2732,2017-06-30
,,2750,2017-06-30
,,3252,2017-06-30
,,3458,2017-06-30
,,3720,2017-06-30
,,3971,2017-06-30
,,4156,2017-06-30
,,4231,2017-06-30
,,4839,2017-06-30
,,5069,2017-06-30
,,5135,2017-06-30
,,5210,2017-06-30
,,5461,2017-06-30
,,5751,2017-06-30
,,6039,2017-06-30
,,6141,2017-06-30
,,6329,2017-06-30
,,7009,2017-06-30
,,7045,2017-06-30
,,7072,2017-06-30
,,7157,2017-06-30
,,7456,2017-06-30
,,7634,2017-06-30
,,8033,2017-06-30
,,8462,2017-06-30
,,8631,2017-06-30
,,9357,2017-06-30
,,9553,2017-06-30
,,9807,2017-06-30
,,9955,2017-06-30
,,10250,2017-06-30
,,10849,2017-06-30
,,11145,2017-06-30
,,11640,2017-06-30
,,11837,2017-06-30
,,12030,2017-06-30
,,12142,2017-06-30
,,12179,2017-06-30
,,12311,2017-06-30
,,12647,2017-06-30
,,12656,2017-06-30
,,12937,2017-06-30
,,12946,2017-06-30
,,13103,2017-06-30
,,13251,2017-06-30
,,13457,2017-06-30
,,14052,2017-06-30
,,14155,2017-06-30
,,14650,2017-06-30
,,14753,2017-06-30
,,14865,2017-06-30
,,14977,2017-06-30
,,16551,2017-06-30
,,16748,2017-06-30
,,17110,2017-06-30
,,17147,2017-06-30
,,17259,2017-06-30
,,17464,2017-06-30
,,17950,2017-06-30
,,17978,2017-06-30
,,18050,2017-06-30
,,18135,2017-06-30
,,18827,2017-06-30
,,18836,2017-06-30
,,18854,2017-06-30
,,19356,2017-06-30
,,19936,2017-06-30
,,19972,2017-06-30
,,20053,2017-06-30
,,20633,2017-06-30
,,20857,2017-06-30
,,21256,2017-06-30
,,21359,2017-06-30
,,21630,2017-06-30
,,21658,2017-06-30
,,22048,2017-06-30
,,22543,2017-06-30
,,22552,2017-06-30
,,22730,2017-06-30
,,22936,2017-06-30
,,23456,2017-06-30
,,23504,2017-06-30
,,23643,2017-06-30
,,23755,2017-06-30
,,24006,2017-06-30
,,24378,2017-06-30
,,24453,2017-06-30
,,24659,2017-06-30
,,24668,2017-06-30
,,24949,2017-06-30
,,25357,2017-06-30
,,25647,2017-06-30
,,26176,2017-06-30
,,26242,2017-06-30
,,26457,2017-06-30
,,26765,2017-06-30
,,27070,2017-06-30
,,27548,2017-06-30
,,27614,2017-06-30
,,27847,2017-06-30
,,28013,2017-06-30
,,28152,2017-06-30
,,28255,2017-06-30
,,28406,2017-06-30
,,28675,2017-06-30
,,28732,2017-06-30
,,29476,2017-06-30
,,29636,2017-06-30
,,29878,2017-06-30
,,30052,2017-06-30
,,30502,2017-06-30
,,30650,2017-06-30
,,30810,2017-06-30
,,31134,2017-06-30
,,31255,2017-06-30
,,31657,2017-06-30
,,31826,2017-06-30
,,31835,2017-06-30
,,32234,2017-06-30
,,32766,2017-06-30
,,32971,2017-06-30
,,33147,2017-06-30
,,33259,2017-06-30
,,33268,2017-06-30
,,33370,2017-06-30
,,33839,2017-06-30
,,33857,2017-06-30
,,34425,2017-06-30
,,34434,2017-06-30
,,34452,2017-06-30
,,34537,2017-06-30
,,34555,2017-06-30
,,34742,2017-06-30
,,35057,2017-06-30
,,35301,2017-06-30
,,35570,2017-06-30
,,35646,2017-06-30
,,35879,2017-06-30
,,36456,2017-06-30
,,36933,2017-06-30
,,37051,2017-06-30
,,37341,2017-06-30
,,37435,2017-06-30
,,37640,2017-06-30
,,37659,2017-06-30
,,37949,2017-06-30
,,38740,2017-06-30
,,39327,2017-06-30
,,39756,2017-06-30
,,40033,2017-06-30
,,40499,2017-06-30
,,40855,2017-06-30
,,41245,2017-06-30
,,41553,2017-06-30
,,41629,2017-06-30
,,41825,2017-06-30
,,41937,2017-06-30
,,41955,2017-06-30
,,42037,2017-06-30
,,42354,2017-06-30
,,42372,2017-06-30
,,42420,2017-06-30
,,42448,2017-06-30
,,42457,2017-06-30
,,43052,2017-06-30
,,43351,2017-06-30
,,43856,2017-06-30
,,43959,2017-06-30
,,44040,2017-06-30
,,44433,2017-06-30
,,44741,2017-06-30
,,44750,2017-06-30
,,44929,2017-06-30
,,45038,2017-06-30
,,45047,2017-06-30
,,45056,2017-06-30
,,45430,2017-06-30
,,45458,2017-06-30
,,45551,2017-06-30
,,45560,2017-06-30
,,45775,2017-06-30
,,46053,2017-06-30
,,46941,2017-06-30
,,47247,2017-06-30
,,47256,2017-06-30
,,47452,2017-06-30
,,47500,2017-06-30
,,48057,2017-06-30
,,48150,2017-06-30
,,48374,2017-06-30
,,48440,2017-06-30
,,49054,2017-06-30
,,49148,2017-06-30
,,49241,2017-06-30
,,49652,2017-06-30
,,49858,2017-06-30
,,49951,2017-06-30
,,50144,2017-06-30
,,50461,2017-06-30
,,50872,2017-06-30
,,51253,2017-06-30
,,51356,2017-06-30
,,51459,2017-06-30
,,51842,2017-06-30
,,52719,2017-06-30
,,52951,2017-06-30
,,53033,2017-06-30
,,53051,2017-06-30
,,53752,2017-06-30
,,54049,2017-06-30
,,54058,2017-06-30
,,54441,2017-06-30
,,54656,2017-06-30
,,54973,2017-06-30
,,55336,2017-06-30
,,55635,2017-06-30
,,55653,2017-06-30
,,55970,2017-06-30
,,56258,2017-06-30
,,56351,2017-06-30
,,56548,2017-06-30
,,56557,2017-06-30
,,56717,2017-06-30
,,57040,2017-06-30
,,57228,2017-06-30
,,57451,2017-06-30
,,58177,2017-06-30
,,58207,2017-06-30
,,58225,2017-06-30
,,58243,2017-06-30
,,58355,2017-06-30
,,58551,2017-06-30
,,58636,2017-06-30
,,58757,2017-06-30
,,58971,2017-06-30
,,59316,2017-06-30
,,59352,2017-06-30
,,59370,2017-06-30
,,59754,2017-06-30
,,60143,2017-06-30
,,60330,2017-06-30
,,60545,2017-06-30
,,60554,2017-06-30
,,60648,2017-06-30
,,61122,2017-06-30
,,61355,2017-06-30
,,61476,2017-06-30
,,61757,2017-06-30
,,61832,2017-06-30
,,61953,2017-06-30
,,62044,2017-06-30
,,62110,2017-06-30
,,62147,2017-06-30
,,62772,2017-06-30
,,63050,2017-06-30
,,63069,2017-06-30
,,63201,2017-06-30
,,63573,2017-06-30
,,63733,2017-06-30
,,63742,2017-06-30
,,63751,2017-06-30
,,64150,2017-06-30
,,64543,2017-06-30
,,64552,2017-06-30
,,64730,2017-06-30
,,65205,2017-06-30
,,65241,2017-06-30
,,65513,2017-06-30
,,65559,2017-06-30
,,65746,2017-06-30
,,65858,2017-06-30
,,66154,2017-06-30
,,66275,2017-06-30
,,66677,2017-06-30
,,67142,2017-06-30
,,67151,2017-06-30
,,67209,2017-06-30
,,67254,2017-06-30
,,67656,2017-06-30
,,67870,2017-06-30
,,68448,2017-06-30
,,68671,2017-06-30
,,68756,2017-06-30
,,68831,2017-06-30
,,68840,2017-06-30
,,68859,2017-06-30
,,69333,2017-06-30
,,69678,2017-06-30
,,70058,2017-06-30
,,70218,2017-06-30
,,70414,2017-06-30
,,70638,2017-06-30
,,70955,2017-06-30
,,71073,2017-06-30
,,71318,2017-06-30
,,71457,2017-06-30
,,71859,2017-06-30
,,72258,2017-06-30
,,72351,2017-06-30
,,72454,2017-06-30
,,72678,2017-06-30
,,73116,2017-06-30
,,73152,2017-06-30
,,73554,2017-06-30
,,73956,2017-06-30
,,74056,2017-06-30
,,74140,2017-06-30
,,74403,2017-06-30
,,74449,2017-06-30
,,75053,2017-06-30
,,75259,2017-06-30
,,75446,2017-06-30
,,75455,2017-06-30
,,75558,2017-06-30
,,75633,2017-06-30
,,75651,2017-06-30
,,76153,2017-06-30
,,76443,2017-06-30
,,76854,2017-06-30
,,77150,2017-06-30
,,77253,2017-06-30
,,77422,2017-06-30
,,77851,2017-06-30
,,78157,2017-06-30
,,78241,2017-06-30
,,78559,2017-06-30
,,79042,2017-06-30
,,79127,2017-06-30
,,79145,2017-06-30
,,79257,2017-06-30
,,79855,2017-06-30
,,80150,2017-06-30
,,80374,2017-06-30
,,80431,2017-06-30
,,80552,2017-06-30
,,80936,2017-06-30
,,81175,2017-06-30
,,81429,2017-06-30
,,82033,2017-06-30
,,82257,2017-06-30
,,82350,2017-06-30
,,82659,2017-06-30
,,83151,2017-06-30
,,83236,2017-06-30
,,83375,2017-06-30
,,83638,2017-06-30
,,83834,2017-06-30
,,83852,2017-06-30
,,83955,2017-06-30
,,84046,2017-06-30
,,84541,2017-06-30
,,84804,2017-06-30
,,85052,2017-06-30
,,85258,2017-06-30
,,85454,2017-06-30
,,85472,2017-06-30
,,85931,2017-06-30
,,86349,2017-06-30
,,86358,2017-06-30
,,86554,2017-06-30
,,86675,2017-06-30
,,87047,2017-06-30
,,87159,2017-06-30
,,87177,2017-06-30
,,87234,2017-06-30
,,87476,2017-06-30
,,87579,2017-06-30
,,88231,2017-06-30
,,88240,2017-06-30
,,88259,2017-06-30
,,88352,2017-06-30
,,88455,2017-06-30
,,88772,2017-06-30
,,88950,2017-06-30
,,89032,2017-06-30
,,89135,2017-06-30
,,89854,2017-06-30
,,89957,2017-06-30
,,90047,2017-06-30
,,90177,2017-06-30
,,90328,2017-06-30
,,90337,2017-06-30
,,90579,2017-06-30
,,90645,2017-06-30
,,91615,2017-06-30
,,91651,2017-06-30
,,91754,2017-06-30
,,91950,2017-06-30
,,92144,2017-06-30
,,92676,2017-06-30
,,92706,2017-06-30
,,92902,2017-06-30
,,93244,2017-06-30
,,93543,2017-06-30
,,93619,2017-06-30
,,93758,2017-06-30
,,94139,2017-06-30
,,94522,2017-06-30
,,94755,2017-06-30
,,94858,2017-06-30
,,95051,2017-06-30
,,95659,2017-06-30
,,95677,2017-06-30
,,96553,2017-06-30
,,97055,2017-06-30
,,97279,2017-06-30
,,97457,2017-06-30
,,97804,2017-06-30
,,97943,2017-06-30
,,98351,2017-06-30
,,98463,2017-06-30
,,98717,2017-06-30
,,99143,2017-06-30
,,99255,2017-06-30
,,99376,2017-06-30
,,99442,2017-06-30
,,99536,2017-06-30
,,99853,2017-06-30
,,100236,2017-06-30
,,100357,2017-06-30
,,100562,2017-06-30
,,100777,2017-06-30
,,100843,2017-06-30
0,289223,101019,2017-06-30
,,101037,2017-06-30
,,101439,2017-06-30
,,101671,2017-06-30
,,101738,2017-06-30
,,101952,2017-06-30
,,102155,2017-06-30
,,102173,2017-06-30
,,102333,2017-06-30
,,102342,2017-06-30
,,102539,2017-06-30
,,102557,2017-06-30
,,102874,2017-06-30
,,103134,2017-06-30
,,103255,2017-06-30
,,103563,2017-06-30
,,104234,2017-06-30
,,104542,2017-06-30
,,104971,2017-06-30
,,105026,2017-06-30
,,105222,2017-06-30
,,105473,2017-06-30
,,105530,2017-06-30
,,106359,2017-06-30
,,106452,2017-06-30
,,106676,2017-06-30
,,107244,2017-06-30
,,107459,2017-06-30
,,107570,2017-06-30
,,107758,2017-06-30
,,108072,2017-06-30
,,108269,2017-06-30
,,108652,2017-06-30
,,108746,2017-06-30
,,108951,2017-06-30
,,109136,2017-06-30
,,109154,2017-06-30
,,109453,2017-06-30
,,109574,2017-06-30
,,109659,2017-06-30
,,110413,2017-06-30
,,110936,2017-06-30
,,110945,2017-06-30
,,110972,2017-06-30
,,111157,2017-06-30
,,111205,2017-06-30
,,111661,2017-06-30
,,111942,2017-06-30
,,111979,2017-06-30
,,112163,2017-06-30
,,112332,2017-06-30
,,112444,2017-06-30
,,112510,2017-06-30
,,112556,2017-06-30
,,112837,2017-06-30
,,113003,2017-06-30
,,113030,2017-06-30
,,113441,2017-06-30
,,113601,2017-06-30
,,113740,2017-06-30
,,113937,2017-06-30
,,114149,2017-06-30
,,114158,2017-06-30
,,114251,2017-06-30
,,114260,2017-06-30
,,114457,2017-06-30
,,114774,2017-06-30
,,114840,2017-06-30
,,114859,2017-06-30
,,115100,2017-06-30
,,115146,2017-06-30
,,115575,2017-06-30
,,116358,2017-06-30
,,116554,2017-06-30
,,116639,2017-06-30
,,116741,2017-06-30
,,117038,2017-06-30
,,117074,2017-06-30
,,117458,2017-06-30
,,117672,2017-06-30
,,117775,2017-06-30
,,118156,2017-06-30
,,118660,2017-06-30
,,118736,2017-06-30
,,119153,2017-06-30
,,119528,2017-06-30
,,119779,2017-06-30
,,119872,2017-06-30
,,120476,2017-06-30
,,120542,2017-06-30
,,120609,2017-06-30
,,120953,2017-06-30
,,121642,2017-06-30
,,121651,2017-06-30
,,121679,2017-06-30
,,121914,2017-06-30
,,122153,2017-06-30
,,122546,2017-06-30
,,122573,2017-06-30
,,122854,2017-06-30
,,123075,2017-06-30
,,123374,2017-06-30
,,123646,2017-06-30
,,124344,2017-06-30
,,124830,2017-06-30
,,125154,2017-06-30
,,125471,2017-06-30
,,125855,2017-06-30
,,125873,2017-06-30
,,125958,2017-06-30
,,126012,2017-06-30
,,126049,2017-06-30
