RCFN2133,RCFN2898,IDRSSD,RCON9999
,,63733,2018-06-30
,,63742,2018-06-30
,,63751,2018-06-30
,,64150,2018-06-30
,,64552,2018-06-30
,,64730,2018-06-30
,,65205,2018-06-30
,,65241,2018-06-30
,,65513,2018-06-30
,,65559,2018-06-30
,,65746,2018-06-30
,,65858,2018-06-30
,,66154,2018-06-30
,,66275,2018-06-30
,,66677,2018-06-30
,,67142,2018-06-30
,,67151,2018-06-30
,,67209,2018-06-30
,,67254,2018-06-30
,,67656,2018-06-30
,,67870,2018-06-30
,,68448,2018-06-30
,,68671,2018-06-30
,,68756,2018-06-30
,,68831,2018-06-30
,,68840,2018-06-30
,,68859,2018-06-30
,,69333,2018-06-30
,,69678,2018-06-30
,,70058,2018-06-30
,,70218,2018-06-30
,,70414,2018-06-30
,,70638,2018-06-30
,,70955,2018-06-30
,,71073,2018-06-30
,,71318,2018-06-30
,,71457,2018-06-30
,,71859,2018-06-30
,,72258,2018-06-30
,,72351,2018-06-30
,,72454,2018-06-30
,,72678,2018-06-30
,,73116,2018-06-30
,,73152,2018-06-30
,,73554,2018-06-30
,,73956,2018-06-30
,,74056,2018-06-30
,,74140,2018-06-30
,,74403,2018-06-30
,,74449,2018-06-30
,,75053,2018-06-30
,,75259,2018-06-30
,,75446,2018-06-30
,,75455,2018-06-30
,,75558,2018-06-30
,,75633,2018-06-30
,,75651,2018-06-30
,,76153,2018-06-30
,,76443,2018-06-30
,,76854,2018-06-30
,,77150,2018-06-30
,,77253,2018-06-30
,,77422,2018-06-30
,,77851,2018-06-30
,,78157,2018-06-30
,,78241,2018-06-30
,,78559,2018-06-30
,,79042,2018-06-30
,,79127,2018-06-30
,,79145,2018-06-30
,,79257,2018-06-30
,,79855,2018-06-30
,,80150,2018-06-30
,,80374,2018-06-30
,,80431,2018-06-30
,,80552,2018-06-30
,,80936,2018-06-30
,,81175,2018-06-30
,,81429,2018-06-30
,,82033,2018-06-30
,,82257,2018-06-30
,,82350,2018-06-30
,,82659,2018-06-30
,,83151,2018-06-30
,,83236,2018-06-30
,,83375,2018-06-30
,,83638,2018-06-30
,,83834,2018-06-30
,,83852,2018-06-30
,,83955,2018-06-30
,,84046,2018-06-30
,,84541,2018-06-30
,,84804,2018-06-30
,,85052,2018-06-30
,,85258,2018-06-30
,,85454,2018-06-30
,,85472,2018-06-30
,,85931,2018-06-30
,,86349,2018-06-30
,,86358,2018-06-30
,,86554,2018-06-30
,,86675,2018-06-30
,,87047,2018-06-30
,,87159,2018-06-30
,,87234,2018-06-30
,,87476,2018-06-30
,,87579,2018-06-30
,,88231,2018-06-30
,,88240,2018-06-30
,,88259,2018-06-30
,,88352,2018-06-30
,,88455,2018-06-30
,,88772,2018-06-30
,,88950,2018-06-30
,,89032,2018-06-30
,,89135,2018-06-30
,,89854,2018-06-30
,,89957,2018-06-30
,,90047,2018-06-30
,,90177,2018-06-30
,,90328,2018-06-30
,,90337,2018-06-30
,,90579,2018-06-30
,,91615,2018-06-30
,,91651,2018-06-30
,,91754,2018-06-30
,,91950,2018-06-30
,,92144,2018-06-30
,,92676,2018-06-30
,,92706,2018-06-30
,,92902,2018-06-30
,,93244,2018-06-30
,,93543,2018-06-30
,,93619,2018-06-30
,,93758,2018-06-30
,,94139,2018-06-30
,,94522,2018-06-30
,,94755,2018-06-30
,,94858,2018-06-30
,,95051,2018-06-30
,,95659,2018-06-30
,,95677,2018-06-30
,,96553,2018-06-30
,,97055,2018-06-30
,,97279,2018-06-30
,,97457,2018-06-30
,,97804,2018-06-30
,,97943,2018-06-30
,,98351,2018-06-30
,,98463,2018-06-30
,,98717,2018-06-30
,,99143,2018-06-30
,,99255,2018-06-30
,,99376,2018-06-30
,,99442,2018-06-30
,,99536,2018-06-30
,,99853,2018-06-30
,,100236,2018-06-30
,,100357,2018-06-30
,,100562,2018-06-30
,,100777,2018-06-30
,,100843,2018-06-30
0,312235,101019,2018-06-30
,,101037,2018-06-30
,,101439,2018-06-30
,,101671,2018-06-30
,,101738,2018-06-30
,,101952,2018-06-30
,,102155,2018-06-30
,,102333,2018-06-30
,,102342,2018-06-30
,,102539,2018-06-30
,,102557,2018-06-30
,,102874,2018-06-30
,,103134,2018-06-30
,,103255,2018-06-30
,,103563,2018-06-30
,,104234,2018-06-30
,,104542,2018-06-30
,,104971,2018-06-30
,,105026,2018-06-30
,,105222,2018-06-30
,,105473,2018-06-30
,,105530,2018-06-30
,,106359,2018-06-30
,,106452,2018-06-30
,,106676,2018-06-30
,,107244,2018-06-30
,,107459,2018-06-30
,,107570,2018-06-30
,,107758,2018-06-30
,,108072,2018-06-30
,,108269,2018-06-30
,,108652,2018-06-30
,,108746,2018-06-30
,,108951,2018-06-30
,,109136,2018-06-30
,,109154,2018-06-30
,,109453,2018-06-30
,,109574,2018-06-30
,,109659,2018-06-30
,,110413,2018-06-30
,,110936,2018-06-30
,,110945,2018-06-30
,,110972,2018-06-30
,,111157,2018-06-30
,,111205,2018-06-30
,,111661,2018-06-30
,,111942,2018-06-30
,,111979,2018-06-30
,,112163,2018-06-30
,,112332,2018-06-30
,,112444,2018-06-30
,,112510,2018-06-30
,,112556,2018-06-30
,,112837,2018-06-30
,,113003,2018-06-30
,,113030,2018-06-30
,,113441,2018-06-30
,,113601,2018-06-30
,,113740,2018-06-30
,,113937,2018-06-30
,,114149,2018-06-30
,,114251,2018-06-30
,,114260,2018-06-30
,,114457,2018-06-30
,,114774,2018-06-30
,,114840,2018-06-30
,,114859,2018-06-30
,,115100,2018-06-30
,,115146,2018-06-30
,,115575,2018-06-30
,,116358,2018-06-30
,,116554,2018-06-30
,,116741,2018-06-30
,,117038,2018-06-30
,,117074,2018-06-30
,,117458,2018-06-30
,,117672,2018-06-30
,,117775,2018-06-30
,,118156,2018-06-30
,,118660,2018-06-30
,,118736,2018-06-30
,,119153,2018-06-30
,,119528,2018-06-30
,,119779,2018-06-30
,,119872,2018-06-30
,,120476,2018-06-30
,,120542,2018-06-30
,,120609,2018-06-30
,,120953,2018-06-30
,,121642,2018-06-30
,,121651,2018-06-30
,,121679,2018-06-30
