RCFN2133,RCFN2898,IDRSSD,RCON9999
,,37,2006-12-31
,,242,2006-12-31
,,279,2006-12-31
,,354,2006-12-31
,,439,2006-12-31
,,457,2006-12-31
,,505,2006-12-31
,,1146,2006-12-31
,,1155,2006-12-31
,,1351,2006-12-31
,,1454,2006-12-31
,,1557,2006-12-31
,,1632,2006-12-31
,,1669,2006-12-31
,,1829,2006-12-31
,,1856,2006-12-31
,,2040,2006-12-31
,,2161,2006-12-31
,,2376,2006-12-31
,,2451,2006-12-31
,,2554,2006-12-31
,,2732,2006-12-31
,,2750,2006-12-31
,,2938,2006-12-31
,,3252,2006-12-31
,,3458,2006-12-31
,,3506,2006-12-31
,,3720,2006-12-31
,,3953,2006-12-31
,,4138,2006-12-31
,,4156,2006-12-31
,,4231,2006-12-31
,,4437,2006-12-31
,,4839,2006-12-31
,,5005,2006-12-31
,,5069,2006-12-31
,,5135,2006-12-31
,,5210,2006-12-31
,,5331,2006-12-31
,,5461,2006-12-31
,,5751,2006-12-31
,,6039,2006-12-31
,,6057,2006-12-31
,,6141,2006-12-31
,,6329,2006-12-31
,,6972,2006-12-31
,,7009,2006-12-31
,,7045,2006-12-31
,,7157,2006-12-31
,,7456,2006-12-31
,,7634,2006-12-31
,,8033,2006-12-31
,,8462,2006-12-31
,,8631,2006-12-31
,,9357,2006-12-31
,,9553,2006-12-31
,,9807,2006-12-31
,,9955,2006-12-31
,,10157,2006-12-31
,,10250,2006-12-31
,,10849,2006-12-31
,,10858,2006-12-31
,,11145,2006-12-31
,,11640,2006-12-31
,,11837,2006-12-31
,,12030,2006-12-31
,,12058,2006-12-31
,,12142,2006-12-31
,,12245,2006-12-31
0,0,12311,2006-12-31
,,12647,2006-12-31
,,12656,2006-12-31
,,12937,2006-12-31
,,12946,2006-12-31
,,12955,2006-12-31
,,13037,2006-12-31
,,13103,2006-12-31
,,13251,2006-12-31
,,13457,2006-12-31
,,14052,2006-12-31
,,14155,2006-12-31
,,14258,2006-12-31
,,14409,2006-12-31
,,14454,2006-12-31
,,14650,2006-12-31
,,14753,2006-12-31
,,14865,2006-12-31
,,15536,2006-12-31
,,16337,2006-12-31
,,16458,2006-12-31
,,16551,2006-12-31
,,16748,2006-12-31
,,16944,2006-12-31
,,16953,2006-12-31
,,17110,2006-12-31
,,17147,2006-12-31
,,17259,2006-12-31
,,17464,2006-12-31
,,17839,2006-12-31
,,17950,2006-12-31
,,18050,2006-12-31
,,18135,2006-12-31
,,18377,2006-12-31
,,18827,2006-12-31
,,18836,2006-12-31
,,18854,2006-12-31
,,18957,2006-12-31
,,19356,2006-12-31
,,19730,2006-12-31
,,19936,2006-12-31
,,19972,2006-12-31
,,20053,2006-12-31
,,20147,2006-12-31
,,20259,2006-12-31
,,20370,2006-12-31
,,20512,2006-12-31
,,20633,2006-12-31
,,20839,2006-12-31
,,20857,2006-12-31
,,20866,2006-12-31
,,21256,2006-12-31
,,21359,2006-12-31
,,21630,2006-12-31
,,21658,2006-12-31
,,22048,2006-12-31
,,22235,2006-12-31
,,22356,2006-12-31
,,22459,2006-12-31
,,22543,2006-12-31
,,22552,2006-12-31
,,22730,2006-12-31
,,22936,2006-12-31
,,22954,2006-12-31
,,23036,2006-12-31
,,23045,2006-12-31
,,23241,2006-12-31
,,23456,2006-12-31
,,23504,2006-12-31
,,23540,2006-12-31
,,23643,2006-12-31
,,23755,2006-12-31
,,23812,2006-12-31
,,24006,2006-12-31
,,24266,2006-12-31
,,24453,2006-12-31
,,24659,2006-12-31
,,24668,2006-12-31
,,24855,2006-12-31
,,24949,2006-12-31
,,25357,2006-12-31
,,25647,2006-12-31
,,25852,2006-12-31
,,26149,2006-12-31
,,26233,2006-12-31
,,26242,2006-12-31
,,26457,2006-12-31
,,26765,2006-12-31
,,26859,2006-12-31
,,26916,2006-12-31
,,27548,2006-12-31
,,27614,2006-12-31
,,27838,2006-12-31
,,27847,2006-12-31
,,28013,2006-12-31
,,28152,2006-12-31
,,28255,2006-12-31
,,28349,2006-12-31
,,28406,2006-12-31
,,28572,2006-12-31
,,28732,2006-12-31
,,29104,2006-12-31
,,29252,2006-12-31
,,29636,2006-12-31
,,29850,2006-12-31
,,29944,2006-12-31
,,29953,2006-12-31
,,30052,2006-12-31
,,30155,2006-12-31
,,30258,2006-12-31
,,30418,2006-12-31
,,30502,2006-12-31
,,30650,2006-12-31
,,30810,2006-12-31
,,30856,2006-12-31
,,31134,2006-12-31
,,31255,2006-12-31
,,31657,2006-12-31
,,31826,2006-12-31
,,31835,2006-12-31
,,32159,2006-12-31
,,32234,2006-12-31
,,32766,2006-12-31
,,33147,2006-12-31
,,33259,2006-12-31
,,33268,2006-12-31
,,33549,2006-12-31
,,33727,2006-12-31
,,33754,2006-12-31
,,33772,2006-12-31
,,33839,2006-12-31
,,33857,2006-12-31
,,34153,2006-12-31
,,34359,2006-12-31
,,34425,2006-12-31
,,34434,2006-12-31
,,34452,2006-12-31
,,34537,2006-12-31
,,34555,2006-12-31
,,34742,2006-12-31
,,34836,2006-12-31
,,34863,2006-12-31
,,35057,2006-12-31
,,35244,2006-12-31
,,35301,2006-12-31
,,35570,2006-12-31
,,35646,2006-12-31
,,35842,2006-12-31
,,35936,2006-12-31
,,36054,2006-12-31
,,36344,2006-12-31
,,36456,2006-12-31
,,36858,2006-12-31
,,36933,2006-12-31
,,37051,2006-12-31
,,37341,2006-12-31
,,37350,2006-12-31
,,37378,2006-12-31
,,37435,2006-12-31
,,37640,2006-12-31
,,37659,2006-12-31
,,37743,2006-12-31
,,37949,2006-12-31
,,38526,2006-12-31
,,38535,2006-12-31
,,38740,2006-12-31
,,39327,2006-12-31
,,39420,2006-12-31
,,39475,2006-12-31
,,39756,2006-12-31
,,39934,2006-12-31
,,40033,2006-12-31
,,40305,2006-12-31
,,40350,2006-12-31
,,40707,2006-12-31
,,40855,2006-12-31
,,41245,2006-12-31
,,41553,2006-12-31
,,41629,2006-12-31
,,41647,2006-12-31
,,41759,2006-12-31
,,41825,2006-12-31
,,41937,2006-12-31
,,41955,2006-12-31
,,42037,2006-12-31
,,42055,2006-12-31
,,42354,2006-12-31
,,42420,2006-12-31
,,42448,2006-12-31
,,42457,2006-12-31
,,43052,2006-12-31
,,43155,2006-12-31
620391,1053502,43173,2006-12-31
,,43324,2006-12-31
,,43351,2006-12-31
,,43454,2006-12-31
,,43511,2006-12-31
,,43641,2006-12-31
,,43744,2006-12-31
,,43856,2006-12-31
,,43959,2006-12-31
,,44040,2006-12-31
,,44134,2006-12-31
,,44433,2006-12-31
,,44451,2006-12-31
,,44602,2006-12-31
,,44741,2006-12-31
,,44750,2006-12-31
,,44929,2006-12-31
,,45038,2006-12-31
,,45047,2006-12-31
,,45056,2006-12-31
,,45430,2006-12-31
,,45458,2006-12-31
,,45551,2006-12-31
,,45560,2006-12-31
,,45627,2006-12-31
,,45775,2006-12-31
,,46053,2006-12-31
,,46941,2006-12-31
,,47153,2006-12-31
,,47247,2006-12-31
,,47256,2006-12-31
,,47452,2006-12-31
,,47500,2006-12-31
,,48057,2006-12-31
,,48150,2006-12-31
,,48374,2006-12-31
,,48440,2006-12-31
,,48552,2006-12-31
,,48730,2006-12-31
,,49054,2006-12-31
,,49148,2006-12-31
,,49241,2006-12-31
,,49344,2006-12-31
,,49643,2006-12-31
,,49652,2006-12-31
,,49821,2006-12-31
,,49858,2006-12-31
,,49951,2006-12-31
,,50144,2006-12-31
,,50461,2006-12-31
,,50546,2006-12-31
,,50854,2006-12-31
,,50957,2006-12-31
,,51253,2006-12-31
,,51356,2006-12-31
,,51459,2006-12-31
,,51730,2006-12-31
,,51842,2006-12-31
,,52410,2006-12-31
,,52456,2006-12-31
,,52719,2006-12-31
,,52951,2006-12-31
,,53015,2006-12-31
,,53033,2006-12-31
,,53051,2006-12-31
,,53239,2006-12-31
,,53453,2006-12-31
,,53752,2006-12-31
,,54049,2006-12-31
,,54058,2006-12-31
,,54357,2006-12-31
,,54375,2006-12-31
,,54441,2006-12-31
,,54656,2006-12-31
,,55176,2006-12-31
,,55251,2006-12-31
,,55336,2006-12-31
,,55635,2006-12-31
,,55653,2006-12-31
,,56230,2006-12-31
,,56258,2006-12-31
,,56351,2006-12-31
,,56427,2006-12-31
,,56548,2006-12-31
,,56557,2006-12-31
,,56717,2006-12-31
,,56726,2006-12-31
,,57040,2006-12-31
,,57228,2006-12-31
,,57255,2006-12-31
,,57451,2006-12-31
,,57572,2006-12-31
,,57956,2006-12-31
,,58074,2006-12-31
,,58207,2006-12-31
,,58225,2006-12-31
,,58243,2006-12-31
,,58355,2006-12-31
,,58551,2006-12-31
,,58636,2006-12-31
,,58757,2006-12-31
,,58971,2006-12-31
,,59259,2006-12-31
,,59316,2006-12-31
,,59352,2006-12-31
,,59679,2006-12-31
,,59754,2006-12-31
,,60143,2006-12-31
,,60219,2006-12-31
,,60330,2006-12-31
,,60433,2006-12-31
,,60545,2006-12-31
,,60554,2006-12-31
,,60648,2006-12-31
,,61122,2006-12-31
,,61355,2006-12-31
,,61476,2006-12-31
,,61533,2006-12-31
,,61757,2006-12-31
,,61832,2006-12-31
,,61953,2006-12-31
,,62044,2006-12-31
,,62101,2006-12-31
,,62147,2006-12-31
,,63050,2006-12-31
,,63069,2006-12-31
,,63078,2006-12-31
,,63201,2006-12-31
,,63359,2006-12-31
,,63573,2006-12-31
,,63733,2006-12-31
,,63742,2006-12-31
,,63751,2006-12-31
,,64150,2006-12-31
,,64543,2006-12-31
,,64552,2006-12-31
0,575,64619,2006-12-31
,,64730,2006-12-31
,,65205,2006-12-31
,,65241,2006-12-31
,,65513,2006-12-31
,,65559,2006-12-31
,,65746,2006-12-31
,,65858,2006-12-31
73177,60931,66015,2006-12-31
,,66154,2006-12-31
,,66172,2006-12-31
,,66275,2006-12-31
,,66837,2006-12-31
,,66846,2006-12-31
,,67142,2006-12-31
,,67151,2006-12-31
,,67209,2006-12-31
,,67254,2006-12-31
,,67311,2006-12-31
,,68345,2006-12-31
,,68448,2006-12-31
,,68756,2006-12-31
,,68831,2006-12-31
,,68840,2006-12-31
,,68859,2006-12-31
,,68943,2006-12-31
,,69333,2006-12-31
,,69351,2006-12-31
,,69678,2006-12-31
,,69847,2006-12-31
,,70049,2006-12-31
,,70058,2006-12-31
,,70076,2006-12-31
,,70151,2006-12-31
,,70218,2006-12-31
,,70254,2006-12-31
,,70414,2006-12-31
,,70638,2006-12-31
,,70955,2006-12-31
,,71318,2006-12-31
,,71457,2006-12-31
,,71859,2006-12-31
,,72258,2006-12-31
,,72351,2006-12-31
,,72454,2006-12-31
,,72614,2006-12-31
,,72678,2006-12-31
,,73031,2006-12-31
,,73116,2006-12-31
,,73152,2006-12-31
,,73554,2006-12-31
,,73956,2006-12-31
,,74056,2006-12-31
,,74140,2006-12-31
,,74159,2006-12-31
,,74337,2006-12-31
,,74403,2006-12-31
,,74449,2006-12-31
,,74458,2006-12-31
,,75053,2006-12-31
,,75259,2006-12-31
,,75446,2006-12-31
,,75455,2006-12-31
,,75558,2006-12-31
,,75633,2006-12-31
,,75651,2006-12-31
,,76050,2006-12-31
,,76135,2006-12-31
,,76153,2006-12-31
,,76443,2006-12-31
,,76854,2006-12-31
,,77150,2006-12-31
,,77253,2006-12-31
,,77347,2006-12-31
,,77422,2006-12-31
,,77758,2006-12-31
,,77851,2006-12-31
,,78036,2006-12-31
,,78054,2006-12-31
,,78157,2006-12-31
,,78241,2006-12-31
,,78559,2006-12-31
,,78643,2006-12-31
,,78858,2006-12-31
,,79042,2006-12-31
,,79127,2006-12-31
,,79145,2006-12-31
,,79257,2006-12-31
,,79855,2006-12-31
,,80020,2006-12-31
,,80150,2006-12-31
,,80431,2006-12-31
,,80552,2006-12-31
,,80936,2006-12-31
,,81054,2006-12-31
,,81429,2006-12-31
,,82033,2006-12-31
,,82257,2006-12-31
,,82350,2006-12-31
,,82659,2006-12-31
,,83151,2006-12-31
,,83236,2006-12-31
,,83311,2006-12-31
,,83357,2006-12-31
,,83450,2006-12-31
0,1247,83638,2006-12-31
,,83834,2006-12-31
,,83852,2006-12-31
,,83955,2006-12-31
,,84046,2006-12-31
,,84055,2006-12-31
,,84251,2006-12-31
,,84345,2006-12-31
,,84541,2006-12-31
