RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9463,1137,0,310,67440,67493,0,0,14788,1200,82281,0,0,10102,0,0,3500,0,14419,53021,,0,24503,23483,-14,0,0,0,0,14788,,,37,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441,1248,0,269,31687,36358,0,0,5496,120,41854,0,0,5266,0,0,120,0,8175,23512,,0,26725,26541,-10,0,0,150,0,5496,,,242,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2987,2696,0,5101,169263,190952,0,0,28994,1,219946,0,0,29081,0,0,0,0,13901,155362,,0,138730,137759,-88,1797,0,0,0,28994,,,279,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,301,0,34,6106,6120,0,0,836,25,6956,0,0,315,0,0,500,0,2075,4031,,0,3579,3455,-4,2735,0,0,0,836,,,354,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3007,993,0,290,38269,44335,0,0,4925,60,49260,0,0,925,0,0,3940,0,6467,31802,,0,43491,42975,0,40,0,0,0,4925,,,457,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,5269,0,10589,406099,461130,58,0,37901,6480,499089,0,0,23524,0,0,10653,0,72738,333361,,0,396455,391616,-2756,0,0,0,0,37959,,,505,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8805,10180,0,4311,207230,210864,0,0,20917,1600,231781,0,0,14520,0,0,4900,301,24842,182388,,0,176030,172877,-103,0,0,0,1594,20917,,,1155,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4042,0,4795,127776,128092,0,0,24783,240,152875,0,0,24112,0,0,530,0,19642,108134,,0,89477,88277,-99,0,0,0,0,24783,,,1351,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47578,13158,0,3750,653301,655915,0,0,79379,1000,735294,0,0,82793,0,0,1214,1061,184993,468308,,0,250843,247479,-5628,0,0,0,0,79379,,,1454,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837,1562,0,504,52390,54218,0,0,10017,200,64235,0,0,334,0,0,9624,0,17557,34833,,0,45335,44405,-141,2638,0,0,0,10017,,,1557,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16752,6769,0,1936,240479,240683,0,0,45050,800,285733,0,0,43919,0,0,800,0,57019,183460,,0,129865,126965,-469,0,0,0,0,45050,,,1669,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45819,495,0,341,65159,105333,0,0,13676,500,119009,0,0,-600,0,0,14282,0,2681,62478,,0,36081,35501,-506,691,0,0,0,13676,,,1856,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2591,3564,0,2184,153387,178358,0,0,22371,480,200729,0,0,17550,0,0,4270,0,26716,126671,,0,139126,136364,71,2156,0,0,1090,22371,,,2040,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18895,7677,0,2399,135291,136672,0,0,16420,1000,153092,0,0,13913,0,0,1356,0,31328,103963,,0,99512,98563,151,4820,0,0,0,16420,,,2161,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,38256,0,13621,2974183,3630238,59,0,491430,500,4121727,0,0,442114,0,0,60615,0,163460,2810723,,-17331,3616644,3586242,5532,0,0,35270,0,491489,,,2376,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,343,0,141,12472,12489,0,0,1628,50,14117,0,0,337,0,0,1250,0,3302,9170,,0,8707,8552,-9,0,0,0,0,1628,,,2554,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46331,14985,0,3502,510908,512100,0,0,89962,0,602062,0,0,84523,0,0,5789,0,138224,372684,,0,450211,445672,-350,0,0,0,0,89962,,,2732,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753,824,0,238,44116,51580,0,0,7155,117,58735,0,0,924,0,0,6300,0,5500,38616,,0,45879,45018,-186,0,0,987,0,7155,,,2750,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5323,0,605,163643,169333,0,0,24754,200,194087,0,0,24614,0,0,300,0,27187,136456,,0,98018,94327,-360,7000,0,0,0,24754,,,3252,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017,2482,0,338,41619,42689,0,0,4555,100,47244,0,0,3355,0,0,1101,0,7055,34564,,0,33406,32963,-1,485,0,0,300,4555,,,3458,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33909,6778,0,3692,226271,233811,0,0,35445,2400,269256,0,0,15211,0,0,18600,0,44394,181877,,0,143431,141791,-766,0,0,0,4905,35445,,,3720,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54112,6604,948,6741,611690,705041,0,0,114847,2,819888,0,0,-56281,0,0,171276,9118,109679,502011,,0,646999,636637,-150,1988,0,0,0,114847,,,3971,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1835,5575,0,6585,191612,193698,0,0,22462,1200,216160,0,0,15164,0,0,6657,0,43329,148283,,0,146829,144821,-559,8040,0,0,94,22462,,,4156,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29304,1392,0,801,103513,103715,0,0,16011,500,119726,0,0,4017,0,0,12100,0,24446,79067,,0,43471,42857,-606,0,0,0,0,16011,,,4231,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15723,4571,292,7000,267818,302402,0,0,40703,1875,343105,0,0,25170,0,0,14840,0,62139,205679,,0,239260,234835,-1182,0,0,0,6546,40703,,,4839,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90800,1692,0,26151,272814,279345,0,0,181007,4500,460352,0,0,169077,0,0,4128,0,30120,242694,,0,318068,305403,3302,0,0,0,0,181007,,,5069,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62978,6579,0,5779,361406,401644,0,0,65433,651,467077,0,0,40889,0,0,24391,0,69515,291891,,0,334186,329776,-498,0,0,0,0,65433,,,5135,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15137,19304,1757,25753,1308652,1440539,0,0,143288,4798,1583827,0,0,102310,0,0,43353,1736,63578,1245074,,0,1244170,1230194,-7173,0,0,0,36908,143288,,,5210,2017-12-31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8328,17458,0,12176,561748,566496,0,0,57185,2059,623681,0,0,51359,0,0,4241,0,211764,349984,,0,401566,395433,-474,0,0,0,0,57185,,,5461,2017-12-31,
