RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1465,0,593,65540,65831,0,0,16552,1200,82383,0,0,11456,,0,3500,0,6076,59464,,,0,44558,43432,396,7876,0,0,0,,,,37,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,1167,0,248,24791,28549,0,0,4011,120,32560,0,0,3712,,0,120,0,3922,20869,,,0,21056,20892,59,881,0,0,0,,,,242,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,2478,260,6297,92579,125493,0,0,21840,1,147333,0,0,21585,,0,0,0,5713,86866,,,0,66467,66023,254,2195,0,0,0,,,,279,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,215,0,65,7312,7358,0,0,1006,25,8364,0,0,428,,0,500,0,2132,5180,,,0,4386,4193,53,452,0,0,0,,,,354,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1660,0,167,24655,29177,0,0,3141,60,32318,0,0,621,,0,2440,0,3014,21641,,,0,27348,27131,20,0,0,2346,0,,,,457,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,3556,0,4141,260677,331723,60,0,24540,6480,356323,0,0,10165,,0,10653,0,41339,219338,,,0,268565,264799,-2758,0,0,0,0,,,,505,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4993,0,4776,149106,178167,0,0,16150,1600,194317,0,0,9309,,0,4400,688,24057,125049,,,0,142978,141140,841,0,0,0,9956,,,,1155,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3332,0,1012,112815,113455,0,0,18067,240,131522,0,0,17230,,0,530,0,10644,102171,,,0,67452,66332,67,3016,0,0,0,,,,1351,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21523,16467,0,4803,417083,418118,0,0,39228,1000,457346,0,0,37439,,0,1214,695,117901,299182,,,0,214929,212806,-425,35000,0,0,0,,,,1454,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,966,0,199,34616,36919,0,0,5008,200,41927,0,0,3828,,0,800,0,6654,27962,,,0,23862,23482,180,2983,0,0,0,,,,1557,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,10457,0,14477,649739,714339,0,0,67285,1900,781624,0,0,26814,,0,37172,0,66053,583686,,,0,668719,658300,1399,25868,0,0,0,,,,1632,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7515,4810,0,1577,195586,197155,0,0,41340,800,238495,0,0,38646,,0,800,0,27040,168546,,,0,78360,76409,1094,14306,0,0,0,,,,1669,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343,5890,0,3031,294752,335686,0,0,39119,390,374805,0,0,34764,,0,3100,0,55151,239601,,,0,264193,260256,865,0,0,0,3133,,,,1829,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1380,0,431,146724,222547,0,0,18928,500,241475,0,0,1531,,0,17782,0,2373,144351,,,0,10950,10817,-885,11000,0,6475,0,,,,1856,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3306,0,3848,154898,187045,0,0,18074,480,205119,0,0,13680,,0,4270,376,11601,143297,,,0,152754,150229,-356,888,0,332,2081,,,,2040,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,4078,0,1695,97033,98320,0,0,11715,1000,110035,0,0,9021,,0,1253,0,18957,78076,1,,0,58445,57887,441,3780,0,0,0,,,,2161,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4640,17115,3510,13547,895209,1432990,66,0,199370,500,1632426,0,0,208792,,0,3169,0,47931,847278,,,-14307,1203790,1184883,1216,0,0,10720,0,,,,2376,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5138,909,0,385,34499,37867,0,0,3296,50,41163,0,0,-443,,0,3689,102,2582,31917,,,0,31028,30530,0,1262,0,0,0,,,,2451,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187,503,0,118,9036,9099,0,0,1103,50,10202,0,0,62,,0,975,0,1986,7051,,,0,4375,4341,16,712,0,0,0,,,,2554,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9670,11352,0,5836,432824,441235,0,0,71631,0,512866,0,0,64898,,0,5789,0,67928,364896,,,0,425226,421162,944,0,0,0,0,,,,2732,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,1255,0,533,40733,49648,0,0,5145,86,54793,0,0,5057,,0,93,0,2963,37770,,,0,39111,38686,-91,0,0,1144,0,,,,2750,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,7663,0,9637,360786,397850,0,0,32005,1250,429855,0,0,13365,,0,15952,0,50373,310413,,,0,350639,342029,1438,0,0,1635,3266,,,,2938,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2523,5670,0,553,119659,126782,0,0,15928,200,142710,0,0,15027,,0,300,0,11135,108524,,,0,65566,64560,401,0,0,3100,0,,,,3252,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3488,1988,0,389,22734,27500,0,0,3098,100,30598,0,0,2375,,0,450,0,2703,20031,,,0,12366,12048,173,1056,0,0,4560,,,,3458,2008-12-31
