RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,3872,0,7315,157110,173376,0,0,20490,1200,193866,0,0,11691,0,0,6657,267,24710,132400,,0,119054,117036,942,15375,0,0,547,20490,,,4156,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8527,0,947,107509,108339,0,0,14902,500,123241,0,0,2067,0,0,12100,0,16314,91195,,0,76630,75730,235,0,0,0,0,14902,,,4231,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12017,4505,0,5464,226663,234016,0,0,27440,963,261456,0,0,21092,0,0,3750,0,22429,204234,,0,146864,143710,1635,0,0,0,2783,27440,,,4437,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,5452,102,6005,266508,292337,0,0,31972,1875,324309,0,0,16553,0,0,12929,0,39660,226848,,0,245795,240919,615,5300,0,0,5790,31972,,,4839,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14629,3652,0,6733,257745,316642,0,0,19952,0,336594,0,0,-1481,0,0,19922,0,30855,226890,,0,214758,212305,1511,4117,0,0,0,19952,,,5005,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68800,2227,0,17835,319335,327204,0,0,132656,4500,459860,0,0,123216,0,0,4128,0,13540,305795,,0,343389,322921,812,0,0,0,0,132656,,,5069,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35261,2910,0,4965,286132,311166,0,0,39132,651,350298,0,0,18988,0,0,19349,0,32985,253147,,0,272562,268845,144,0,0,0,0,39132,,,5135,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41725,13270,0,14544,803609,923285,0,0,85540,4798,1008825,0,0,71956,0,0,5455,80,64422,739187,,0,682009,666597,3331,0,0,0,42961,85540,,,5210,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5566,11825,0,12558,234101,360721,0,0,34111,2580,394832,0,0,17619,0,0,16610,0,48133,185968,,0,141772,139874,-2698,0,0,0,74500,34111,,,5331,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9086,17280,659,11617,397975,416703,0,0,46725,2059,463428,0,0,38058,0,0,4241,0,128845,269130,,0,341429,337611,2367,0,0,0,0,46725,,,5461,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1222,0,219,83573,84323,0,0,26642,600,110965,0,0,23032,0,0,700,0,6973,76600,,0,54377,53333,2310,1407,0,0,0,26642,,,5751,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17396,3712,0,1409,76001,76251,0,0,8935,469,85186,0,0,2838,0,0,5600,0,17834,58167,,0,53835,52791,28,600,0,0,0,8935,,,6039,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5743,0,166,53827,53949,0,0,4992,400,58941,0,0,692,0,0,3900,0,19685,34142,,0,23627,23233,0,12550,0,0,0,4992,,,6141,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27884,20207,0,15613,414743,417179,0,0,32724,2600,449903,0,0,9583,0,0,20000,0,112847,301896,,0,332556,324863,541,4242,0,0,0,32724,,,6329,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42514,9190,0,32160,690910,700364,0,0,91581,2600,791945,0,0,7978,0,0,85600,0,179935,510975,,0,473809,459309,-4597,0,0,0,0,91581,,,6972,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7525,329,0,732,693516,699876,0,0,51420,500,751296,4,0,48573,0,0,552,0,37023,656493,,0,288098,288098,1795,0,0,0,0,51420,,,7009,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20228,1986,0,1556,130432,131386,0,0,16094,100,147480,0,0,12825,0,0,2325,0,19404,111028,,0,70466,69568,844,0,0,0,0,16094,,,7045,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,0,181,43324,43809,0,0,4347,200,48156,0,0,3819,0,0,200,0,5700,37624,,0,24909,24557,128,2971,0,0,0,4347,,,7157,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3706,1648,0,572,54316,54446,0,0,5235,400,59681,0,0,1028,0,0,3300,0,12101,42215,,0,33567,33184,507,0,0,0,0,5235,,,7456,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7913,1541,0,613,55437,57551,0,0,5507,200,63058,0,0,-2831,0,0,8060,0,6070,49367,,0,45517,44120,78,0,0,0,0,5507,,,7634,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11130,2585,0,2851,132115,147395,0,0,15746,774,163141,0,0,10390,0,0,4476,0,26686,105429,,0,131754,130526,106,1600,0,0,0,15746,,,8033,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3138,13807,0,420,120902,121114,0,0,16841,350,137955,0,0,14042,0,0,350,277,35161,85741,,0,36873,36369,2099,5550,0,0,0,16841,,,8462,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,4004,0,1473,50713,51083,0,0,6702,500,57785,0,0,5333,0,0,800,0,15878,34835,,0,35315,34855,69,703,0,0,0,6702,,,8631,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,10148,0,783,266647,319950,0,0,69645,500,389595,0,0,14151,0,0,54660,108313,85736,180911,,0,178829,173204,334,150,0,0,6248,69645,,,9357,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003,2047,0,1460,73873,108939,0,0,9277,400,118216,0,0,7547,0,0,1200,0,11775,62098,,0,82293,81502,130,0,0,13050,0,9277,,,9553,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121060,18124,17,8391,1744875,2089356,0,0,221723,20000,2311079,0,0,151598,5259,0,112272,0,39401,1705474,,0,1490779,1432144,-62147,0,0,0,45333,221723,,,9807,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14996,1933,0,1547,91336,93551,0,0,12919,110,106470,0,0,9324,0,0,3023,0,17355,73981,,0,57775,56509,462,0,0,0,0,12919,,,9955,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27407,12812,0,11313,361465,362052,0,0,27201,1500,389253,0,0,-3150,0,0,28200,0,57277,304188,,0,283771,271059,651,0,0,0,0,27201,,,10250,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16041,5728,0,3630,223452,233032,0,0,23167,16,256199,0,0,10693,0,0,12375,0,39627,183826,,0,186895,183934,83,6000,0,0,0,23167,,,10849,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9473,16836,0,6028,304525,358346,0,0,33976,2500,392322,0,0,15042,0,0,14755,476,55724,248801,,0,270709,268010,1679,0,0,0,44454,33976,,,10858,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5823,3884,110,5614,145448,154038,0,0,17564,1000,171602,0,0,11075,0,0,5000,70,20566,124882,,0,128446,126732,489,1900,0,0,0,17564,,,11145,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,20427,0,5452,269601,312829,0,0,34093,650,346922,0,0,7824,0,0,23270,0,64761,204840,,0,198799,195774,2349,12500,0,0,0,34093,,,11640,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,1087,0,750,75112,83221,0,0,11741,314,94962,0,0,155,0,0,10686,0,5469,69643,,0,30890,29809,586,0,0,500,0,11741,,,11837,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13456,5154,0,2932,267321,269727,0,0,37065,300,306792,0,0,36448,0,0,300,0,46006,221315,,0,270418,260439,17,5734,0,0,0,37065,,,12030,2011-09-30,
