RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1443,0,537,53502,53884,0,0,11543,1200,65427,0,0,7843,,0,2500,0,6296,47206,,,0,42153,41104,0,,,,,,,,37,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,928,0,301,19388,20744,0,0,3583,120,24327,0,0,3244,,0,120,0,2712,16676,,,0,14866,14736,99,,,,,,,,242,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,1375,223,515,73096,79311,0,0,15508,0,94819,0,0,15391,,0,0,0,1655,71441,,,0,23785,23506,117,,,,,,,,279,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,372,0,39,6971,7312,0,0,1095,25,8407,0,0,544,,0,500,0,1067,5904,,,0,3696,3575,26,,,,,,,,354,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6933,0,2521,134271,135905,0,0,15540,596,151445,0,0,8311,,0,6504,0,28054,106217,,,0,106487,105372,129,,,,,,,,439,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,705,0,92,16702,17013,0,0,1762,60,18775,0,0,762,,0,940,0,1741,14961,,,0,12717,12553,0,,,,,,,,457,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,6802,20,5423,215846,221616,54,0,19188,5400,240858,0,0,7639,,0,5400,0,40730,175116,,,0,159042,156968,749,,,,,,,,505,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9349,13061,0,9459,271630,284139,0,6000,21887,18,306026,0,0,12994,,0,8629,0,56547,215083,,,0,234880,232391,246,,,,,,,,1146,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,9252,0,3961,105333,119322,0,0,9217,1600,128539,0,0,4051,,0,3400,0,11601,93732,,,0,85236,84075,166,,,,,,,,1155,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1810,0,1236,67385,68886,0,0,11574,240,80460,0,0,10762,,0,530,0,7879,59506,,,0,45663,45317,42,,,,,,,,1351,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084,16309,0,1937,239932,240756,0,0,27037,1000,267793,0,0,23183,,0,1214,1138,58095,181837,,,0,133731,132883,1640,,,,,,,,1454,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,738,0,152,27790,28330,0,0,5784,200,34114,0,0,4677,,0,800,0,2946,24844,,,0,17508,17157,107,,,,,,,,1557,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7410,0,2903,160851,182806,0,0,15445,1900,198251,0,0,5962,,0,7135,0,29034,131817,,,0,144607,142595,448,,,,,,,,1632,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563,7148,0,973,204776,206868,0,0,37690,800,244558,0,0,35505,,0,800,0,26559,178217,,,0,64880,64166,585,,,,,,,,1669,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6973,6185,0,4193,213163,215647,0,0,32960,390,248607,0,0,27452,,0,3100,0,52260,160903,,,0,115636,113923,2018,,,,,,,,1829,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943,647,0,173,8446,8476,0,0,700,100,9176,0,0,441,,0,150,0,1046,7400,,,0,3711,3590,9,,,,,,,,1856,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,585,0,5,13257,13475,0,0,3537,75,17012,0,0,3020,,0,400,0,3170,10087,,,0,5902,5577,42,,,,,,,,1959,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,2620,0,1905,94415,110852,0,0,11843,480,122695,0,0,6840,,0,4270,160,8091,86324,,,0,96944,95764,253,,,,,,,,2040,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6697,3262,0,1781,83717,84106,0,0,8293,1000,92399,0,0,6125,,0,1000,0,13620,70097,,,0,51363,50854,168,,,,,,,,2161,2001-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1863,2204,4188,561065,579987,67,0,86345,500,666399,0,0,85763,,0,0,0,17589,543476,,,0,358316,353340,82,,,,,,,,2376,2001-06-30
