RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3289,1099,0,315,65556,65817,0,0,15067,1200,80884,0,0,10039,0,0,3500,0,14469,51086,,0,29109,28091,328,0,0,0,0,15067,,,37,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2091,824,0,283,31340,36057,0,0,5463,120,41520,0,0,5115,0,0,120,0,7053,24287,,0,26073,25889,108,861,0,0,0,5463,,,242,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6485,3469,0,5162,168230,183842,0,0,28974,1,212816,0,0,28938,0,0,0,0,15657,152573,,0,137575,136606,35,929,0,0,0,28974,,,279,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,351,0,30,6489,6888,0,0,918,25,7806,0,0,411,0,0,500,0,2139,4350,,0,3698,3550,-18,0,0,398,0,918,,,354,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486,571,0,262,36537,44588,0,0,4796,60,49384,0,0,796,0,0,3940,0,5803,30734,,0,44618,44102,0,139,0,1920,0,4796,,,457,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,11164,0,10610,430812,446559,54,0,37256,6480,483869,0,0,22477,0,0,10653,871,103500,327312,,0,387395,382890,-2354,0,0,0,0,37310,,,505,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15975,4539,0,4375,203430,207592,0,0,20639,1600,228231,0,0,14023,0,0,4900,913,19980,183450,,0,169805,166801,116,0,0,0,1960,20639,,,1155,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4783,0,4658,127922,128473,0,0,24644,240,153117,0,0,23915,0,0,530,0,19933,107989,,0,87140,86037,-41,2065,0,0,0,24644,,,1351,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101377,13737,0,3558,707128,709499,0,0,82684,1000,792183,0,0,82680,0,0,1214,490,185067,522061,,0,254950,251566,-2210,0,0,0,0,82684,,,1454,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,2101,0,518,53616,55509,0,0,10430,200,65939,0,0,641,0,0,9624,0,17672,35944,,0,45773,44824,-35,2323,0,0,0,10430,,,1557,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16702,7580,0,1969,238080,238494,0,0,47034,800,285528,0,0,45565,0,0,800,0,57478,180602,,0,127470,124572,-131,0,0,0,0,47034,,,1669,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50010,397,0,339,63198,103420,0,0,15724,500,119144,0,0,1042,0,0,14282,0,2686,60512,,0,36110,35067,-100,1800,0,0,0,15724,,,1856,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2504,2955,0,2113,151721,181313,0,0,22867,480,204180,0,0,17806,0,0,4270,0,22277,129444,,0,142199,139143,311,0,0,2665,3089,22867,,,2040,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884,7524,0,2409,133867,136228,0,0,16625,1000,152853,0,0,13975,0,0,1356,0,30568,103299,,0,100143,98654,294,14291,0,0,0,16625,,,2161,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,30553,0,13713,2947334,3581667,59,0,537202,500,4118928,0,0,492093,0,0,59814,0,158910,2788424,,-18061,3592304,3561902,2856,0,0,6096,0,537261,,,2376,2017-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2953,416,0,149,13714,13735,0,0,1598,50,15333,0,0,322,0,0,1230,0,4456,9258,,0,7894,7746,-4,0,0,0,0,1598,,,2554,2017-09-30,
