RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3390,2308,0,380,22921,27708,0,0,3249,100,30957,0,0,1932,,0,1101,0,2456,20465,5,1231,0,11407,10916,116,2229,0,0,4610,3249,,,3458,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11485,4383,0,3633,146873,157780,0,0,24939,2400,182719,0,0,11344,,0,10800,1235,14730,132143,1,1231,0,106359,104774,395,0,0,0,4009,24939,,,3720,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2508,0,3810,104723,112881,0,0,9672,500,122553,0,0,5492,,0,3680,9856,22784,81939,4,1231,0,103588,101838,0,0,0,1450,0,9672,,,3953,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7466,4576,23,7483,181363,183787,0,0,15225,300,199012,0,0,14196,,0,300,0,22887,158476,1,1231,0,140824,136985,429,0,0,0,461,15225,,,4138,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,2094,0,7848,151351,183343,0,0,18840,1200,202183,0,0,10157,,0,5981,2065,20292,131059,4,1231,0,130594,128863,1502,870,0,0,0,18840,,,4156,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,7680,0,1061,106306,107139,0,0,14614,500,121753,0,0,2226,,0,12100,0,13737,92569,1,1231,0,81370,80434,-212,500,0,0,0,14614,,,4231,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,4666,0,4541,199067,216156,0,0,23883,963,240039,0,0,18697,,0,3750,0,17292,181775,2,1231,0,177788,175567,473,0,0,0,4611,23883,,,4437,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,3904,79,6220,244160,292084,0,0,24852,1875,316936,0,0,13181,,0,8429,0,33800,210360,2,1231,0,230802,227395,1367,2400,0,0,7856,24852,,,4839,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,18005,0,7963,348325,422214,0,0,33344,0,455558,0,0,-385,,0,37351,0,27716,320609,1,0331,0,346274,342281,-3622,675,0,0,0,33344,,,5005,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31956,4557,0,18474,384609,390145,0,0,96004,4500,486149,0,0,94034,,0,4129,0,13146,371463,1,1231,0,420570,408366,-6659,0,0,0,0,96004,,,5069,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30484,29224,0,4072,254254,279143,0,0,34352,651,313495,0,0,14297,,0,19349,0,38000,216254,1,1231,0,227777,224209,55,0,0,0,0,34352,,,5135,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14868,12890,0,14832,711874,873117,0,0,73936,4798,947053,0,0,64706,,0,5455,4861,51730,660144,2,1231,0,643755,635120,-1023,0,0,0,39014,73936,,,5210,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,4915,0,12909,221738,349841,0,0,22231,2580,372072,0,0,16161,,0,11360,0,36245,185493,2,1231,0,157586,155922,-7870,0,10000,2000,93500,22231,,,5331,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,13549,736,12068,348782,389525,0,0,42874,2059,432399,0,0,35652,,0,4241,0,111675,237107,2,1231,0,348436,344778,922,0,0,0,0,42874,,,5461,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,948,0,252,92988,93537,0,0,24201,600,117738,0,0,22005,,0,700,0,6950,86038,9,1231,0,52327,51377,896,2103,0,0,0,24201,,,5751,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102,5636,0,1817,74148,74662,0,0,9507,469,84169,0,0,3430,,0,5600,0,10184,63964,1,1231,0,64174,63153,8,2100,0,0,0,9507,,,6039,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3501,0,213,42328,42456,0,0,4422,400,46878,0,0,322,,0,3700,0,13037,29291,1,1231,0,19840,19422,0,10100,0,0,0,4422,,,6141,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18279,0,17152,413300,416641,0,0,36445,2600,453086,0,0,18175,,0,15400,0,97690,315610,2,1231,0,360901,357079,270,11000,0,0,0,36445,,,6329,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,13532,0,9801,766435,889930,0,0,78549,2600,968479,0,0,48983,,0,29191,0,151123,615312,2,1231,0,841777,819877,-2225,6135,0,0,7217,78549,,,6972,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,13161,0,645,600277,606252,0,0,45645,500,651897,0,0,42375,,0,552,0,51955,548322,2,1231,0,164410,164410,2218,0,0,0,0,45645,,,7009,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,15500,0,1803,110808,111336,0,0,13718,100,125054,0,0,11016,,0,2325,0,14132,96676,1,1231,0,65241,64496,277,1556,0,0,0,13718,,,7045,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,611,0,124,36651,37071,0,0,4177,200,41248,0,0,3612,,0,200,0,5742,30909,4,1231,0,23437,23244,165,3272,0,0,0,4177,,,7157,2009-03-31
