RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1729,0,554,53715,54062,0,0,11424,1200,65486,0,0,7724,,0,2500,0,7024,46691,1,,0,40507,39528,0,,,,,,,,37,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,618,0,299,18853,20034,0,0,3503,120,23537,0,0,3170,,0,120,0,2396,16457,4,,0,12897,12770,93,,,,,,,,242,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,1255,223,525,71424,77714,0,0,15481,0,93195,0,0,15235,,0,0,0,1507,69917,1,,0,22249,21971,246,,,,,,,,279,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,224,0,44,6912,6987,0,0,1091,25,8078,0,0,547,,0,500,0,1148,5764,4,,0,3424,3294,19,,,,,,,,354,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8430,0,2968,140569,142140,0,0,15717,596,157857,0,0,8492,,0,6504,0,26944,113625,1,,0,105484,104296,125,,,,,,,,439,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,576,0,92,17026,17354,0,0,1682,60,19036,0,0,682,,0,940,0,1859,15167,4,,0,11497,11333,0,,,,,,,,457,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,6214,21,5436,214938,220729,57,0,19053,5400,239839,0,0,7453,,0,5400,0,38318,176620,1,,0,157026,154911,800,,,,,,,,505,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151,10402,0,9598,258789,271658,0,6000,20743,19,292401,0,0,11896,,0,8629,0,52087,206702,2,,0,225725,223353,199,,,,,,,,1146,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4347,0,3005,105182,116173,0,0,9082,1600,125255,0,0,3908,,0,3400,0,11859,93323,5,,0,82802,81688,174,,,,,,,,1155,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1881,0,1268,66897,68429,0,0,11488,240,79917,0,0,10687,,0,530,0,8072,58825,5,,0,45016,44693,31,,,,,,,,1351,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12542,15435,0,1929,247802,248589,0,0,26369,1000,274958,0,0,22406,,0,1214,1677,58774,189028,2,,0,129595,128725,1749,,,,,,,,1454,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,880,0,157,27766,28301,0,0,5693,200,33994,0,0,4584,,0,800,0,3016,24750,4,,0,17970,17619,109,,,,,,,,1557,2001-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6559,0,2521,169494,181323,0,0,15363,1900,196686,0,0,5953,,0,7135,0,29230,140264,5,,0,140767,138812,375,,,,,,,,1632,2001-03-31
