RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1669,0,582,63839,64213,0,0,16055,1200,80268,0,0,11165,,0,3500,0,14004,49835,1,,0,45413,44259,190,8577,0,0,0,,,,37,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,960,0,253,26013,29698,0,0,4104,120,33802,0,0,3723,,0,120,0,5074,20939,4,,0,19920,19749,141,3617,0,0,110,,,,242,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,3217,257,4082,90472,120128,0,0,21258,1,141386,0,0,21073,,0,0,0,5978,84495,1,,0,58291,57947,184,675,0,0,0,,,,279,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,0,82,7205,7242,0,0,1003,25,8245,0,0,448,,0,500,0,1705,5500,4,,0,4311,4098,30,457,0,0,0,,,,354,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,996,0,79,25624,27136,0,0,3039,60,30175,0,0,536,,0,2440,0,3186,22438,4,,0,26644,26375,3,0,0,1289,0,,,,457,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,5150,0,4172,263420,316503,53,0,26779,6480,343335,0,0,9272,,0,10653,0,41396,222024,2,,0,259064,256057,374,1300,0,0,0,,,,505,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10119,4502,0,4892,138040,171424,0,0,16066,1600,187490,0,0,9225,,0,4400,46,14175,123865,5,,0,125119,123376,841,0,0,0,28616,,,,1155,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2033,0,1008,107258,108119,0,0,16801,240,124920,0,0,15942,,0,530,0,10297,96961,9,,0,62344,61214,89,7183,0,0,0,,,,1351,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,31255,0,4245,379690,380591,0,0,37686,1000,418277,0,0,34307,,0,1214,289,112934,266756,2,,0,207570,205486,1165,25300,0,0,0,,,,1454,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1294,0,163,31441,33984,0,0,4845,200,38829,0,0,3658,,0,800,0,6051,25390,4,,0,20510,20128,187,4447,0,0,0,,,,1557,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,13627,0,14521,541494,652403,0,0,62587,1900,714990,0,0,29528,,0,30066,0,21292,520202,2,,0,627269,619603,1093,0,0,44559,2915,,,,1632,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810,11128,0,1630,204302,206292,0,0,40565,800,246857,0,0,38547,,0,800,0,41958,162344,5,,0,74898,73152,418,21460,0,0,0,,,,1669,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,6290,0,3018,284643,329766,0,0,37196,390,366962,0,0,33002,,0,3100,0,52321,232322,1,,0,249442,245474,704,0,0,0,4296,,,,1829,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,493,0,477,114213,196891,0,0,17537,500,214428,0,0,718,,0,17782,0,2382,111831,4,,0,18441,18254,-1463,0,0,405,0,,,,1856,2008-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,2945,0,3041,157628,186335,0,0,17723,480,204058,0,0,12486,,0,4270,518,10790,146838,4,,0,149847,147821,487,5600,0,0,2125,,,,2040,2008-03-31
