RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,3475,0,1365,100305,101038,0,0,12653,100,113691,0,0,10509,,0,1650,0,7177,93128,,,0,68113,67263,394,,,,,,,,2956,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3753,0,721,74016,74912,0,0,9390,200,84302,0,0,8802,,0,300,0,11597,62419,,,0,55137,54238,88,,,,,,,,3252,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3341,125,0,103,15774,17013,0,0,2117,100,19130,0,0,1413,,0,450,0,2097,13677,,,0,8537,8200,154,,,,,,,,3458,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23148,0,9887,707239,744144,61,0,67395,2879,811600,0,0,40935,,0,21448,0,108504,598735,,,0,591849,585510,2133,,,,,,,,3506,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,5836,0,5486,148551,176663,0,0,19485,5000,196148,0,0,957,,0,14174,0,18228,130323,,,-689,148567,147075,43,,,,,,,,3579,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3389,0,1557,97120,110056,0,0,15225,1200,125281,0,0,6825,,0,6800,0,11349,85771,,,0,67736,66759,400,,,,,,,,3720,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2639,0,1549,51241,51765,0,0,5134,500,56899,0,0,2954,,0,1680,8878,11881,39360,,,0,37980,37285,0,,,,,,,,3953,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6288,24,5034,131567,139050,0,0,13889,300,152939,0,0,12826,,0,300,0,14033,117534,,,0,88287,87355,463,,,,,,,,4138,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,924,0,1629,77670,86697,0,0,11329,1950,98026,0,0,6991,,0,2230,0,10843,66827,,,0,55264,54768,158,,,,,,,,4147,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,2252,0,3347,47198,58799,0,0,8916,1200,67715,0,0,6304,,0,1200,0,5917,41281,,,0,52131,51498,212,,,,,,,,4156,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1434,0,952,68894,71338,0,0,10617,500,81955,0,0,4602,,0,5500,0,10253,58641,,,0,43435,42768,15,,,,,,,,4231,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,3368,0,1881,112987,118284,0,0,10684,963,128968,0,0,8674,,0,1000,0,13337,99650,,,0,98838,98090,47,,,,,,,,4437,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,519,0,36,8254,8304,0,0,1067,50,9371,0,0,177,,0,840,0,851,7403,,,0,5794,5740,0,,,,,,,,4745,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,4844,263,3763,156299,177648,0,0,15746,1875,193394,0,0,3990,,0,7929,0,35324,120975,,,0,128015,126495,1952,,,,,,,,4839,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,4817,0,7630,209140,237329,0,0,24421,0,261750,0,0,1013,,0,22578,0,20013,189127,,,0,169960,168259,830,,,,,,,,5005,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314,2542,0,1324,70400,70732,0,0,6862,400,77594,0,0,4643,,0,1400,0,10516,59884,,,0,46657,46093,419,,,,,,,,5050,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,1783,0,18704,203153,211013,0,0,44154,4500,255167,0,0,34873,,0,4129,0,9323,193830,,,0,192951,187902,652,,,,,,,,5069,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3068,0,649,72149,72587,0,0,12494,300,85081,0,0,2526,,0,9300,0,9777,62372,,,0,51248,50179,368,,,,,,,,5135,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26156,22339,0,5133,477292,518305,0,0,62272,4798,580577,0,0,49844,,0,5455,0,67058,410234,,,0,359659,355881,2175,,,,,,,,5210,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,31592,0,16880,760054,790053,0,0,59808,700,849861,0,0,32801,,0,19300,59,138466,621588,,,0,447201,445002,7007,,,,,,,,5247,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,1480,0,2639,78723,80887,0,0,6381,0,87268,0,0,6135,,0,0,0,5913,72810,,,0,61907,61305,246,,,,,,,,5274,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4806,0,6313,186909,189466,0,0,17715,2580,207181,0,0,5709,,0,8360,0,43003,143906,,,0,106524,105607,1066,,,,,,,,5331,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12929,824,3397,185479,186681,0,0,16611,2059,203292,0,0,9503,,0,4241,0,62822,122657,,,0,111835,110461,808,,,,,,,,5461,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429,578,0,298,65026,65640,0,0,20292,600,85932,0,0,18321,,0,700,0,5565,59461,,,0,40065,39329,671,,,,,,,,5751,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8011,60083,0,42137,2137547,2223540,0,0,223376,22146,2446916,24407,0,14246,,0,180916,0,145698,1991849,,,0,1461195,1428416,6068,,,,,,,,5939,2001-09-30
