RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1919,0,672,66573,67046,0,0,13611,1200,80657,0,0,8911,,0,3500,0,6549,60024,,,0,46060,45069,0,2681,0,0,0,,,,37,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,717,0,236,20775,23629,0,0,3634,120,27263,0,0,3402,,0,120,0,3045,17730,,,0,19821,19656,-8,0,0,503,0,,,,242,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,1470,244,1352,77937,108470,0,0,18616,0,127086,0,0,18423,,0,0,0,2633,75303,,,0,35754,35335,193,1470,0,0,0,,,,279,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,225,0,15,7110,7285,0,0,896,25,8181,0,0,364,,0,500,0,1288,5822,,,0,4472,4295,7,0,0,156,0,,,,354,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8294,0,2453,144039,145492,0,0,20063,596,165555,0,0,10079,,0,9404,0,34906,109133,,,0,123270,121635,-16,0,0,567,0,,,,439,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,451,0,101,22980,23234,0,0,2871,60,26105,0,0,621,,0,2190,0,2640,20340,,,0,23363,23093,0,0,0,0,0,,,,457,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,13040,0,4677,261477,278555,53,0,23421,6480,302029,0,0,6339,,0,10653,0,47891,213586,,,0,162346,160142,-51,0,0,0,0,,,,505,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,11794,0,17463,314649,359292,0,6000,33375,19,392667,0,0,24610,,0,8854,28569,70558,244091,,,0,282988,279797,-108,0,0,4000,0,,,,1146,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5814,0,4711,120206,141728,0,0,11427,1600,153155,0,0,6273,,0,3400,0,13615,106591,,,0,102607,100938,154,0,0,3700,14347,,,,1155,2004-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1582,0,1095,86063,86564,0,0,12812,240,99376,0,0,12073,,0,530,0,9879,76184,,,0,55694,55116,-31,3328,0,0,0,,,,1351,2004-09-30
