RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12621,0,479,66853,67141,0,0,18004,1200,85145,0,0,12602,0,0,3500,0,7315,59538,1,0,37271,36227,702,0,0,0,0,18004,,,37,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3568,860,0,275,27247,31570,0,0,4797,120,36367,0,0,4208,0,0,120,0,6545,20702,4,0,20728,20558,349,1373,0,0,0,4797,,,242,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051,2317,264,6166,111374,125725,0,0,24586,1,150311,0,0,24106,0,0,0,0,7354,104020,1,0,76200,75689,479,1710,0,0,0,24586,,,279,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,332,0,27,9563,9569,0,0,1011,25,10580,0,0,466,0,0,500,0,2864,6699,5,0,3800,3627,20,699,0,0,0,1011,,,354,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559,459,0,110,31941,34526,0,0,3322,60,37848,0,0,525,0,0,2740,0,3964,27977,4,0,31939,31562,-3,2158,0,0,0,3322,,,457,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59143,1143,0,10844,315710,364123,52,0,30601,6480,394776,0,0,14834,0,0,10653,761,44988,270722,2,0,239942,235810,-1366,0,0,0,0,30653,,,505,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51500,5625,0,4176,193312,204463,0,0,19382,1600,223845,0,0,12262,0,0,4900,477,23478,169834,5,0,129923,126988,620,0,0,0,9351,19382,,,1155,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5276,0,1045,142861,143448,0,0,18677,240,162125,0,0,17810,0,0,530,0,14514,128347,4,0,71251,69823,97,5623,0,0,0,18677,,,1351,2012-03-31,12 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71721,18838,0,4899,534008,535164,0,0,58927,1000,594091,0,0,52406,0,0,1214,2100,147354,386654,2,0,224332,221316,4307,0,0,0,0,58927,,,1454,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3226,1833,0,280,60032,62720,0,0,5748,200,68468,0,0,4508,0,0,1000,0,21723,38309,4,0,33907,33536,40,7978,0,0,0,5748,,,1557,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22543,7933,0,2455,202264,202961,0,0,44680,800,247641,0,0,41599,0,0,800,0,43211,159053,8,0,83241,79993,1481,0,0,0,0,44680,,,1669,2012-03-31,1230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25802,3893,0,3682,341255,361409,0,0,43718,390,405127,0,0,38597,0,0,3100,0,78538,262717,2,0,263397,259233,1631,0,0,0,3602,43718,,,1829,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25600,555,0,414,65117,95305,0,0,19304,500,114609,0,0,991,0,0,17782,0,2331,62785,4,0,56096,55272,31,0,0,0,0,19304,,,1856,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4907,2900,0,3107,156070,181171,0,0,20971,480,202142,0,0,15741,0,0,4270,98,15280,140790,4,0,118101,114478,480,22233,0,0,4213,20971,,,2040,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6648,9416,0,2374,119819,121413,0,0,14679,1000,136092,0,0,11250,0,0,1355,0,20422,99397,8,0,62552,61956,1074,7745,0,0,0,14679,,,2161,2012-03-31,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7366,3805,0,15582,1407682,2189865,64,0,420637,500,2610566,0,0,421618,2219,0,21701,0,83021,1324662,2,-27888,1908530,1878281,4706,0,0,26259,0,420701,,,2376,2012-03-31,0630
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5175,328,0,94,11031,11054,0,0,1210,50,12264,0,0,169,0,0,975,0,3068,7963,5,0,4486,4379,16,0,0,0,0,1210,,,2554,2012-03-31,1231
