RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2936,1130,0,380,63270,63770,0,0,21177,1200,84947,0,0,15370,0,0,3500,0,13545,49725,,0,29708,28674,1107,0,0,0,0,21177,,,37,2016-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1401,871,0,302,29100,34116,0,0,5396,120,39512,0,0,4926,0,0,120,0,6610,22490,,0,26414,26229,230,742,0,0,0,5396,,,242,2016-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618,2496,0,5255,153180,172536,0,0,28278,1,200814,0,0,28154,0,0,0,0,11372,141808,,0,140380,139438,123,2007,0,0,0,28278,,,279,2016-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,478,0,55,7222,7292,0,0,1038,25,8330,0,0,473,0,0,500,0,2247,4975,,0,3533,3374,40,0,0,68,0,1038,,,354,2016-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3611,777,0,281,35750,41851,0,0,4484,60,46335,0,0,483,0,0,3940,0,5800,29950,,0,40306,39780,1,75,0,0,0,4484,,,457,2016-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19840,1505,0,10044,398915,403436,54,0,36341,6480,439831,0,0,21121,0,0,10653,0,87998,310917,,0,316026,312045,-1913,0,0,0,0,36395,,,505,2016-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16354,3840,0,4528,185882,196728,0,0,19537,1600,216265,0,0,12647,0,0,4900,0,23922,161960,,0,158767,156039,390,0,0,0,8771,19537,,,1155,2016-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7248,0,2120,129252,129787,0,0,23666,240,153453,0,0,22876,0,0,530,0,17166,112086,,0,84797,83552,20,2312,0,0,0,23666,,,1351,2016-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191926,13755,0,3800,753730,755523,0,0,83297,1000,838820,0,0,77262,0,0,1214,1207,220684,533046,,0,246795,243338,3821,0,0,0,0,83297,,,1454,2016-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3287,1017,0,577,53650,58101,0,0,11976,200,70077,0,0,2000,0,0,9624,0,18757,34893,,0,50427,49690,152,1539,0,0,0,11976,,,1557,2016-09-30,
