RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1966,0,623,64025,64565,0,0,16124,1200,80689,0,0,11376,,0,3500,0,6726,57299,,,0,45676,44436,48,4271,0,0,0,,,,37,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,1059,0,242,24840,28289,0,0,3756,120,32045,0,0,3595,,0,120,0,4870,19970,,,0,19878,19706,-79,192,0,90,0,,,,242,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,2285,259,5550,90602,124056,0,0,21320,1,145376,0,0,21392,,0,0,0,6362,84240,,,0,64973,64580,-73,1400,0,0,0,,,,279,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,321,0,79,6899,6932,0,0,973,25,7905,0,0,454,,0,500,0,1635,5264,,,0,4425,4233,-6,61,0,0,0,,,,354,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,842,0,171,24084,28298,0,0,3153,60,31451,0,0,652,,0,2440,0,2536,21548,,,0,27623,27420,1,81,0,0,0,,,,457,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,15202,0,4082,264816,345340,53,0,26513,6480,371906,0,0,10216,,0,10653,534,46018,218798,,,0,272440,269001,-836,0,0,0,0,,,,505,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5948,0,4833,144124,172771,0,0,15761,1600,188532,0,0,9470,,0,4400,84,16021,128103,,,0,137006,135087,291,0,0,0,23392,,,,1155,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2404,0,971,108041,108916,0,0,17501,240,126417,0,0,16711,,0,530,0,10335,97706,,,0,66017,64835,20,1476,0,0,0,,,,1351,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55527,24737,0,4846,431414,432627,0,0,35598,1000,468225,0,0,36471,,0,1214,994,118294,313120,,,0,212316,210128,-3087,14700,0,0,0,,,,1454,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1791,0,151,32212,34459,0,0,4789,200,39248,0,0,3711,,0,800,0,5165,27047,,,0,21247,20867,78,2795,0,0,0,,,,1557,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,11522,0,14596,635273,703523,0,0,65010,1900,768533,0,0,28534,,0,34197,0,19798,615475,,,0,680665,669023,379,195,0,0,4248,,,,1632,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2846,8350,0,1613,199922,202147,0,0,41842,800,243989,0,0,40068,,0,800,0,39266,160656,,,0,76562,74715,174,18479,0,0,0,,,,1669,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11420,4606,0,3000,284993,337170,0,0,37157,390,374327,0,0,33930,,0,3100,0,50702,234290,,,0,263331,259349,-263,0,0,0,3568,,,,1829,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,709,0,435,145182,226251,0,0,16260,500,242511,0,0,1109,,0,17782,0,2644,142539,,,0,9554,9362,-3131,10879,0,0,0,,,,1856,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2769,0,3902,159534,185634,0,0,17682,480,203316,0,0,12964,,0,4270,513,12025,147509,,,0,150824,147416,-32,659,0,467,1858,,,,2040,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,2945,0,1735,92022,93099,0,0,12370,1000,105469,0,0,9990,,0,1253,0,18488,73534,1,,0,56534,55981,127,780,0,0,0,,,,2161,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,9824,3789,9465,766273,1342986,66,0,192685,500,1535737,0,0,205069,,0,2154,0,43472,722801,,,-14506,1128237,1112830,-532,0,0,33144,0,,,,2376,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,244,0,400,36241,39880,0,0,3378,50,43258,0,0,424,,0,2904,296,2615,33626,,,0,32982,32094,0,924,0,0,0,,,,2451,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487,579,0,112,8578,8642,0,0,1069,50,9711,0,0,70,,0,972,0,1848,6730,,,0,4256,4233,-23,530,0,0,0,,,,2554,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16977,0,5908,447697,455215,0,0,70406,0,525621,0,0,64225,,0,5789,0,74644,373053,,,0,413606,409619,392,29000,0,0,0,,,,2732,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,466,0,542,37868,47269,0,0,4902,87,52171,0,0,5081,,0,93,0,2128,35740,,,0,36889,36486,-359,0,0,527,0,,,,2750,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,6385,0,8907,357672,391796,0,0,32015,1250,423811,0,0,14819,,0,15933,0,14693,342979,,,0,346898,339884,13,3928,0,0,798,,,,2938,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584,4925,0,566,118839,122836,0,0,14262,200,137098,0,0,14385,,0,300,0,10629,108210,,,0,63277,62301,-623,6800,0,0,0,,,,3252,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3531,1199,0,399,22305,27776,0,0,3031,100,30807,0,0,2464,,0,450,0,2271,20034,,,0,12449,12156,17,1423,0,0,5260,,,,3458,2008-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4356,0,3500,138302,150005,0,0,24209,2400,174214,0,0,10974,,0,10800,234,15661,122641,,,0,108310,106880,35,0,0,517,3891,,,,3720,2008-09-30
