RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1738,0,536,65422,65702,0,0,14100,1200,79802,0,0,9649,,0,3500,0,6078,59344,,,0,43717,42755,-249,7042,0,0,0,,,,37,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1068,0,337,22519,25967,0,0,3676,120,29643,0,0,3523,,0,120,0,3438,19081,,,0,20668,20510,-87,369,0,0,504,,,,242,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1876,248,2649,79557,106871,0,0,19280,0,126151,0,0,19600,,0,0,0,3835,75722,,,0,45181,44727,-320,715,0,0,0,,,,279,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,276,0,31,6907,7074,0,0,925,25,7999,0,0,457,,0,500,0,1359,5548,,,0,4047,3860,-57,0,0,124,0,,,,354,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7401,0,2218,152144,154509,0,0,15098,596,169607,0,0,5378,,0,9404,0,41517,110627,,,0,121881,120343,-280,12313,0,0,0,,,,439,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,574,0,116,25314,25534,0,0,3239,60,28773,0,0,889,,0,2290,0,3218,22096,,,0,25906,25605,0,168,0,0,0,,,,457,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,6113,0,4338,266816,286227,51,0,22389,6480,308667,0,0,6537,,0,10653,0,47417,219399,,,0,204193,201867,-1281,0,0,0,0,,,,505,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28113,0,23841,395790,432757,0,6000,38380,19,471137,0,0,29928,,0,8854,27751,82202,313588,,,0,304924,300579,-421,0,0,0,0,,,,1146,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6840,0,4453,123853,157175,0,0,12156,1600,169331,0,0,7388,,0,3400,934,13380,110473,,,0,115807,113915,-232,0,0,0,19937,,,,1155,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2470,0,1025,86224,86731,0,0,13934,240,100665,0,0,13267,,0,530,0,9804,76420,,,0,57481,56361,-103,3704,0,0,0,,,,1351,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,14381,0,3304,355230,355902,0,0,28581,1000,384483,0,0,28853,,0,1214,513,101401,253829,,,0,191798,190607,-2486,21000,0,0,0,,,,1454,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1376,0,184,26120,28510,0,0,4623,200,33133,0,0,3670,,0,800,0,4065,22055,,,0,19392,19015,-47,1189,0,0,0,,,,1557,2005-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,9986,0,8533,368915,429965,0,0,39652,1900,469617,0,0,13340,,0,24608,0,58534,310381,,,0,418156,412422,-196,0,0,19164,4975,,,,1632,2005-12-31
