RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5244,1173,0,424,68317,68464,0,0,19313,1200,87777,0,0,14372,0,0,3500,0,15215,53102,,0,32374,31313,241,0,0,0,0,19313,,,37,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,983,0,274,29777,35617,0,0,5090,120,40707,0,0,4742,0,0,120,0,7027,22750,,0,25711,25514,108,345,0,0,500,5090,,,242,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089,2786,0,5550,139552,173449,0,0,27100,1,200549,0,0,26957,0,0,0,0,10132,129420,,0,140137,139296,142,2959,0,0,0,27100,,,279,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,305,0,65,8438,8456,0,0,938,25,9394,0,0,497,0,0,500,0,2526,5913,,0,3072,2887,-84,0,0,16,0,938,,,354,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,507,0,307,33734,37855,0,0,4249,60,42104,0,0,249,0,0,3940,0,5737,27997,,0,38769,38276,0,0,0,1647,0,4249,,,457,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23159,1176,0,10408,343871,368990,54,0,34743,6480,403787,0,0,19635,0,0,10653,0,52919,290952,,0,281761,277592,-2025,0,0,0,0,34797,,,505,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16249,4473,0,4143,175404,192445,0,0,19062,1600,211507,0,0,12470,0,0,4900,513,26927,148477,,0,148791,146710,92,0,0,0,14973,19062,,,1155,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3482,0,1719,130840,131595,0,0,24335,240,155930,0,0,23581,0,0,530,0,17045,113795,,0,79341,78024,-16,0,0,347,0,24335,,,1351,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184701,12203,0,4979,735916,737306,0,0,71566,1000,808872,0,0,70230,0,0,1214,262,198229,537687,,0,248407,245537,-878,0,0,0,0,71566,,,1454,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2307,2534,0,755,62109,64864,0,0,11086,200,75950,0,0,1362,0,0,9623,0,22495,39614,,0,51414,50916,-99,4713,0,0,0,11086,,,1557,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20237,8854,0,2082,210168,210554,0,0,45512,800,256066,0,0,43744,0,0,800,0,48659,161509,,0,93823,90954,168,0,0,0,0,45512,,,1669,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4085,3990,0,3129,324418,358612,0,0,46647,390,405259,0,0,42239,0,0,3100,0,105582,218836,,0,276262,272681,918,0,0,0,0,46647,,,1829,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59791,433,0,358,79931,110061,0,0,15057,500,125118,0,0,1558,0,0,14282,0,3214,76717,,0,44431,43385,-1283,2375,0,0,0,15057,,,1856,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3782,4298,0,2475,144072,175506,0,0,22002,480,197508,0,0,17285,0,0,4270,0,18936,125136,,0,122207,118613,-33,2456,0,0,7941,22002,,,2040,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6815,8706,0,2140,112950,115292,0,0,15738,1000,131030,0,0,13141,0,0,1356,0,25373,87577,,0,75254,74499,241,10010,0,0,0,15738,,,2161,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3796,11324,0,14431,1988595,2878883,64,0,439163,500,3318110,0,0,415544,4465,0,48291,0,131572,1857023,,-22804,2755216,2724596,-2368,0,0,29699,0,439227,,,2376,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3478,211,0,114,10809,12272,0,0,1311,50,13583,0,0,316,0,0,975,0,3100,7709,,0,5998,5821,-30,0,0,0,0,1311,,,2554,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102325,9878,0,3863,491319,493627,0,0,82150,0,575777,0,0,76254,0,0,5789,0,117967,373352,,0,335287,331689,107,0,0,0,0,82150,,,2732,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,658,0,276,47488,54412,0,0,6270,121,60682,0,0,1097,0,0,5200,0,5433,42055,,0,42366,41736,-148,30,0,0,0,6270,,,2750,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55836,8018,0,12632,786582,909702,0,0,105521,0,1015223,0,0,46776,0,0,63349,0,196188,590394,,-3598,784181,780789,-1006,0,0,0,0,105521,,,3177,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4440,0,508,148439,156175,0,0,23489,200,179664,0,0,22462,0,0,300,0,24593,123846,,0,97775,94964,527,0,0,2500,0,23489,,,3252,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227,1884,0,298,30147,37383,0,0,3900,100,41283,0,0,2679,0,0,1101,0,4489,25658,,0,23958,23638,20,101,0,0,7000,3900,,,3458,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21785,4699,0,4291,186213,192512,0,0,32655,2400,225167,0,0,11649,0,0,18600,0,33753,152460,,0,137069,135368,6,0,0,0,4455,32655,,,3720,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22668,6383,607,11133,553848,603301,0,0,109397,2,712698,0,0,-67250,0,0,176276,16200,73828,480020,,0,553815,542896,369,1668,0,0,0,109397,,,3971,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257,3627,0,7070,176702,195094,0,0,22524,1200,217618,0,0,14683,0,0,6657,497,27959,148743,,0,159026,157057,-16,3870,0,0,1179,22524,,,4156,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10829,0,880,100292,100745,0,0,14655,500,115400,0,0,2827,0,0,12100,0,19853,80439,,0,50004,49247,-772,0,0,0,0,14655,,,4231,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14008,3927,0,4778,215148,220195,0,0,28866,963,249061,0,0,23859,0,0,3750,0,29051,186097,,0,137159,135181,294,0,0,0,2327,28866,,,4437,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11738,8359,238,5260,271950,305980,0,0,37312,1875,343292,0,0,20899,0,0,14840,1831,50219,221731,,0,239082,234198,-302,0,0,0,10352,37312,,,4839,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29051,928,0,17525,218072,223247,0,0,170389,4500,393636,0,0,158575,0,0,4128,0,25478,192594,,0,315356,303556,3186,0,0,0,0,170389,,,5069,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44631,7239,0,5414,343815,359174,0,0,54331,651,413505,0,0,29382,0,0,24391,0,50294,293521,,0,321206,317181,-93,0,0,0,0,54331,,,5135,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15002,12995,2071,16600,878133,999227,0,0,94499,4798,1093726,0,0,87508,0,0,5455,916,39506,838627,,0,816999,802134,-3262,0,0,0,34402,94499,,,5210,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14399,13326,689,10989,451214,454789,0,0,49281,2059,504070,0,0,43775,0,0,4241,0,153222,297992,,0,303657,298025,-794,0,0,0,0,49281,,,5461,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,4312,0,2102,152406,159917,0,0,31581,600,191498,0,0,21296,0,0,8752,0,19552,132854,,0,131690,130265,933,1212,0,0,0,31581,,,5751,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13296,4841,0,1343,78513,78726,0,0,7916,469,86642,0,0,1872,0,0,5600,0,27010,51503,,0,51847,50944,-25,600,0,0,0,7916,,,6039,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8305,0,152,55921,55988,0,0,5878,400,61866,0,0,1178,0,0,4300,0,15950,39971,,0,17698,17273,0,13250,0,0,0,5878,,,6141,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34461,15421,0,18174,457946,462575,0,0,47378,2600,509953,0,0,24663,0,0,20000,1371,132266,325680,,0,389741,384224,115,6119,0,0,0,47378,,,6329,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9684,630,0,271,548425,554906,0,0,59217,500,614123,187,0,56508,0,0,552,0,87449,460976,,0,287616,287616,1657,0,0,0,0,59217,,,7009,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7108,3903,0,2114,179177,179649,0,0,19139,100,198788,0,0,16438,0,0,2325,0,28765,150412,,0,80680,79369,276,0,0,0,0,19139,,,7045,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4232,1070,118,5339,134256,147867,0,0,32055,0,179922,0,0,32053,0,0,0,0,8659,125597,,0,141703,140135,2,0,0,0,0,32055,,,7072,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,770,0,131,42854,43135,0,0,4903,200,48038,0,0,4517,0,0,200,0,9459,33395,,0,23833,23593,-14,701,0,0,0,4903,,,7157,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3233,2004,0,505,71851,71960,0,0,6222,400,78182,0,0,1322,0,0,4600,0,18332,53519,,0,53506,52857,-100,0,0,0,0,6222,,,7456,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440,1545,0,481,52592,53406,0,0,7298,200,60704,0,0,-947,0,0,8060,0,9365,43227,,0,43391,42266,-15,0,0,0,0,7298,,,7634,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19175,2994,0,2839,172913,186817,0,0,24246,774,211063,0,0,19003,0,0,4476,0,50023,122890,,0,169971,168921,-7,1900,0,0,0,24246,,,8033,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4067,19867,0,376,162899,163035,0,0,19332,350,182367,0,0,18116,0,0,350,0,67092,95807,,0,49118,48504,516,2750,0,0,0,19332,,,8462,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12890,2341,0,1612,60565,61104,0,0,6917,500,68021,0,0,5606,0,0,800,0,18662,41903,,0,32924,32490,11,1359,0,0,0,6917,,,8631,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279,6984,500,192,384082,454236,0,0,80456,500,534692,0,0,25073,0,0,54660,162838,139000,245082,,0,267054,263834,223,115,0,0,0,80456,,,9357,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6675,1634,0,1108,106554,154844,0,0,11669,400,166513,0,0,10355,0,0,1700,0,18126,88428,,0,94073,93123,-786,0,0,210,0,11669,,,9553,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152807,12232,15,8042,1696371,2001814,0,0,288403,20000,2290217,0,0,210587,0,0,112272,0,63077,1633294,,0,1546373,1516901,-54456,0,0,0,57776,288403,,,9807,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21197,2536,0,1148,104216,115151,0,0,16433,110,131584,0,0,13319,0,0,3023,0,22085,82131,,0,69709,68187,-19,0,0,0,0,16433,,,9955,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9940,10060,0,9691,318816,319531,0,0,34480,1500,354011,0,0,1905,0,0,30800,0,65420,253396,,0,233426,229452,275,0,0,0,0,34480,,,10250,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17526,3123,0,3286,223547,223919,0,0,26100,16,250019,0,0,11523,0,0,15375,0,30212,193335,,0,123061,121576,-814,1000,0,0,0,26100,,,10849,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239,5916,94,5413,162839,178703,0,0,19415,1000,198118,0,0,9305,0,0,9000,0,35257,127582,,0,159695,157667,110,0,0,0,0,19415,,,11145,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78815,15103,0,16479,1162928,1416540,0,0,143507,1,1560047,0,0,55988,655,0,87518,152546,207741,955187,,0,1169546,1153402,0,2782,0,0,31123,143507,,,11275,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9140,10757,0,4697,280760,340325,0,0,40279,650,380604,0,0,5922,0,0,33600,0,68152,212608,,0,221058,218305,107,0,0,0,0,40279,,,11640,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2182,1341,0,575,75350,82498,0,0,12605,314,95103,0,0,1009,0,0,11686,0,7897,67453,,0,42165,41680,-404,0,0,0,0,12605,,,11837,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31264,16397,0,3474,278779,281447,0,0,50043,300,331490,0,0,49357,0,0,300,0,74371,204408,,0,250157,242145,86,4192,0,0,0,50043,,,12030,2015-06-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5644,5138,0,5525,190854,193398,0,0,20510,1250,213908,0,0,7663,0,0,13250,0,52022,138832,,0,111158,109667,-1653,3975,0,0,0,20510,,,12142,2015-06-30,
