"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											157	0			0			0	0	0	0	
242											160	0			0			2392	0	0	0	
279											1866	0			0			28426	0	0	0	
354											5	0			0			0	0	0	0	
439											340	0			0			0	0	0	0	
457											40	0			0			0	0	0	0	
505											2139	0			0			23000	0	0	0	
1146											2929	0			0			22605	953	0	0	
1155											588	0			0			6250	0	0	21957	
1351											0	0			0			0	0	0	0	
1454											1091	0			0			0	5	0	0	
1557											90	0			0			442	0	0	0	
1632											2457	0			0			39000	0	0	2136	
1669											425	0			0			658	0	0	0	
1829											1082	0			0			9000	2103	0	1908	
1856											4160	0			0			75100	0	0	50000	
2040											1126	0			0			18466	330	0	0	
2161											244	0			0			0	0	0	0	
2376											9088	0			0			181755	60000	0	0	
2451											262	0			0			2604	0	0	0	
2554											0	0			0			0	0	0	0	
2732											181	0			0			219	0	0	0	
2750											385	0			0			4200	0	0	596	
2938											2502	0			0			40500	0	0	7542	
2956											138	0			0			0	0	0	0	
3252											278	0			0			7275	0	0	0	
3458											75	0			0			0	0	0	2725	
3506											4805	0			0			72400	0	0	10733	
3720											567	0			0			4898	0	0	1862	
3953											908	0			0			713	0	0	0	
4138											868	0			0			2847	0	0	0	
4147											3231	0			0			12500	0	0	0	
4156											1275	0			0			20500	0	0	0	
4231											0	0			0			0	0	0	2000	
4437											809	0			0			10924	0	0	10942	
4839											1435	0			0			24900	0	0	10706	
5005											2207	0			0			26685	16861	0	0	
5050											414	0			0			1450	0	0	0	
5069											0	0			0			0	0	0	0	
5135											961	0			0			12000	0	0	0	
5210											8464	0			0			131915	0	0	20816	
5247											0	0			0			2677	500	0	12322	
5274											4016	0			0			13455	0	0	1418	
5331											4052	0			0			25156	0	0	82000	
5461											0	0			0			11624	3989	0	0	
5751											199	0			0			0	0	0	0	
6039											277	0			0			0	50	0	0	
6057											117	0			0			500	0	0	0	
6141											0	0			0			0	0	0	0	
6329											770	0			0			0	0	0	0	
6972											738	0			0			9530	0	0	4173	
7009											0	0			0			0	7418	0	0	
7045											0	0			0			0	0	0	0	
7157											23	0			0			0	0	0	0	
7166											2669	0			0			37000	0	0	0	
7456											186	0			0			0	0	0	0	
7634											496	0			0			0	0	0	0	
8033											882	0			0			12750	0	0	0	
8417											31031	0			0			1694192	0	103951	0	
8462											21	0			0			0	0	0	0	
8631											87	0			0			0	0	0	0	
9357											5162	0			0			94400	992	0	9832	
9553											615	0			0			8416	0	0	0	
9807											28884	0			0			432378	0	0	131272	
9955											417	0			0			2483	0	0	0	
10157											589	0			0			3000	0	0	0	
10250											986	0			0			0	0	0	1200	
10849											1868	0			0			36472	0	0	0	
10858											1358	0			0			6577	0	0	13300	
11145											879	0			0			15088	0	0	0	
11640											2274	0			0			29069	0	0	0	
11837											1279	0			0			7000	0	0	0	
12030											990	0			0			5500	0	0	0	
12058											348	0			0			2155	0	0	0	
12142											493	0			0			0	0	0	0	
12245											354	0			0			3000	185	0	0	
12311	20006	604155	496596	772097	0	380922	424521	1046493	4250	3754026	87613	7509	0	32586447	7509	2194511	28231399	3788314	4986	69522	1384884	
12647											172	0			0			0	0	0	0	
12656											29	0			0			0	0	0	0	
12937											744	0			0			1883	0	0	0	
12946											2051	0			0			23683	0	0	0	
12955											672	0			0			8500	0	0	0	
13037											41	0			0			0	0	0	0	
13103											4875	0			0			69850	42432	0	12421	
13251											141	0			0			0	0	0	0	
13457											3	0			0			0	142	0	0	
14052											282	0			0			0	0	0	0	
14155											548	0			0			8880	0	0	0	
14258											4022	0			0			13000	0	0	0	
14409	3459	499995	16426	980240	1887666	3921501	432817	128017	655	7870776	109631	3438	0	33847210	3438	330523	29701052	2174802	0	0	1978187	
14454											148	0			0			35	0	0	0	
14650											100	0			0			0	0	0	0	
14753											9	0			0			0	0	0	0	
14865											560	0			0			5423	0	0	0	
15536											4795	0			0			0	0	0	0	
16337											2036	0			0			29076	0	0	1739	
16458											669	0			0			6702	0	0	0	
16551											1507	0			0			23540	0	0	0	
16748											325	0			0			2000	0	0	0	
16944											0	0			0			0	0	0	0	
16953											0	0			0			0	0	0	0	
17110											219	0			0			0	0	5961	0	
17147											4789	0			0			58291	0	0	39559	
17259											287	0			0			1750	0	0	0	
17464											3241	0			0			69092	364	0	0	
17549											1219	0			0			0	0	0	0	
17839											804	0			0			10000	0	0	3939	
17950											932	0			0			10661	0	0	0	
18050											1135	0			0			4370	0	0	0	
18135											1249	0			0			13618	0	0	5978	
18368											2540	0			0			53999	0	0	0	
18377											156	0			0			2425	0	0	0	
18827											330	0			0			757	0	0	0	
18836											649	0			0			7809	28	0	0	
18854											125	0			0			0	0	0	0	
18957											394	0			0			4957	0	0	0	
19356											0	0			0			0	0	0	0	
19730											44836	0			0			45240	5568	0	15788	
19936											948	0			0			280	0	0	2741	
19972											119	0			0			0	0	0	0	
20053											825	0			0			5777	338	0	372	
20147											435	0			0			4281	0	0	0	
20259											38	0			0			0	4547	0	0	
20370											363	0			0			6300	0	0	0	
20512											937	0			0			15500	0	0	0	
20633											442	0			0			2240	1000	0	0	
20754											0	0			0			0	0	0	0	
20839											779	0			0			12000	0	0	0	
20857											384	0			0			6503	0	0	0	
20866											693	0			0			414	0	0	0	
21256											77	0			0			0	0	0	0	
21359											107	0			0			386	0	0	0	
21630											602	0			0			6570	0	0	0	
21658											646	0			0			2000	0	0	0	
22048											730	0			0			11470	2091	0	579	
22235											1092	0			0			10000	0	0	0	
22356											818	0			0			401	10	0	7095	
22459											490	0			0			718	0	0	2179	
22543											195	0			0			0	0	0	0	
22552											506	0			0			500	0	0	0	
22730											293	0			0			2107	0	0	4007	
22936											1031	0			0			14413	0	0	0	
22954											589	0			0			8935	74	0	0	
23036											0	0			0			60	0	0	4469	
23045											218	0			0			0	0	0	0	
23241											33033	0			0			269473	17579	0	305621	
23456											426	0			0			3708	0	0	0	
23504											2169	0			0			0	0	0	0	
23540											673	0			0			0	0	0	0	
23643											545	0			0			463	0	0	0	
23755											529	0			0			5000	0	0	0	
23812											5329	0			0			66048	843	0	0	
24006											2361	0			0			0	6	0	0	
24266											38066	0			0			25331	0	0	0	
24453											130	0			0			0	0	0	0	
24659											0	0			0			0	0	0	0	
24668											363	0			0			444	0	0	5961	
24855											19	0			0			0	0	0	0	
24949											13426	0			0			21000	0	0	1	
25357											479	0			0			4630	0	0	0	
25647											0	0			0			0	0	5000	0	
25852											1693	0			0			20000	0	0	2455	
26149											0	0			0			0	0	0	2213	
26233											2087	0			0			1000	4695	2216	0	
26242											2683	0			0			18097	0	0	7044	
26457											0	0			0			0	0	0	0	
26756											82	0			0			700	0	0	0	
26765											265	0			0			0	0	0	0	
26859											1836	0			0			28455	0	0	0	
26916											3023	0			0			34000	0	0	7154	
27548											5842	0			0			44191	0	0	41316	
27614											1323	0			0			5380	0	0	2390	
27838											2475	0			0			7100	89	0	0	
27847											776	0			0			9675	0	0	0	
28013											15965	0			0			99970	1680	0	215000	
28152											320	0			0			2262	0	0	0	
28255											358	0			0			1080	0	0	0	
28349											438	0			0			0	0	0	473	
28406											3255	0			0			0	35254	0	0	
28572											979	0			0			14428	1031	0	0	
28732											96	0			0			0	0	0	0	
29104											8635	0			0			172054	3395	0	121434	
29159											95	0			0			382	0	0	0	
29252											993	0			0			7500	0	0	0	
29636											3679	0			0			61922	0	0	0	
29850											0	0			0			116	0	0	0	
29944											305	0			0			5800	0	0	0	
29953											666	0			0			10427	0	0	0	
30052											36	0			0			281	0	0	0	
30155											1148	0			0			19199	972	0	0	
30258											631	0			0			10126	515	0	1359	
30418											0	0			0			0	0	0	470920	
30502											3659	0			0			58000	3044	0	8469	
30650											778	0			0			9470	0	0	0	
30810											16041	0			0			292447	2000	0	0	
30856											815	0			0			13584	0	0	3271	
31134											409	0			0			5000	0	0	0	
31255											907	0			0			687	0	0	610	
31657											0	0			0			0	0	0	0	
31826											767	0			0			1000	100	0	0	
31835											622	0			0			10800	0	0	0	
32159											501	0			0			661	0	0	0	
32234											43	0			0			0	0	0	11391	
32766											24	0			0			0	0	0	0	
33147											854	0			0			10000	0	0	0	
33259											1312	0			0			10000	0	0	1419	
33268											75	0			0			0	0	0	0	
33549											10	0			0			0	0	0	0	
33727											1101	0			0			193	0	0	0	
33754											0	0			0			0	0	0	0	
33772											14225	0			0			0	4000	0	13448	
33839											130	0			0			0	0	0	133	
33857											588	0			0			8700	0	0	0	
34153											5957	0			0			59677	2807	0	0	
