"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	104	66	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
242	67	94													57	93													true	true	
279	0	0	30	1126	14	1915	4	1679	29	474	3	319	0	0	6	27	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
354	2	12	0	0	0	0	0	0	0	0	0	0	0	0	12	129	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
439	0	0	174	5013	76	9913	43	17670	488	7781	59	5472	18	2936	0	0	112	3131	31	4382	9	2307	76	1330	2	249	2	125	false	false	
457	20	120	0	0	0	0	0	0	0	0	0	0	0	0	40	233	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
505	0	0	19	943	30	3686	31	13352	121	3009	28	2993	27	7310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
1146			51	2266	89	10110	20	9404	157	4151	68	5261	24	4988			5	220	1	180	2	522	1	9	0	0	0	0	false	false	
1155	0	0	39	1168	28	3698	37	13234	213	4658	54	4864	37	14601	0	0	13	575	6	800	1	333	52	1078	7	615	7	1765	false	false	
1351	0	0	122	3878	11	1350	10	4748	507	8655	19	1878	7	4030	0	0	129	4188	30	3721	4	1182	322	3219	2	296	1	294	false	false	
1454	0	0	210	20517	65	7949	27	10269	618	25248	19	1986	10	2730	0	0	19	1610	8	1016	6	2084	78	3476	0	0	1	447	false	false	
1557	0	0	10	296	5	830	1	513	38	456	2	290	0	0	44	266	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
1632	0	0	158	5468	75	9779	78	32879	861	16486	93	9847	53	9513	0	0	29	724	10	1038	4	699	103	2347	24	2915	8	996	false	false	
1669	131	268	0	0	0	0	0	0	0	0	0	0	0	0	6	164	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
1829	0	0	94	4220	41	5434	57	33720	194	4731	34	4340	33	17440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
1856	0	0	16	453	3	524	0	0	73	1337	7	906	1	231	17	52	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
2040	0	0	41	1242	2	403	1	244	276	5126	63	10994	38	17255	0	0	11	1059	7	873	2	283	39	1529	1	114	1	250	false	false	
2161	0	0	102	2714	18	1887	6	2132	354	4138	9	1444	2	1506	0	0	18	367	5	388	1	263	97	1261	1	200	0	0	false	false	
2376	0	0	2	171	25	4491	44	23092	1	38	0	0	5	1862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
2451			23	634	5	550	7	1862	42	1114	11	2066	5	1656	68	134													true	false	
2554	0	26	0	0	0	0	0	0	0	0	0	0	0	0	13	61	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
2732	0	0	8	210	43	5846	94	49643	227	3677	121	8171	121	28314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
2750	0	0	15	591	0	0	2	798	57	682	2	219	0	0	0	0	21	1074	11	1529	10	2983	148	3550	34	4478	11	2341	false	false	
2938	0	0	102	3411	77	9245	85	31216	544	10469	92	7597	63	17960	0	0	12	405	5	682	5	1512	5	89	0	0	6	1883	false	false	
2956	0	0	67	1735	8	1100	6	3543	48	716	3	146	1	1000	0	0	168	5192	44	5835	13	4547	121	1215	0	0	0	0	false	false	
3252	0	0	31	1043	8	961	0	0	186	3764	5	656	3	663	0	0	42	1174	22	2546	11	3303	611	14858	36	4318	5	1154	false	false	
3458	0	0	6	67	2	177	0	0	23	324	5	820	3	1198	0	0	36	1130	12	1455	4	1053	69	788	0	0	0	0	false	false	
3506			83	4293	167	23643	335	145881	807	25474	140	12992	92	26104															false	false	
3720	0	0	58	2124	27	3513	35	13991	150	2461	19	2136	8	1330	0	0	10	244	12	1381	8	3177	43	872	4	485	1	245	false	false	
3953	0	0	38	1555	15	2023	13	5927	210	4144	48	5474	27	7448	0	0	41	1592	13	1244	16	3014	131	2902	31	4865	48	4141	false	false	
4138	3726	1754	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
4147	0	0	10	607	16	2794	25	11930	98	2495	11	1635	6	3004	0	0	0	0	0	0	0	0	1	23	0	0	0	0	false	false	
4156	0	0	42	1591	15	1848	25	9801	221	4393	27	3269	26	9269	0	0	91	3069	16	1718	3	936	634	8682	31	3613	9	1474	false	false	
4231	0	0	116	3780	30	3454	17	6894	122	1866	7	537	2	545	0	0	155	3854	15	1809	8	2010	52	503	7	359	2	300	false	false	
4437	0	0	69	3317	52	6944	51	20712	182	5000	46	5426	26	8738	0	0	11	348	1	75	2	498	5	54	1	120	0	0	false	false	
4839	0	0	110	5540	112	16092	90	35990	191	2613	18	2263	13	4038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
5005	0	0	14	761	23	3432	42	19492	32	719	12	919	8	2825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
5050	0	0	30	1019	14	1902	16	6388	76	1846	12	1056	6	1829	0	0	0	0	0	0	0	0	3	76	0	0	1	257	false	false	
5069	0	0	5	144	11	1311	51	26532	10	374	2	144	4	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
