"IDRSSD"	RCON6979	TEXT6980	
	NO COMMENT-BK MANAGEMENT STATEMENT	BANK MANAGEMENT STATEMENT	
37	false	CONF	
242	false	CONF	
279	false	CONF	
354	false	CONF	
439	false	CONF	
457	false	CONF	
505	false	CONF	
1146	false	CONF	
1155	false	CONF	
1351	false	CONF	
1454	false	CONF	
1557	false	CONF	
1632	false	CONF	
1669	false	CONF	
1829	false	CONF	
1856	false	CONF	
2040	false	CONF	
2161	false	CONF	
2376	false	CONF	
2451	false	CONF	
2554	false	CONF	
2732	false	CONF	
2750	false	CONF	
2938	false	CONF	
2956	false	CONF	
3252	false	CONF	
3458	false	CONF	
3506	false	CONF	
3720	false	CONF	
3953	false	CONF	
4138	false	CONF	
4147	false	CONF	
4156	false	CONF	
4231	false	CONF	
4437	false	CONF	
4839	false	CONF	
5005	false	CONF	
5050	false	CONF	
5069	false	CONF	
5135	false	CONF	
5210	false	CONF	
5247	false	CONF	
5274	false	CONF	
5331	false	CONF	
5461	false	CONF	
5751	false	CONF	
6039	false	CONF	
6057	false	CONF	
6141	false	CONF	
6329	false	CONF	
6972	false	CONF	
7009	false	CONF	
7045	false	CONF	
7157	false	CONF	
7166	false	CONF	
7456	false	CONF	
7634	false	CONF	
8033	false	CONF	
8417	false	CONF	
8462	false	CONF	
8631	false	CONF	
9357	false	CONF	
9553	false	CONF	
9807	false	CONF	
9955	false	CONF	
10157	false	CONF	
10250	false	CONF	
10849	false	CONF	
10858	false	CONF	
11145	false	CONF	
11640	false	CONF	
11837	false	CONF	
12030	false	CONF	
12058	false	CONF	
12142	false	CONF	
12245	false	CONF	
12311	false	CONF	
12647	false	CONF	
12656	false	CONF	
12937	false	CONF	
12946	false	CONF	
12955	false	CONF	
13037	false	CONF	
13103	false	CONF	
13251	false	CONF	
13457	false	CONF	
14052	false	CONF	
14155	false	CONF	
14258	false	CONF	
14409	false	CONF	
14454	false	CONF	
14650	false	CONF	
14753	false	CONF	
14865	false	CONF	
15536	false	CONF	
16337	false	CONF	
16458	false	CONF	
16551	false	CONF	
16748	false	CONF	
16944	false	CONF	
16953	false	CONF	
17110	false	CONF	
17147	false	CONF	
17259	false	CONF	
17464	false	CONF	
17549	false	CONF	
17839	false	CONF	
17950	false	CONF	
18050	false	CONF	
18135	false	CONF	
18368	false	CONF	
18377	false	CONF	
18827	false	CONF	
18836	false	CONF	
18854	false	CONF	
18957	false	CONF	
19356	false	CONF	
19730	false	CONF	
19936	false	CONF	
19972	false	CONF	
20053	false	CONF	
20147	false	CONF	
20259	false	CONF	
20370	false	CONF	
20512	true	CONF	
20633	false	CONF	
20754	false	CONF	
20839	false	CONF	
20857	false	CONF	
20866	false	CONF	
21256	false	CONF	
21359	false	CONF	
21630	false	CONF	
21658	false	CONF	
22048	false	CONF	
22235	false	CONF	
22356	false	CONF	
22459	false	CONF	
22543	false	CONF	
22552	false	CONF	
22730	false	CONF	
22936	false	CONF	
22954	false	CONF	
23036	false	CONF	
23045	false	CONF	
23241	false	CONF	
23456	false	CONF	
23504	false	CONF	
23540	false	CONF	
23643	false	CONF	
23755	false	CONF	
23812	false	CONF	
24006	false	CONF	
24266	false	CONF	
24453	false	CONF	
24659	false	CONF	
24668	false	CONF	
24855	false	CONF	
24949	false	CONF	
25357	false	CONF	
25647	false	CONF	
25852	false	CONF	
26149	false	CONF	
26233	false	CONF	
26242	false	CONF	
26457	false	CONF	
26756	false	CONF	
26765	false	CONF	
26859	false	CONF	
26916	false	CONF	
27548	false	CONF	
27614	false	CONF	
27838	false	CONF	
27847	false	CONF	
28013	false	CONF	
28152	false	CONF	
28255	false	CONF	
28349	false	CONF	
28406	false	CONF	
28572	false	CONF	
28732	false	CONF	
29104	false	CONF	
29159	false	CONF	
29252	false	CONF	
29636	false	CONF	
29850	false	CONF	
29944	false	CONF	
29953	false	CONF	
30052	false	CONF	
30155	false	CONF	
30258	false	CONF	
30418	false	CONF	
30502	false	CONF	
30650	false	CONF	
30810	false	CONF	
30856	false	CONF	
31134	false	CONF	
