"IDRSSD"	RCFD3561	RCFD3562	RCFD7701	RCFD7702	RCON3561	RCON3562	RCON7701	RCON7702	
	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	
37					0	0	0.0000	0.0000	
242					2	43	0.0650	0.0850	
279					2	32	0.0500	0.0500	
354					0	0	0.0000	0.0000	
439					0	0	0.0000	0.0000	
457					1	5	0.0415	0.0415	
505					0	0	0	0	
1146					0	0	0.0000	0.0000	
1155					0	0	0.0000	0.0000	
1351					0	0	0.0000	0.0000	
1454					2	110	0.0725	0.0725	
1557					0	0	0.0000	0.0000	
1632					0	0	0.0000	0.0000	
1669					0	0	0.0000	0.0000	
1829					0	0	0.0000	0.0000	
1856					0	0	0.0000	0.0000	
2040					3	18	0.0475	0.1800	
2161					1	26	0.0380	0.0380	
2376					0	0	0.0000	0.0000	
2451					1	37	0.0595	0.0595	
2554					0	0	0.0000	0.0000	
2732					0	0	0.0000	0.0000	
2750					1	16	0.0825	0.0825	
2938					0	0	0.0000	0.0000	
2956					0	0	0	0	
3252					0	0	0	0	
3458					0	0	0.0000	0.0000	
3506					1	2000	0.0600	0.0600	
3720					0	0	0	0	
3953					0	0	0	0	
4138					9	1073	0.0400	0.0825	
4147					1	792	0.0600	0.0600	
4156					0	0	0.0000	0.0000	
4231					0	0	0.0000	0.0000	
4437					4	1333	0.0600	0.1050	
4839					1	10	0.0232	0.0300	
5005					0	0	0.0000	0.0000	
5050					0	0	0.0000	0.0000	
5069					0	0	0	0	
5135					0	0	0.0000	0.0000	
5210					1	180	0.0775	0.0775	
5247					0	0	0.0000	0.0000	
5274					0	0	0	0	
5331					0	0	0.0000	0.0000	
5461					0	0	0.0000	0.0000	
5751					0	0	0.0000	0.0000	
6039					4	45	0.0775	0.0800	
6057					0	0	0.0000	0.0000	
6141					1	4	0.0700	0.0700	
6329					0	0	0	0	
6972					0	0	0	0	
7009					0	0	0.0000	0.0000	
7045					1	7	0.0625	0.0625	
7157					0	0	0.0000	0.0000	
7166					0	0	0.0000	0.0000	
7456					2	60	0.0625	0.0700	
7634					0	0	0	0	
8033					0	0	0.0000	0.0000	
8417					0	0	0	0	
8462					3	132	0.032	0.0625	
8631					0	0	0.0000	0.0000	
9357					0	0	0.0000	0.0000	
9553					0	0	0.0000	0.0000	
9807					0	0	0.0000	0.0000	
9955					0	0	0.0000	0.0000	
10157					0	0	0.0000	0.0000	
10250					0	0	0.0000	0.0000	
10849					1	12	0.0750	0.0750	
10858					0	0	0	0	
11145					2	391	0.0575	0.0688	
11640					1	32	0.06	0.06	
11837					0	0	0	0	
12030					0	0	0.0000	0.0000	
12058					0	0	0.0000	0.0000	
12142					1	18	0.0625	0.0625	
12245					2	10	0.0900	0.0900	
12311	3	1072	0.046	0.0462					
12647					0	0	0.0000	0.0000	
12656					1	45	0.0650	0.0650	
12937					0	0	0.0000	0.0000	
12946					2	18	0.0700	0.0700	
12955					0	0	0.0000	0.0000	
13037					6	1553	0.0250	0.1200	
13103					0	0	0.0000	0.0000	
13251					0	0	0.0000	0.0000	
13457					0	0	0.0000	0.0000	
14052					4	140	0.0440	0.0725	
14155					0	0	0	0	
14258					3	907	0.0625	0.1800	
14409	0	0	0.0000	0.0000					
14454					0	0	0.0000	0.0000	
14650					0	0	0.0000	0.0000	
14753					1	1	0.0850	0.1000	
14865					0	0	0.0000	0.0000	
15536					0	0	0.0000	0.0000	
16337					0	0	0.0000	0.0000	
16458					0	0	0.0000	0.0000	
16551					0	0	0.0000	0.0000	
16748					0	0	0.0000	0.0000	
16944					0	0	0.0000	0.0000	
16953					3	8	0.0360	0.0750	
17110					2	275	0.0525	0.0625	
17147					0	0	0	0	
17259					0	0	0.0000	0.0000	
17464					2	48	0.0725	0.0750	
17549					0	0	0.0000	0.0000	
17839					0	0	0.0000	0.0000	
17950					1	10	0.0775	0.0775	
18050					0	0	0.0000	0.0000	
18135					1	376	0.0525	0.0525	
18368					0	0	0.0000	0.0000	
18377					0	0	0.0000	0.0000	
18827					0	0	0.0000	0.0000	
18836					1	14	0.0525	0.0525	
18854					0	0	0	0	
18957					0	0	0.0000	0.0000	
19356					0	0	0.0000	0.0000	
19730					3	875	0.0000	0.0600	
19936					0	0	0	0	
19972					0	0	0	0	
20053					0	0	0.0000	0.0000	
20147					3	28	0.0410	0.0600	
20259					0	0	0.0000	0.0000	
20370					0	0	0	0	
20512					0	0	0	0	
20633					2	16	0.0650	0.0900	
20754					0	0	0.0000	0.0000	
20839					1	200	0.0600	0.0600	
20857					0	0	0.0000	0.0000	
20866					2	195	0.0725	0.0900	
21256					1	3	0.1	0.1	
21359					0	0	0.0000	0.0000	
21630					0	0	0.0000	0.0000	
21658					0	0	0	0	
22048					1	5	0.0675	0.0675	
22235					2	43	0.0625	0.0650	
22356					0	0	0.0000	0.0000	
22459					1	25	0.0465	0.0465	
22543					0	0	0.0000	0.0000	
22552					0	0	0.0000	0.0000	
22730					1	300	0.0575	0.0575	
22936					2	124	0.0600	0.0600	
22954					4	211	0.065	0.08	
23036					0	0	0.0000	0.0000	
23045					0	0	0.0000	0.0000	
23241					0	0	0	0	
23456					4	35	0.0590	0.0725	
23504					0	0	0.0000	0.0000	
23540					0	0	0.0000	0.0000	
23643					0	0	0.0000	0.0000	
23755					0	0	0.0000	0.0000	
23812					1	6300	0.0588	0.0588	
24006					0	0	0.0000	0.0000	
24266					0	0	0.0000	0.0000	
24453					0	0	0	0	
24659					0	0	0.0000	0.0000	
24668					0	0	0.0000	0.0000	
24855					0	0	0.0000	0.0000	
24949					0	0	0.0000	0.0000	
25357					0	0	0	0	
25647					0	0	0	0	
25852					2	29	0.0649	0.0760	
26149					0	0	0.0000	0.0000	
26233					0	0	0.0000	0.0000	
26242					1	250	0.0600	0.0600	
26457					0	0	0.0000	0.0000	
26756					0	0	0	0	
26765					2	2	0.0600	0.0750	
26859					0	0	0.0000	0.0000	
26916					0	0	0.0000	0.0000	
27548					6	3399	0.0538	0.0700	
27614					0	0	0.0000	0.0000	
27838					1	200	0.0550	0.0550	
27847					0	0	0.0000	0.0000	
28013					0	0	0.0000	0.0000	
28152					0	0	0	0	
28255					0	0	0.0000	0.0000	
28349					1	8	0.0350	0.0350	
28406					0	0	0.0000	0.0000	
28572					0	0	0	0	
28732					0	0	0.0000	0.0000	
29104					0	0	0.0000	0.0000	
29159					0	0	0.0000	0.0000	
29252					0	0	0.0000	0.0000	
29636					0	0	0.0000	0.0000	
29850					0	0	0.0000	0.0000	
29944					0	0	0.0000	0.0000	
29953					0	0	0.0000	0.0000	
30052					0	0	0.0000	0.0000	
30155					0	0	0	0	
30258					0	0	0.0000	0.0000	
30418					0	0	0.0000	0.0000	
30502					0	0	0.0000	0.0000	
30650					0	0	0.0000	0.0000	
30810					0	0	0	0	
30856					0	0	0.0000	0.0000	
31134					0	0	0.0000	0.0000	
31255					0	0	0.0000	0.0000	
31657					3	131	0.0375	0.0700	
31826					0	0	0.0000	0.0000	
31835					3	51	0.033	0.0725	
32159					0	0	0.0000	0.0000	
32234					1	39	0.0700	0.0700	
32766					0	0	0.0000	0.0000	
33147					0	0	0	0	
33259					0	0	0.0000	0.0000	
33268					0	0	0.0000	0.0000	
33549					0	0	0.0000	0.0000	
33727					0	0	0.0000	0.0000	
33754					0	0	0.0000	0.0000	
33772					0	0	0	0	
33839					0	0	0	0	
33857					1	9	0.0625	0.0625	
34153					0	0	0.0000	0.0000	
34359					0	0	0	0	
34425					0	0	0.0000	0.0000	
34434					5	100	0.0550	0.0600	
34452					0	0	0.0000	0.0000	
34537					0	0	0.0000	0.0000	
34555					0	0	0.0000	0.0000	
34742					4	175	0.0675	0.0725	
34836					0	0	0	0	
34863					2	11	0.0350	0.0450	
35057					1	11	0.0694	0.0694	
35244					0	0	0	0	
35301	0	0	0.0000	0.0000					
35570					0	0	0.0000	0.0000	
35646					0	0	0.0000	0.0000	
35842					2	38	0.0650	0.0700	
35936					0	0	0.0000	0.0000	
36054					3	299	0.0450	0.0750	
36344					0	0	0.0000	0.0000	
36456					5	145	0.05	0.05	
36858					0	0	0.0000	0.0000	
36933					0	0	0.0000	0.0000	
37051					0	0	0.0000	0.0000	
37341					1	150	0.0600	0.0600	
37350					0	0	0.0000	0.0000	
37378					0	0	0.0000	0.0000	
37435					1	210	0.0725	0.0725	
37640					2	255	0.0500	0.0500	
37659					1	2	0.0575	0.0575	
37743					0	0	0	0	
37949					0	0	0.0000	0.0000	
38478					0	0	0.0000	0.0000	
38526					0	0	0.0000	0.0000	
38535					0	0	0.0000	0.0000	
38740					2	21	0.0404	0.1500	
39327					0	0	0.0000	0.0000	
39420					1	5	0.16	0.16	
39475					0	0	0.0000	0.0000	
39756					0	0	0.0000	0.0000	
39934					0	0	0.0000	0.0000	
40033					9	169	0.0326	0.0775	
40305					0	0	0	0	
40350					0	0	0.0000	0.0000	
40707					0	0	0.0000	0.0000	
40855					0	0	0.0000	0.0000	
41245					0	0	0.0000	0.0000	
41553					2	13	0.0850	0.0900	
41629					0	0	0.0000	0.0000	
41647					0	0	0	0	
41759					0	0	0.0000	0.0000	
41825					0	0	0	0	
41937					0	0	0.0000	0.0000	
41955					0	0	0	0	
42037					0	0	0.0000	0.0000	
42055					0	0	0.0000	0.0000	
42354					1	390	0.0600	0.0600	
42420					0	0	0	0	
42448					1	31	0.0583	0.0583	
42457					1	20	0.0650	0.0650	
42541	0	0	0	0					
43052					0	0	0.0000	0.0000	
43155					0	0	0.0000	0.0000	
43173	0	0	0.0000	0.0000					
43324					0	0	0.0000	0.0000	
43351					0	0	0	0	
43454					0	0	0.0000	0.0000	
43511					1	50	0.0499	0.0499	
43641					0	0	0.0000	0.0000	
43744					0	0	0.0000	0.0000	
43856					0	0	0.0000	0.0000	
43959					0	0	0.0000	0.0000	
44040					1	18	0.0421	0.0421	
44134	0	0	0	0					
44433					0	0	0.0000	0.0000	
44451					1	17	0.0825	0.0825	
44602					0	0	0.0000	0.0000	
44741					0	0	0.0000	0.0000	
44750					4	163	0.06	0.06	
44929					1	10	0.0750	0.0750	
45038					0	0	0.0000	0.0000	
45047					0	0	0.0000	0.0000	
45056					1	150	0.0675	0.0675	
45430					1	50	0.0450	0.0450	
45458					0	0	0.0000	0.0000	
45551					0	0	0.0000	0.0000	
45560					1	314	0.0575	0.0575	
45627					0	0	0.0000	0.0000	
45775					0	0	0.0000	0.0000	
46053					2	390	0.0500	0.0625	
46941					1	7	0.0700	0.0700	
47153					0	0	0	0	
47247					0	0	0.0000	0.0000	
47256					0	0	0.0000	0.0000	
47452					0	0	0.0000	0.0000	
47500					3	549	0.0425	0.0525	
48057					2	15	0.06	0.065	
48150					0	0	0.0000	0.0000	
48374					0	0	0.0000	0.0000	
48440					0	0	0.0000	0.0000	
48552					0	0	0.0000	0.0000	
48730					0	0	0.0000	0.0000	
49054					0	0	0.0000	0.0000	
49148					1	12	0.0408	0.0408	
49241					4	112	0.0750	0.0950	
49344					0	0	0.0000	0.0000	
49540					0	0	0.0000	0.0000	
49643					0	0	0.0000	0.0000	
49652					0	0	0.0000	0.0000	
49821					1	100	0.0550	0.0550	
49858					3	166	0.031	0.15	
49951					0	0	0.0000	0.0000	
50144					2	8	0.0725	0.1690	
50461					0	0	0	0	
50546					2	6	0.0375	0.0800	
50854					0	0	0.0000	0.0000	
50957					0	0	0.0000	0.0000	
51253					0	0	0	0	
51356					0	0	0	0	
51459					1	50	0.0500	0.0500	
51730					0	0	0.0000	0.0000	
51842					3	32	0.0375	0.0375	
52410					0	0	0.0000	0.0000	
52456					0	0	0.0000	0.0000	
52719					0	0	0.0000	0.0000	
52951					1	30	0.0875	0.0875	
53015					0	0	0	0	
53033	0	0	0.0000	0.0000					
53051					0	0	0.0000	0.0000	
53239					0	0	0	0	
53453					0	0	0.0000	0.0000	
