RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
6545,0,2435,6506,0,14039,0,0,0,0,51529,0,693,,29625,2769,3886,11604,50836,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2005-03-31
3198,0,907,3499,0,8107,0,0,0,0,14718,0,1131,,7509,1487,1266,7200,13587,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2005-03-31
11524,0,0,2612,0,10464,0,0,0,0,68534,0,0,,35982,2243,9095,10464,68534,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2005-03-31
1141,0,70,1237,0,1237,0,0,0,0,5973,0,1675,,2573,1259,0,1167,4298,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2005-03-31
16770,0,5183,33956,0,52514,0,0,6867,0,97021,0,8868,,43045,8395,8050,47331,88153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2005-03-31
3174,0,482,2877,0,4979,0,0,1093,0,18724,0,1588,,8854,3490,700,4497,16043,0,1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2005-03-31
63206,6,11252,42488,0,73184,0,0,0,0,188256,0,47553,,46962,45347,8022,61926,140503,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2005-03-31
62427,0,483,62825,0,112424,0,0,0,0,212912,0,9994,,72572,35101,9939,111475,193906,466,9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2005-03-31
392,2,1065,12902,0,47834,0,0,0,0,73509,0,14016,,39225,13245,9159,46756,59493,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2005-03-31
3538,10,5604,10985,0,21631,0,0,0,0,67717,0,3776,,35034,16064,5175,16017,63941,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2005-03-31
2430,115,2868,78406,0,140043,0,0,0,0,200231,6,13008,,45865,111853,13825,137054,187217,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2005-03-31
2042,1,1087,4210,0,7490,0,0,0,0,20525,0,2128,,11980,2459,1830,6402,18347,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2005-03-31
54763,14,47408,35862,0,48170,0,0,28000,0,266656,0,1830,,48174,93723,11349,576,264544,172,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,2005-03-31
13319,6,15529,34041,0,77086,0,0,0,0,104823,0,538,,58179,13767,10768,61442,104178,109,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2005-03-31
33068,2,56,54016,0,71452,0,0,0,0,189807,0,3235,,90011,34989,18325,70609,186572,785,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829,2005-03-31
634,0,355,1621,0,2731,0,0,35057,0,64910,0,20508,,1818,1661,3,2376,44402,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,2005-03-31
6781,15,2600,9492,0,27369,0,0,14237,0,88122,0,4367,,29906,27442,9651,24754,83755,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,2005-03-31
13945,0,3817,16624,0,36353,0,0,0,0,61330,0,18883,,15191,4912,6064,32536,42447,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161,2005-03-31
233078,0,211,31627,0,76206,0,0,0,0,640178,0,132,,317006,26027,47725,75995,640046,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376,2005-03-31
1773,0,574,1724,0,3695,0,0,896,0,12656,0,1698,,6413,1325,600,3121,10364,0,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451,2005-03-31
532,0,148,1375,0,2955,0,0,0,0,3372,0,766,,2231,0,0,2807,2606,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554,2005-03-31
40749,6,4254,76799,0,115309,0,0,0,0,329104,0,75771,,61049,108852,10411,111049,253333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732,2005-03-31
5234,0,872,2895,0,8255,0,0,605,0,30944,0,5129,,14988,2203,1650,7383,24925,0,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2005-03-31
13143,0,9313,61783,0,65713,0,0,60429,0,187440,0,12238,,18438,83980,5138,55100,175102,1300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938,2005-03-31
5132,32,802,9001,0,22291,0,0,0,0,75192,0,13309,,37738,18193,5823,21457,61883,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2956,2005-03-31
9797,1,628,13391,0,26458,0,0,0,0,44797,0,3517,,17715,7438,4747,25829,41280,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252,2005-03-31
1326,3,2162,2353,0,6581,0,0,0,0,12545,0,1562,,6634,1491,415,4416,10983,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,2005-03-31
112621,82,2702,100570,0,148436,0,0,0,0,1084885,0,59477,,292227,626886,33339,138270,1025408,7382,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3506,2005-03-31
29169,17,15085,35266,0,81704,0,0,0,0,158846,0,2805,,77276,14951,17139,66602,151976,0,4065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3579,2005-03-31
19453,0,3649,17836,0,56286,0,0,0,0,69650,0,1823,,31183,2080,4501,52637,67827,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720,2005-03-31
5366,49,1430,17721,0,26214,0,0,0,0,52628,0,5548,,16646,20384,432,24735,47080,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3953,2005-03-31
