RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
5331,0,4225,6076,0,14142,0,0,0,0,51398,0,1015,3648,28894,3591,4041,9917,50383,0,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2008-12-31
3011,0,244,3922,0,8466,0,0,0,0,16325,0,1680,1638,7071,2955,1421,8222,14645,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2008-12-31
11996,0,0,5713,0,16574,0,0,0,0,76005,0,0,0,38303,1396,11323,16574,76005,0,0,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2008-12-31
923,0,64,2132,0,2132,0,0,0,0,5180,0,1227,85,2860,998,0,2068,3953,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2008-12-31
3187,0,305,3014,0,5208,0,0,99,0,19447,0,1397,901,9515,4655,982,4903,17951,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2008-12-31
98835,13,3626,12472,0,19345,0,0,0,0,241332,0,59776,60185,48531,63755,6937,15706,181556,0,0,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2008-12-31
378,15,878,24057,0,64488,0,0,0,0,84618,0,6430,6252,47888,11759,11484,63591,78188,4,0,4224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2008-12-31
3766,18,8490,10644,0,24541,0,0,0,0,88274,0,2957,10358,41118,19785,7574,16033,85317,0,0,2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2008-12-31
1145,424,7536,117901,0,197719,0,0,0,0,219364,13,17495,11949,56735,114493,19187,189759,201856,0,0,3949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2008-12-31
3794,26,955,6654,0,10471,0,0,0,0,24145,0,3163,2027,11531,1621,1880,9490,20932,0,50,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2008-12-31
