RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
5329,0,5269,7720,0,18184,0,0,0,0,48744,0,345,4638,26994,1861,4508,12915,48399,0,0,460,,,,,,,,,,,,14232,329,,0,0,0,,,,,,,,,,,,,37,2012-12-31
4158,0,337,7829,0,12921,0,0,0,0,14798,0,1166,612,6270,3023,1873,12584,13632,0,0,255,,,,,,,,,,,,1347,0,,0,0,0,,,,,,,,,,,,,242,2012-12-31
19781,0,0,7274,0,23156,0,0,0,0,88431,0,0,0,32766,3146,12397,23156,88431,0,0,4559,,,,,,,,,,,,29611,3127,,0,2376,0,,,,,,,,,,,,,279,2012-12-31
1939,0,114,3509,0,3509,0,0,0,0,6599,0,925,309,2591,1288,0,3395,5674,0,0,0,,,,,,,,,,,,781,0,,0,0,0,,,,,,,,,,,,,354,2012-12-31
4522,0,548,5000,0,8107,0,0,0,0,25576,0,1638,1094,9141,9173,2385,7559,23938,0,0,452,,,,,,,,,,,,2740,0,,0,0,0,,,,,,,,,,,,,457,2012-12-31
128755,0,4196,14017,0,26115,0,0,611,0,314741,0,97681,86557,32149,138425,6913,21919,217060,0,0,1769,,,,,,,,,,,,11322,4090,,0,4089,0,,,,,,,,,,,,,505,2012-12-31
748,3,3621,23786,0,106034,0,0,0,0,81350,0,1862,3277,45339,8349,13616,102377,79488,33,0,5164,,,,,,,,,,,,19717,7197,,0,4217,0,,,,,,,,,,,,,1155,2012-12-31
4248,0,9870,14431,0,28283,0,0,0,0,114874,0,6096,12466,48795,18007,10175,18413,108778,0,0,3957,,,,,,,,,,,,33381,10443,,0,7684,0,,,,,,,,,,,,,1351,2012-12-31
1120,0,11495,164175,0,284656,0,0,0,0,284962,680,25387,28058,50029,179256,25233,273161,258895,0,0,7482,,,,,,,,,,,,19719,34838,,0,2953,0,,,,,,,,,,,,,1454,2012-12-31
9051,0,2925,24067,0,34023,0,0,0,0,28807,0,2058,2510,11217,2544,1856,31098,21794,0,4955,248,,,,,,,,,,,,3542,2453,,0,2197,0,,,,,,,,,,,,,1557,2012-12-31
18072,5,18047,44154,0,97463,0,0,0,0,107734,0,357,18403,42129,24411,11399,79303,107016,108,361,2169,,,,,,,,,,,,18394,4728,,0,0,0,,,,,,,,,,,,,1669,2012-12-31
44776,0,33,87095,0,108940,0,0,595,0,232937,0,2539,2539,68039,81845,21984,108907,230322,0,76,7843,,,,,,,,,,,,26448,11829,,0,7449,0,,,,,,,,,,,,,1829,2012-12-31
1045,0,882,2864,0,5094,0,0,40322,0,66558,0,539,0,63717,1696,0,4212,47844,0,18175,0,,,,,,,,,,,,100,0,,0,0,18424,,,,,,,,,,,,,1856,2012-12-31
12611,12,1729,18573,0,40610,0,0,52807,0,131714,0,6663,3248,51835,57793,7353,38869,124575,0,476,1728,,,,,,,,,,,,7777,1699,,0,4849,0,,,,,,,,,,,,,2040,2012-12-31
19467,0,8845,22094,0,57958,0,0,0,0,62135,0,10777,16258,12642,5633,7461,49113,51358,0,0,187,,,,,,,,,,,,10351,14042,,0,14042,0,,,,,,,,,,,,,2161,2012-12-31
379676,0,9603,21729,0,48243,0,0,22888,0,1326935,0,77484,79880,322401,436885,73571,38640,1249451,0,0,24296,,,,,,,,,,,,152770,35202,,0,25873,0,,,,,,,,,,,,,2376,2012-12-31
1716,0,161,170,0,6578,0,0,0,0,5366,38,678,0,3050,0,1,6417,4650,0,0,0,,,,,,,,,,,,601,0,,0,0,0,,,,,,,,,,,,,2554,2012-12-31
53172,0,12310,91874,0,152148,0,0,0,0,315852,0,11225,16547,51090,62256,15632,139838,304627,0,0,5273,,,,,,,,,,,,45154,104180,,0,104180,0,,,,,,,,,,,,,2732,2012-12-31
10317,0,1509,6210,0,14625,0,0,0,0,31992,0,7117,5890,11806,795,1962,13116,24536,0,339,261,,,,,,,,,,,,5644,3430,,0,2768,0,,,,,,,,,,,,,2750,2012-12-31
508218,0,21379,36783,0,75404,0,0,0,0,734414,0,136249,157628,137865,8722,52640,54025,597908,0,257,20172,,,,,,,,,,,,58480,21130,,0,12918,0,,,,,,,,,,,,,3177,2012-12-31
15048,0,269,24357,0,65077,0,0,8275,0,71275,0,6306,4661,16690,12412,6223,64808,63867,0,1102,0,,,,,,,,,,,,13143,13982,,0,12360,0,,,,,,,,,,,,,3252,2012-12-31
1810,0,3036,3374,0,10352,0,0,0,0,16305,0,1697,3557,7441,1977,663,7316,14608,0,0,110,,,,,,,,,,,,5077,0,,0,0,0,,,,,,,,,,,,,3458,2012-12-31
26868,0,16703,28727,0,86057,0,0,0,0,85892,0,1523,15939,26045,4637,6929,69354,84369,0,0,2896,,,,,,,,,,,,15828,12513,,0,12513,0,,,,,,,,,,,,,3720,2012-12-31
86414,0,1014,18600,0,37734,0,0,0,0,501568,0,14043,7337,142178,208114,33193,36720,486380,0,1145,11885,,,,,,,,,,,,54083,10779,,0,7588,896,,,,,,,,,,,,,3971,2012-12-31
16395,0,20174,31113,0,79364,0,0,15283,0,96180,0,8373,18436,30368,23288,6457,59190,87462,0,345,2801,,,,,,,,,,,,23356,2773,,0,2127,0,,,,,,,,,,,,,4156,2012-12-31
