RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
8613,0,5392,14250,0,23804,0,0,0,0,40836,0,369,,21825,2301,3863,18412,40467,0,0,411,,,,,,,,,,,,7744,353,,0,0,0,,,,,,true,,,,,,,37,2016-06-30
5321,0,587,6750,0,12534,0,0,0,0,16074,0,2072,,4537,3145,1443,11947,14002,0,0,0,,,,,,,,,,,,1667,1404,,0,750,0,,,,,,true,,,,,,,242,2016-06-30
34167,0,0,9688,0,36563,0,0,0,0,111642,0,0,,32129,1571,12941,36563,111642,0,0,4509,,,,,,,,,,,,36832,6943,,0,2672,0,,,,,,true,,,,,,,279,2016-06-30
2014,0,105,2568,0,2568,0,0,0,0,5279,0,1091,,1740,1216,0,2463,4188,0,0,0,,,,,,,,,,,,308,0,,0,0,0,,,,,,false,,,,,,,354,2016-06-30
6679,0,411,5647,0,8701,0,0,0,0,25764,0,2982,,6307,10526,1911,8290,22782,0,0,341,,,,,,,,,,,,2252,0,,0,0,0,,,,,,true,,,,,,,457,2016-06-30
182597,2,6972,16280,0,28784,0,0,0,0,333231,0,87912,,20042,120404,5623,21810,245319,0,0,1636,,,,,,,,,,,,7190,2998,,0,2747,0,,,,,,true,,,,,,,505,2016-06-30
945,2,5904,25593,0,117630,0,0,1751,0,63287,0,1286,,33209,8769,9776,111558,62001,166,0,3724,,,,,,,,,,,,15475,4889,,0,2501,0,,,,,,true,,,,,,,1155,2016-06-30
5806,0,9228,16805,0,32358,0,0,0,0,98216,0,7311,,38305,17866,8760,23130,90905,0,0,3436,,,,,,,,,,,,25901,10338,,0,6585,0,,,,,,false,,,,,,,1351,2016-06-30
825,0,12631,307794,0,441843,0,0,0,0,422184,1018,23025,,42530,318459,26359,429212,398141,0,0,8774,,,,,,,,,,,,19224,41146,,0,9485,0,,,,,,true,,,,,,,1454,2016-06-30
9753,0,4008,20846,0,28870,0,0,0,0,28477,0,2587,,8034,3038,1589,24862,25890,0,0,0,,,,,,,,,,,,4566,3088,,0,2805,0,,,,,,false,,,,,,,1557,2016-06-30
27523,12,21402,53600,0,117705,0,0,0,0,102093,0,351,,31246,24782,9808,96163,101702,128,40,1532,,,,,,,,,,,,13855,4687,,0,0,0,,,,,,true,,,,,,,1669,2016-06-30
51999,0,2,106319,0,131204,0,0,2663,0,190878,0,6539,,40237,73745,17816,131202,184339,0,0,7338,,,,,,,,,,,,13575,11322,,0,7837,0,,,,,,true,,,,,,,1829,2016-06-30
1360,0,458,3204,0,5234,0,0,8550,0,62489,0,505,,20389,17583,0,4776,36348,0,25636,0,,,,,,,,,,,,20660,2497,,0,2000,25286,,,,,,false,,,,,,,1856,2016-06-30
15132,6,279,21449,0,39739,0,0,25219,0,96921,0,6847,,28810,45977,4458,39454,89813,0,261,850,,,,,,,,,,,,6389,613,,0,310,0,,,,,,true,,,,,,,2040,2016-06-30
25499,0,1147,28887,0,61712,0,0,0,0,58301,0,604,,10312,9511,7418,60565,57697,0,0,0,,,,,,,,,,,,8111,4868,,0,3939,0,,,,,,true,,,,,,,2161,2016-06-30
563433,0,24750,25563,0,80820,0,0,253187,0,2204677,11000,214673,,377081,681710,97784,56070,1958207,0,20797,40280,,,,,,,,,,,,391584,190869,,0,134878,16752,,,,,,true,8345,20294,332970,308986,304141,91653,2376,2016-06-30
2167,0,182,44,0,7397,0,0,0,0,5376,0,443,,2803,0,0,7215,4933,0,0,0,,,,,,,,,,,,406,0,,0,0,0,,,,,,false,,,,,,,2554,2016-06-30
58365,0,12417,122132,0,171050,0,0,0,0,289450,0,11272,,32747,109138,12429,158633,278178,0,0,3913,,,,,,,,,,,,24241,64959,,0,63979,0,,,,,,true,,,,,,,2732,2016-06-30
17107,0,4077,4675,0,15455,0,0,0,0,32035,0,6384,,8807,714,1475,11378,25407,0,244,227,,,,,,,,,,,,4024,1383,,0,1122,0,,,,,,true,,,,,,,2750,2016-06-30
502194,0,23041,51335,0,77903,0,0,0,0,739386,0,140895,,110703,49125,41083,54862,598491,0,0,15511,,,,,,,,,,,,60343,17021,,0,11322,0,,,,,,true,23779,26,0,49125,260028,101271,3177,2016-06-30
14082,0,56191,24251,0,82855,0,0,11250,0,77148,1995,18700,,14247,17614,5537,26664,56213,0,240,0,,,,,,,,,,,,21146,10059,,0,7701,0,,,,,,false,,,,,,,3252,2016-06-30
2000,0,3626,5034,0,13340,0,0,0,0,21078,0,3439,,7610,2909,835,9714,17639,0,0,0,,,,,,,,,,,,6905,1654,,0,1354,0,,,,,,false,,,,,,,3458,2016-06-30
33125,0,25918,36947,0,107686,0,0,0,0,97490,0,12291,,22770,6795,6875,81768,85199,0,0,2564,,,,,,,,,,,,16282,18518,,0,14704,0,,,,,,false,,,,,,,3720,2016-06-30
106897,0,731,22637,0,41687,0,0,8554,0,556015,0,15054,,118688,251651,25308,40956,528338,0,12623,7983,,,,,,,,,,,,61754,17025,,0,8419,4069,,,,,,true,,,,,,,3971,2016-06-30
21011,0,16577,28534,0,77110,0,0,12376,0,96299,0,10680,,21867,22929,5453,60533,80175,0,5444,2267,,,,,,,,,,,,26163,4329,,0,3206,5693,,,,,,true,,,,,,,4156,2016-06-30
