RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
6454,0,2183,6078,0,14647,0,0,0,0,50775,0,559,2742,28881,2811,3946,12464,50216,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2005-12-31
2843,4,596,3438,0,8027,0,0,0,0,14492,0,890,1174,7907,1460,1218,7427,13602,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2005-12-31
10679,0,0,3835,0,11959,0,0,0,0,67598,0,0,0,35731,2280,9418,11959,67598,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2005-12-31
1033,0,103,1359,0,1359,0,0,0,0,5548,0,1550,1131,2538,1277,0,1256,3998,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2005-12-31
17546,0,5991,41517,0,60200,0,0,2398,0,91944,0,6057,9543,43241,6642,8234,54209,85887,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2005-12-31
3195,0,530,3218,0,5341,0,0,1586,0,19973,0,1508,1255,8623,4189,732,4811,16879,0,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2005-12-31
118875,9,4699,11297,0,22091,0,0,0,0,244725,0,51832,54132,53242,44203,8141,17383,192793,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2005-12-31
116709,0,361,79210,0,133318,0,0,0,0,262472,0,9920,9595,74663,28916,10087,132581,238305,376,14247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2005-12-31
323,42,887,13380,0,45618,0,0,0,0,78235,0,18067,17741,41053,10266,9342,44626,60168,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2005-12-31
3532,4,6673,9804,0,20825,0,0,0,0,65399,0,3912,8776,33999,14911,4846,14148,61487,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2005-12-31
1642,246,4275,101401,0,165870,0,0,0,0,189360,7,13679,15839,44438,100738,14071,161343,175674,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2005-12-31
2522,2,810,4065,0,6669,0,0,0,0,19451,0,2029,1524,11475,2051,1871,5857,17372,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2005-12-31
62957,38,45300,38008,0,45964,0,0,21000,0,322951,0,3200,18082,62612,107127,14672,549,319376,77,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,2005-12-31
12463,3,9627,36176,0,75377,0,0,0,0,105294,0,2610,11300,57626,11672,10467,65733,102684,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2005-12-31
30453,10,1154,54134,0,69333,0,0,0,0,188944,0,2832,2773,94066,28292,17656,67905,186112,264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829,2005-12-31
499,0,905,1544,0,2849,0,0,39063,0,84337,0,21494,22318,1965,1033,3,1944,48843,0,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,2005-12-31
