RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
25456,18,701,16376,0,23938,0,0,0,0,116732,0,4009,,42719,22338,9389,23219,112723,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,2003-03-31
9856,0,1123,11760,0,23167,0,0,2940,0,59334,0,4353,,25504,17199,5723,22044,54981,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4147,2003-03-31
7127,0,4525,12226,0,27993,0,0,0,0,57782,0,6565,,28177,12402,5495,23468,51217,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,2003-03-31
9152,1,7979,12527,0,25530,0,0,0,0,57148,0,5947,,20489,5612,7417,17550,51201,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4231,2003-03-31
70084,3,669,15351,0,32891,0,0,0,0,101006,0,489,,25587,24,7429,32219,100517,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437,2003-03-31
800,0,261,1019,0,2102,0,0,0,0,6547,0,1329,,3945,847,1181,1841,5218,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4745,2003-03-31
31867,11,17,34586,0,39178,0,0,9218,0,133462,0,4200,,47220,15096,7892,39048,128866,102,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4839,2003-03-31
63970,47,2173,25026,0,45330,0,0,0,0,199814,0,236,,84605,17232,17541,43110,199578,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005,2003-03-31
4963,1,1863,12174,0,20718,0,0,0,0,59259,0,14939,,20977,16387,5443,18763,44121,91,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050,2003-03-31
49581,0,0,6247,0,8620,0,1181,77616,0,271045,0,9682,,109321,6766,646,8620,226900,0,33282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069,2003-03-31
12013,0,5232,18741,0,41016,0,0,0,0,103134,0,5796,,43627,16585,10207,35784,95660,0,1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135,2003-03-31
119293,73,21423,75631,0,161647,0,0,0,0,443898,0,7505,,195420,95051,40020,140151,436393,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210,2003-03-31
197341,0,1826,32263,0,38481,0,0,0,0,821166,0,9416,,185370,396441,42147,36655,811750,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247,2003-03-31
