RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
5191,0,5593,6261,0,16422,0,0,0,0,52247,0,501,5912,29505,2113,4995,10829,51746,0,0,840,,,,,,,,,,,,15119,320,,0,0,0,,,,,,,,,,,,,37,2011-12-31
3910,0,144,5725,0,10294,0,0,0,0,14931,0,589,515,6470,2458,1896,10150,14342,0,0,250,,,,,,,,,,,,2093,0,,0,0,0,,,,,,,,,,,,,242,2011-12-31
17555,0,0,6500,0,20611,0,0,0,0,85533,0,0,0,33640,2600,12227,20611,85533,0,0,4439,,,,,,,,,,,,29653,2086,,0,1586,0,,,,,,,,,,,,,279,2011-12-31
999,0,117,2656,0,2656,0,0,0,0,6341,0,1681,781,2828,1278,0,2539,4660,0,0,0,,,,,,,,,,,,1236,0,,0,0,0,,,,,,,,,,,,,354,2011-12-31
3937,0,379,3961,0,6804,0,0,0,0,24803,0,1623,666,10001,7831,2342,6425,23180,0,0,449,,,,,,,,,,,,3034,0,,0,0,0,,,,,,,,,,,,,457,2011-12-31
108784,0,3185,12817,0,23130,0,0,608,0,285435,0,75333,69110,38288,115966,7676,19945,210102,0,0,2186,,,,,,,,,,,,13927,8470,,0,7529,0,,,,,,,,,,,,,505,2011-12-31
738,5,4564,21472,0,92402,0,0,0,0,97777,0,2667,5354,54260,7464,14638,87764,94860,69,250,5973,,,,,,,,,,,,26111,9204,,0,8134,0,,,,,,,,,,,,,1155,2011-12-31
3770,0,7510,12411,0,24449,0,0,0,0,112629,0,4729,11839,49647,20892,10055,16939,107900,0,0,3718,,,,,,,,,,,,30132,8188,,0,6211,0,,,,,,,,,,,,,1351,2011-12-31
1235,12,8849,137179,0,245049,0,0,0,0,268518,720,33560,34455,51501,150145,25199,236188,234238,0,0,8022,,,,,,,,,,,,21531,44106,,0,10682,0,,,,,,,,,,,,,1454,2011-12-31
6070,8,1283,16778,0,23739,0,0,0,0,28945,0,2907,2040,11874,3249,1922,22448,24293,0,1745,252,,,,,,,,,,,,4648,3104,,0,1794,0,,,,,,,,,,,,,1557,2011-12-31
16396,4,16690,40769,0,89841,0,0,0,0,104129,0,365,17055,46778,17426,11976,72973,103723,174,41,2688,,,,,,,,,,,,20527,3002,,0,0,0,,,,,,,,,,,,,1669,2011-12-31
43458,0,34,79529,0,98580,0,0,1710,0,236978,0,6649,5860,73855,78275,23239,98546,230168,0,161,8662,,,,,,,,,,,,25843,15547,,0,8675,0,,,,,,,,,,,,,1829,2011-12-31
887,0,393,2167,0,3825,0,0,57609,0,64882,0,285,0,62271,1624,0,3432,64597,0,0,0,,,,,,,,,,,,100,0,,0,0,0,,,,,,,,,,,,,1856,2011-12-31
11116,4,1503,15338,0,36500,0,0,30945,0,111156,0,7407,697,41061,48476,7925,34993,103516,0,233,1649,,,,,,,,,,,,9700,803,,0,2282,0,,,,,,,,,,,,,2040,2011-12-31
17863,0,10149,20856,0,54682,0,0,0,0,61350,0,10739,17532,14371,3535,7005,44533,50611,0,0,185,,,,,,,,,,,,12528,13052,,0,12651,0,,,,,,,,,,,,,2161,2011-12-31
318694,0,8703,19016,0,36079,0,0,22888,0,1338350,0,40009,42277,396188,386185,77946,27376,1298341,0,0,27220,,,,,,,,,,,,192884,44399,,0,35891,0,,,,,,,,,,,,,2376,2011-12-31
1117,0,157,42,0,4643,0,0,0,0,5668,37,1706,0,2657,0,2,4486,3925,0,0,0,,,,,,,,,,,,1144,750,,0,750,0,,,,,,,,,,,,,2554,2011-12-31
36122,0,11016,86576,0,129464,0,0,0,0,315286,0,17746,18144,64126,54679,15580,118448,297540,0,0,5534,,,,,,,,,,,,47699,112660,,0,109746,0,,,,,,,,,,,,,2732,2011-12-31
8566,0,1638,4177,0,10886,0,0,143,0,33818,0,8697,7456,13020,676,1940,9248,24594,0,527,360,,,,,,,,,,,,6861,4695,,0,2458,0,,,,,,,,,,,,,2750,2011-12-31
11989,0,339,14475,0,52072,0,0,11389,0,70910,0,7482,4768,16399,13598,6217,51733,61277,0,2151,0,,,,,,,,,,,,14992,13932,,0,12260,0,,,,,,,,,,,,,3252,2011-12-31
1581,0,2623,3526,0,9994,0,0,0,0,15734,0,1698,2789,7332,1902,634,7371,14036,0,0,114,,,,,,,,,,,,4919,0,,0,0,0,,,,,,,,,,,,,3458,2011-12-31
23433,0,18936,25794,0,79757,0,0,0,0,86980,0,1516,15108,31878,3434,7603,60821,85464,0,0,3017,,,,,,,,,,,,16912,11322,,0,11322,0,,,,,,,,,,,,,3720,2011-12-31
1477,0,163,16039,0,18949,0,0,0,0,32063,0,837,0,5035,17811,0,18786,30727,0,499,0,,,,,,,,,,,,6003,1737,,0,1737,499,,,,,,,,,,,,,3953,2011-12-31
13761,0,17804,28401,0,72028,0,0,14084,0,94824,0,7254,15595,34906,18038,6768,54224,86337,0,1233,2616,,,,,,,,,,,,24082,4037,,0,3375,0,,,,,,,,,,,,,4156,2011-12-31
11276,0,12743,17599,0,31846,0,0,0,0,81517,0,3505,12681,29424,7443,19474,19103,78012,0,0,12816,,,,,,,,,,,,24116,9258,,0,5731,3515,,,,,,,,,,,,,4231,2011-12-31
62376,0,5108,26576,0,68021,0,0,4489,0,163402,0,14827,13428,36596,19304,11856,62913,148575,0,0,0,,,,,,,,,,,,35082,10043,,0,6420,0,,,,,,,,,,,,,4437,2011-12-31
24235,0,44,34141,0,46898,0,0,28461,0,218231,0,6897,2900,75884,47554,10665,46854,187423,0,23911,3289,,,,,,,,,,,,47932,22626,,0,21675,33573,,,,,,,,,,,,,4839,2011-12-31
59810,7,3,32296,0,45189,0,0,0,0,212491,0,5,0,81632,17146,20674,45179,212385,0,101,6959,,,,,,,,,,,,41370,12532,,0,10615,0,,,,,,,,,,,,,5005,2011-12-31
77629,0,0,19767,0,22460,0,0,82522,0,291657,4000,5915,0,56973,4561,1204,22460,243053,0,38689,806,,,,,,,,,,,,118740,33754,,0,24589,3245,,,,,,,,,,,,,5069,2011-12-31
9966,0,21347,44638,0,82225,0,0,24488,0,217958,0,3724,12427,64513,32629,17395,60878,169513,0,44721,7083,,,,,,,,,,,,68902,41948,,0,41500,5000,,,,,,,,,,,,,5135,2011-12-31
