RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
5404,0,2278,6822,0,14245,0,0,0,0,51334,0,483,,28365,2062,4960,11967,50851,0,0,839,,,,,,,,,,,,14926,576,,0,252,0,,,,,,,,,,,,,37,2012-06-30
4485,0,257,6140,0,10706,0,0,0,0,15451,0,889,,6400,2782,1971,10449,14562,0,0,252,,,,,,,,,,,,1785,0,,0,0,0,,,,,,,,,,,,,242,2012-06-30
18516,0,0,7842,0,23171,0,0,0,0,90033,0,0,,34243,2895,12589,23171,90033,0,0,4467,,,,,,,,,,,,31801,2578,,0,1686,0,,,,,,,,,,,,,279,2012-06-30
1441,0,81,2917,0,2917,0,0,0,0,6325,0,1446,,2568,1380,0,2836,4879,0,0,0,,,,,,,,,,,,936,0,,0,0,0,,,,,,,,,,,,,354,2012-06-30
4276,0,208,4960,0,7407,0,0,0,0,25084,0,1658,,9708,8362,2171,7199,23426,0,0,551,,,,,,,,,,,,2738,0,,0,0,0,,,,,,,,,,,,,457,2012-06-30
118830,0,2330,13382,0,24775,0,0,609,0,286581,0,66199,,34819,114443,7389,22445,220382,0,0,2093,,,,,,,,,,,,13266,5223,,0,4714,0,,,,,,,,,,,,,505,2012-06-30
760,2,3588,22060,0,95805,0,0,0,0,87566,0,2676,,49275,8023,13811,92169,84640,46,250,5335,,,,,,,,,,,,22219,7289,,0,4084,0,,,,,,,,,,,,,1155,2012-06-30
4462,0,7257,14831,0,26131,0,0,0,0,116501,0,6091,,49613,19599,10002,18874,110410,0,0,3749,,,,,,,,,,,,32140,10687,,0,7131,0,,,,,,,,,,,,,1351,2012-06-30
1288,0,10990,156854,0,264892,0,0,0,0,279166,749,33087,,50437,164165,25592,253902,245330,0,0,7923,,,,,,,,,,,,20685,42591,,0,16809,0,,,,,,,,,,,,,1454,2012-06-30
7792,0,3591,20405,0,30117,0,0,0,0,28797,0,2098,,11798,2647,1948,26526,23473,0,3226,1701,,,,,,,,,,,,3880,2680,,0,1409,0,,,,,,,,,,,,,1557,2012-06-30
17304,2,15131,41061,0,89220,0,0,0,0,104310,0,366,,44428,19475,11815,73685,103863,402,81,2301,,,,,,,,,,,,19893,3210,,0,0,0,,,,,,,,,,,,,1669,2012-06-30
45807,0,118,83773,0,103689,0,0,920,0,240361,0,3670,,70826,84312,22956,103571,236615,0,76,8106,,,,,,,,,,,,27050,12366,,0,5179,0,,,,,,,,,,,,,1829,2012-06-30
963,0,677,2370,0,4197,0,0,49864,0,63945,0,535,,61207,1675,0,3520,56802,0,6608,0,,,,,,,,,,,,100,0,,0,0,6608,,,,,,,,,,,,,1856,2012-06-30
11863,7,3297,16107,0,38448,0,0,49652,0,132166,0,6407,,57063,52650,7727,35144,125525,0,234,1664,,,,,,,,,,,,9168,1422,,0,3922,0,,,,,,,,,,,,,2040,2012-06-30
19137,0,11147,23610,0,56944,0,0,0,0,63230,0,10887,,13711,5225,7577,45797,52343,0,0,186,,,,,,,,,,,,10882,14276,,0,13870,0,,,,,,,,,,,,,2161,2012-06-30
354568,0,14057,19553,0,41686,0,0,22888,0,1368584,0,61609,,357238,444476,77205,27629,1306975,0,0,25808,,,,,,,,,,,,170277,42026,,0,31586,0,,,,,,,,,,,,,2376,2012-06-30
2085,0,140,60,0,4802,0,0,0,0,5769,38,717,,2779,0,1,4662,5014,0,0,0,,,,,,,,,,,,904,0,,0,0,0,,,,,,,,,,,,,2554,2012-06-30
39036,0,11843,89794,0,138838,0,0,0,0,315189,0,17677,,61517,54089,15638,126995,297512,0,0,5551,,,,,,,,,,,,47353,113194,,0,111305,0,,,,,,,,,,,,,2732,2012-06-30
