RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
5836,0,1840,6771,0,13242,0,0,0,0,49877,0,673,,28335,1836,3910,11402,49204,0,0,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2007-09-30
2867,0,571,4034,0,7873,0,0,0,0,16617,0,1522,,7819,3226,1377,7302,15095,0,0,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2007-09-30
9641,0,0,6192,0,15580,0,0,0,0,71833,0,0,,38406,1100,10561,15580,71833,0,0,3377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2007-09-30
825,0,87,1456,0,1456,0,0,0,0,4718,0,1387,,2547,1047,0,1369,3331,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2007-09-30
2683,0,314,2671,0,4668,0,0,99,0,19748,0,1373,,9379,4990,769,4354,18276,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2007-09-30
103222,12,10877,15120,0,29379,0,0,0,0,229817,0,42007,,52490,45405,7637,18490,187810,0,0,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2007-09-30
360,11,1422,15704,0,45603,0,0,0,0,85992,0,12058,,49053,9518,11037,44133,73934,37,0,3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2007-09-30
3433,12,5351,9828,0,20203,0,0,0,0,76850,0,2785,,36297,18896,6047,14840,74065,0,0,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2007-09-30
915,141,5437,102660,0,167241,0,0,0,0,200884,10,13287,,58903,96048,16687,161663,187587,0,0,2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2007-09-30
2528,3,633,5594,0,9048,0,0,0,0,20128,0,3310,,11136,1588,1906,8412,16768,0,50,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2007-09-30
