RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
6078,0,3320,6615,0,14310,0,0,0,0,44702,0,771,,27189,2580,3587,10990,43931,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2002-09-30
2639,0,1128,3091,0,7192,0,0,0,0,13785,0,641,,8463,968,10306,6064,13144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2002-09-30
8442,0,0,2344,0,8682,0,0,0,0,67292,0,0,,40804,1661,8331,8682,67292,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2002-09-30
670,0,66,1198,0,1198,0,0,0,0,5848,0,1436,,3243,1135,0,1132,4412,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2002-09-30
15859,0,5081,30658,0,46335,0,0,0,0,87057,0,4862,,44364,7156,8687,41235,82195,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2002-09-30
2017,0,181,2432,0,3959,0,0,0,0,14276,0,524,,8386,2954,579,3778,13752,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2002-09-30
60882,10,14410,42375,0,69244,0,0,0,0,160380,0,19378,,52367,20253,8230,54824,140702,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2002-09-30
69556,0,590,52358,0,81827,0,0,0,0,206206,0,9888,,67920,33859,10404,80451,195987,786,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2002-09-30
530,12,405,12286,0,38634,0,0,0,0,68638,0,9644,,43982,11051,6072,38154,58994,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2002-09-30
3136,6,2878,8773,0,15996,0,0,0,0,60854,0,2497,,34070,11707,4247,13112,58357,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2002-09-30
1776,164,1999,72502,0,109145,0,0,0,0,157368,5,12821,,48153,79010,12988,105792,144542,1190,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2002-09-30
1978,1,562,2570,0,5725,0,0,0,0,23141,0,1972,,14048,2267,2099,5162,21169,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2002-09-30
60328,19,23176,19148,0,26350,0,0,13000,0,146726,0,388,,32366,16136,8276,2845,145722,310,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,2002-09-30
11882,10,18321,31236,0,71984,0,0,0,0,127011,0,716,,72910,17033,11232,53531,126195,122,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2002-09-30
32113,9,323,52224,0,66763,0,0,0,0,171849,0,7951,,77689,33625,16835,66279,163898,152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829,2002-09-30
345,0,488,1236,0,2343,0,0,495,0,5320,95,1137,,2741,992,6,1854,3692,1,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,2002-09-30
5400,2,1443,9725,0,23608,0,0,7591,0,76986,0,5364,,32957,20599,9107,22163,71414,0,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,2002-09-30
11238,0,3724,14985,0,33645,0,0,0,0,52865,0,6499,,20824,4044,6323,29921,46366,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161,2002-09-30
75161,0,234,24318,0,60602,0,0,0,0,653151,0,225,,369850,143545,48440,60368,652926,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376,2002-09-30
802,0,140,779,0,1503,0,0,0,0,8892,0,1136,,5336,559,638,1363,7556,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451,2002-09-30
479,0,166,1098,0,2417,0,0,0,0,3633,0,683,,2404,0,0,2251,2950,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554,2002-09-30
40121,8,4250,80925,0,105561,0,0,792,0,263996,0,36671,,80824,39126,12411,101303,227325,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732,2002-09-30
2899,0,799,1367,0,5211,0,0,3143,0,33473,0,5940,,18040,4069,1703,4412,25280,0,2253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2002-09-30
10776,0,8756,51303,0,56655,0,0,20000,0,122510,0,13634,,21104,58298,4945,46961,108776,938,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938,2002-09-30
4476,37,1979,8781,0,20924,0,0,0,0,83023,0,8757,,46110,16228,6017,18908,74266,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2956,2002-09-30
8928,0,413,11419,0,24813,0,0,0,0,52340,0,1349,,22237,9024,4783,24400,50891,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252,2002-09-30
1027,0,1242,2053,0,5205,0,0,0,0,12987,0,2470,,6503,1556,355,3963,10517,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,2002-09-30
78613,61,2816,33533,0,62199,0,0,0,0,728180,0,34659,,205635,422600,32449,58877,693521,445,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3506,2002-09-30
14037,0,8564,21462,0,47941,0,0,0,0,125606,0,4052,,58894,20291,11384,39377,117387,0,4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3579,2002-09-30
15762,0,3856,12700,0,39875,0,0,0,0,65717,0,5894,,32059,1151,5076,36019,59823,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720,2002-09-30
4504,42,1800,13898,0,20934,0,0,0,0,41075,0,2639,,14625,15210,399,19092,38436,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3953,2002-09-30
20786,4,809,16742,0,27383,0,0,0,0,109954,0,3938,,42278,21272,9011,26570,106016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,2002-09-30
9087,0,1372,11299,0,24387,0,0,0,0,58596,0,1193,,25647,15861,5878,23015,57403,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4147,2002-09-30
3569,0,4139,6885,0,16981,0,0,0,0,39788,0,4792,,19340,8857,3191,12842,34996,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,2002-09-30
7134,10,10724,11172,0,25118,0,0,0,0,51570,0,5869,,20453,5125,7083,14384,45701,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4231,2002-09-30
60406,50,467,15810,0,35742,0,0,0,0,94780,0,469,,28427,19,7588,35225,94311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437,2002-09-30
608,0,831,825,0,2438,0,0,0,0,5768,0,929,,3883,824,1163,1607,4839,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4745,2002-09-30
30369,14,50,39402,0,44150,0,0,9205,0,127621,0,3300,,44592,15097,8151,44009,123925,77,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4839,2002-09-30
57660,2,1534,23934,0,43593,0,0,0,0,194194,0,537,,85961,18210,16584,42057,193657,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005,2002-09-30
4657,1,2268,11621,0,20363,0,0,0,0,56331,0,12650,,20543,16055,5522,18014,43483,80,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050,2002-09-30
48836,5,0,7268,0,9236,0,1167,57872,0,248594,0,12287,,91203,5098,880,9231,209581,0,25559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069,2002-09-30
7849,0,2880,11204,0,20860,0,0,0,0,48238,0,3663,,18772,9557,4786,17980,44575,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135,2002-09-30
109296,34,20055,76051,0,160914,0,0,0,0,399276,0,7756,,193964,61979,37614,140825,391520,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210,2002-09-30
168058,0,1494,32044,0,38917,0,0,0,0,776875,0,26199,,177794,391775,39136,37423,750676,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247,2002-09-30
3881,3,6,8913,0,12116,0,0,0,0,59332,0,659,,35010,15952,5027,12107,58673,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5274,2002-09-30
24055,33,723,40130,0,59111,0,0,0,0,131432,0,0,,32347,64075,7541,58355,131432,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331,2002-09-30
30445,125,362,84465,0,123758,0,0,0,0,131411,0,4284,,22214,46391,8291,123271,127127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461,2002-09-30
4441,6,1603,4537,0,13451,0,0,0,0,53550,0,14808,,13260,26739,4457,11842,38742,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5751,2002-09-30
175519,0,2399,175022,0,367013,0,0,0,0,1791693,0,1787,,957900,392091,137797,364614,1789906,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5939,2002-09-30
5403,0,3044,9285,0,17385,0,0,0,0,52832,0,2460,,29022,3662,9071,14341,50266,0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,2002-09-30
633,0,307,966,0,2840,0,0,0,0,9091,0,2200,,6524,203,400,2533,6891,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6057,2002-09-30
